name,seed,demand_size,arrived,unfinished,arrived_ratio,mean_duration,mean_routeLength,mean_speed_mps,sumocfg,net,run_dir
A_k4_1od_x1.0,0,1000,934,0,0.934,314.48608137044965,965.53278372591,3.531433768081545,netA/sim_1od_x1.0.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_1od_x1.0
A_k4_1od_x0.8,0,800,740,0,0.925,249.89729729729729,941.4212972972973,4.175079254534004,netA/sim_1od_x0.8.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_1od_x0.8
A_k4_1od_x1.2,0,1200,934,0,0.7783333333333333,314.48608137044965,965.53278372591,3.531433768081545,netA/sim_1od_x1.2.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_1od_x1.2
A_k4_2od_x1.0,0,1000,1000,0,1.0,319.146,964.12814,3.5029761757078135,netA/sim_2od_x1.0.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_2od_x1.0
A_k4_2od_x0.8,0,800,800,0,1.0,251.90625,935.9339250000002,4.101622122804527,netA/sim_2od_x0.8.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_2od_x0.8
A_k4_2od_x1.2,0,1200,1196,0,0.9966666666666667,392.89130434782606,977.2563795986621,3.024389482008615,netA/sim_2od_x1.2.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_2od_x1.2
A_k4_3od_x1.0,0,1000,1000,0,1.0,306.767,945.4973200000001,3.578394898681575,netA/sim_3od_x1.0.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_3od_x1.0
A_k4_3od_x0.8,0,800,800,0,1.0,247.4025,920.3463250000001,4.110454707835817,netA/sim_3od_x0.8.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_3od_x0.8
A_k4_3od_x1.2,0,1200,1200,0,1.0,401.055,968.9328499999999,3.02582772222417,netA/sim_3od_x1.2.sumocfg,netA/network_v2.net.xml,D:\PSPS\baseline_runs\A_k4_3od_x1.2
B_k9_1od_x1.0,0,2000,2000,0,1.0,694.1065,2572.986955,3.887005324956345,netB/sim_1od_x1.0.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_1od_x1.0
B_k9_1od_x0.8,0,1600,1600,0,1.0,679.493125,2593.9859,4.018877438489189,netB/sim_1od_x0.8.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_1od_x0.8
B_k9_1od_x1.2,0,2400,2400,0,1.0,640.265,2562.362633333333,4.141288379727398,netB/sim_1od_x1.2.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_1od_x1.2
B_k9_3od_x1.0,0,2000,2000,0,1.0,516.447,2312.028515,4.8931922280659235,netB/sim_3od_x1.0.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_3od_x1.0
B_k9_3od_x1.2,0,2400,2400,0,1.0,590.195,2363.7422125000003,4.2593830522814615,netB/sim_3od_x1.2.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_3od_x1.2
B_k9_3od_x0.8,0,1600,1600,0,1.0,425.72375,2286.3655875,5.834133540285951,netB/sim_3od_x0.8.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_3od_x0.8
B_k9_2od_x1.0,0,2000,2000,0,1.0,776.4945,2792.4777000000004,3.8209822562307916,netB/sim_2od_x1.0.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_2od_x1.0
B_k9_2od_x1.2,0,2400,2400,0,1.0,813.1629166666667,2810.7521416666664,3.65358095514148,netB/sim_2od_x1.2.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_2od_x1.2
B_k9_2od_x0.8,0,1600,1600,0,1.0,650.853125,2798.79450625,4.5721114146797115,netB/sim_2od_x0.8.sumocfg,netB/netB.net.xml,D:\PSPS\baseline_runs\B_k9_2od_x0.8
C_k9_1od_x1.0,0,2000,2000,0,1.0,490.396,2160.510955,4.563022782424681,netC/sim_1od_x1.0.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_1od_x1.0
C_k9_1od_x0.8,0,1600,1600,0,1.0,475.2225,2158.2760875000004,4.719681003890592,netC/sim_1od_x0.8.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_1od_x0.8
C_k9_1od_x1.2,0,2400,2400,0,1.0,483.07625,2168.55035,4.6545651503159124,netC/sim_1od_x1.2.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_1od_x1.2
C_k9_2od_x1.0,0,2000,2000,0,1.0,842.465,2431.6948399999997,3.5665893857358824,netC/sim_2od_x1.0.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_2od_x1.0
C_k9_2od_x0.8,0,1600,1600,0,1.0,821.835625,2427.07970625,3.6476537882268896,netC/sim_2od_x0.8.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_2od_x0.8
C_k9_2od_x1.2,0,2400,2400,0,1.0,851.3683333333333,2454.9163208333334,3.471774739506117,netC/sim_2od_x1.2.sumocfg,netC/netC.net.xml,D:\PSPS\baseline_runs\C_k9_2od_x1.2
