instance_id,network,n_samples,edges,mean_k,obs_per_edge,never_closed,gain_init,gain_mutation,gain_both
A_k4_1od_x0.8,A,1000,40,1.984,49.6,0,-0.205676,1.129074,0.545389
A_k4_1od_x1.0,A,1000,40,1.984,49.6,0,1.110552,0.186543,1.47631
A_k4_2od_x0.8,A,1000,39,1.984,50.872,0,-0.035913,0.320804,0.171569
A_k4_2od_x1.0,A,1000,39,1.984,50.872,0,1.697048,1.062372,3.726346
A_k4_2od_x1.2,A,1000,39,1.984,50.872,0,0.232842,0.329414,1.353441
A_k4_3od_x0.8,A,1000,38,1.984,52.211,0,-0.888405,2.097678,1.343387
A_k4_3od_x1.0,A,1000,38,1.984,52.211,0,-1.032983,2.395325,0.508803
A_k4_3od_x1.2,A,1000,38,1.984,52.211,0,-0.588826,0.662559,0.327578
B_k9_1od_x0.8,B,1000,90,4.549,50.544,0,-0.195111,0.966912,1.043812
B_k9_1od_x1.0,B,1000,90,4.549,50.544,0,-0.15371,0.17165,0.336323
B_k9_1od_x1.2,B,1000,90,4.549,50.544,0,0.296346,0.223883,0.652779
B_k9_2od_x0.8,B,1000,88,4.549,51.693,0,-0.478103,-0.039198,0.025169
B_k9_2od_x1.0,B,1000,88,4.549,51.693,0,0.138042,-0.190671,-0.208023
B_k9_2od_x1.2,B,1000,88,4.549,51.693,0,-0.008257,0.012737,-0.046527
B_k9_3od_x0.8,B,1000,86,4.549,52.895,0,0.459594,0.550319,0.338982
B_k9_3od_x1.0,B,1000,86,4.549,52.895,0,0.931555,1.085102,1.618512
B_k9_3od_x1.2,B,1000,86,4.549,52.895,0,-0.218692,-0.549411,0.20746
C_k9_1od_x0.8,C,1000,96,4.549,47.385,0,0.061052,-0.024584,0.485925
C_k9_1od_x1.0,C,1000,96,4.549,47.385,0,0.138992,0.293463,0.228993
C_k9_1od_x1.2,C,1000,96,4.549,47.385,0,0.36154,1.841384,1.506738
C_k9_2od_x0.8,C,1000,94,4.549,48.394,0,-0.14266,-0.23011,-0.21879
C_k9_2od_x1.0,C,1000,94,4.549,48.394,0,0.611271,0.455857,0.151392
C_k9_2od_x1.2,C,1000,94,4.549,48.394,0,0.348329,0.121704,-0.020288
C_k9_3od_x0.8,C,1000,92,4.549,49.446,0,0.256906,-1.101386,-0.534583
C_k9_3od_x1.0,C,1000,92,4.549,49.446,0,-0.704941,-0.37729,0.661043
C_k9_3od_x1.2,C,1000,92,4.549,49.446,0,0.142976,0.512153,0.315974
D_k9_1od_x0.8,D,1000,95,4.549,47.884,0,-0.196558,-0.133957,-0.161306
D_k9_1od_x1.0,D,1000,95,4.549,47.884,0,-0.353103,0.188691,-0.034479
D_k9_1od_x1.2,D,1000,95,4.549,47.884,0,-0.019368,-0.028662,0.055793
D_k9_2od_x0.8,D,1000,93,4.549,48.914,0,0.020421,0.152853,0.153027
D_k9_2od_x1.0,D,1000,93,4.549,48.914,0,0.003258,0.124618,0.121566
D_k9_2od_x1.2,D,1000,93,4.549,48.914,0,0.016981,0.13672,0.083075
D_k9_3od_x0.8,D,1000,91,4.549,49.989,0,0.07485,0.327807,0.098864
D_k9_3od_x1.0,D,1000,91,4.549,49.989,0,0.70827,0.142328,0.893402
D_k9_3od_x1.2,D,1000,91,4.549,49.989,0,-0.317806,0.311081,0.016645
J_k9_6od_x0.8,J,1000,1414,4.549,3.217,58,-0.028488,-0.380347,-0.822864
J_k9_6od_x1.0,J,1000,1414,4.549,3.217,58,1.975344,-2.23204,0.631141
J_k9_6od_x1.2,J,1000,1414,4.549,3.217,58,-2.234065,4.497821,2.824739
