instance_id,network,offline_mean_k,ga_mean_k,ga_k_p5,ga_k_p95,offline_in_range,offline_total,share_in_range,density_nominal,density_effective,never_closed_nominal,never_closed_effective,edges
A_k4_1od_x0.8,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,2,2,42
A_k4_1od_x1.0,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,2,2,42
A_k4_2od_x0.8,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,3,3,42
A_k4_2od_x1.0,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,3,3,42
A_k4_2od_x1.2,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,3,3,42
A_k4_3od_x0.8,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,4,4,42
A_k4_3od_x1.0,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,4,4,42
A_k4_3od_x1.2,A,1.98,3.86,3,4,394,1000,0.394,47.24,32.95,4,4,42
B_k9_1od_x0.8,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,2,2,92
B_k9_1od_x1.0,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,2,2,92
B_k9_1od_x1.2,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,2,2,92
B_k9_2od_x0.8,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,4,4,92
B_k9_2od_x1.0,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,4,4,92
B_k9_2od_x1.2,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,4,4,92
B_k9_3od_x0.8,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,6,6,92
B_k9_3od_x1.0,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,6,6,92
B_k9_3od_x1.2,B,4.55,8.68,7,9,293,1000,0.293,49.45,25.6,6,6,92
C_k9_1od_x0.8,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,2,2,98
C_k9_1od_x1.0,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,2,2,98
C_k9_1od_x1.2,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,2,2,98
C_k9_2od_x0.8,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,4,4,98
C_k9_2od_x1.0,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,4,4,98
C_k9_2od_x1.2,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,4,4,98
C_k9_3od_x0.8,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,6,6,98
C_k9_3od_x1.0,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,6,6,98
C_k9_3od_x1.2,C,4.55,8.68,7,9,293,1000,0.293,46.42,24.03,6,6,98
D_k9_1od_x0.8,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,2,2,97
D_k9_1od_x1.0,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,2,2,97
D_k9_1od_x1.2,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,2,2,97
D_k9_2od_x0.8,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,4,4,97
D_k9_2od_x1.0,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,4,4,97
D_k9_2od_x1.2,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,4,4,97
D_k9_3od_x0.8,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,6,6,97
D_k9_3od_x1.0,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,6,6,97
D_k9_3od_x1.2,D,4.55,8.68,7,9,293,1000,0.293,46.9,24.28,6,6,97
J_k9_6od_x0.8,J,4.55,8.68,7,9,293,1000,0.293,3.19,1.65,70,288,1426
J_k9_6od_x1.0,J,4.55,8.68,7,9,293,1000,0.293,3.19,1.65,70,288,1426
J_k9_6od_x1.2,J,4.55,8.68,7,9,293,1000,0.293,3.19,1.65,70,288,1426
