instance_id,network,n_samples,edges,mean_k,obs_per_edge,never_closed,gain_init,gain_mutation,gain_both
A_k4_1od_x0.8,A,1000,40,1.984,49.6,0,-0.2056758748600032,1.1290742748742624,0.545388963972489
A_k4_1od_x1.0,A,1000,40,1.984,49.6,0,1.1105523301661278,0.1865427363271718,1.47631000241037
A_k4_2od_x0.8,A,1000,39,1.984,50.872,0,-0.0359128168782644,0.3208042440574148,0.1715693583724737
A_k4_2od_x1.0,A,1000,39,1.984,50.872,0,1.6970482423178317,1.0623720810134825,3.726345557184351
A_k4_2od_x1.2,A,1000,39,1.984,50.872,0,0.2328415469664523,0.3294139661055577,1.353441046555372
A_k4_3od_x0.8,A,1000,38,1.984,52.211,0,0.9628197432436368,2.196258427823332,2.480275659882386
A_k4_3od_x1.0,A,1000,38,1.984,52.211,0,-0.5386499633459549,0.9418447440091412,0.5012771851026345
A_k4_3od_x1.2,A,1000,38,1.984,52.211,0,-0.0473088015330462,0.9795480621220604,-0.307643311235015
B_k9_1od_x0.8,B,1000,90,4.549,50.544,0,-0.1951113908392793,0.96691156554267,1.0438121462969376
B_k9_1od_x1.0,B,1000,90,4.549,50.544,0,-0.1537097511148615,0.1716501572786241,0.336322600830762
B_k9_1od_x1.2,B,1000,90,4.549,50.544,0,0.2963456157244824,0.2238825363047814,0.6527791614713025
B_k9_2od_x0.8,B,1000,88,4.549,51.693,0,-0.4781027943350488,-0.0391984641518078,0.025169321361526
B_k9_2od_x1.0,B,1000,88,4.549,51.693,0,0.1380417936635681,-0.1906705221998528,-0.2080225770711399
B_k9_2od_x1.2,B,1000,88,4.549,51.693,0,-0.008256997832309,0.0127370850432353,-0.0465268510111593
B_k9_3od_x0.8,B,1000,86,4.549,52.895,0,0.4595937663073565,0.5503190768771542,0.3389816755833946
B_k9_3od_x1.0,B,1000,86,4.549,52.895,0,0.9315554475796916,1.085102143288878,1.6185115496984304
B_k9_3od_x1.2,B,1000,86,4.549,52.895,0,-0.2186922327498483,-0.5494105978522391,0.2074595974777186
C_k9_1od_x0.8,C,1000,96,4.549,47.385,0,0.0610524911266549,-0.0245835788420868,0.4859251302481313
C_k9_1od_x1.0,C,1000,96,4.549,47.385,0,0.1389922079592233,0.293463468939432,0.2289931030139706
C_k9_1od_x1.2,C,1000,96,4.549,47.385,0,0.3615398150101934,1.8413835322702767,1.5067383516208233
C_k9_2od_x0.8,C,1000,94,4.549,48.394,0,-0.1426597578512822,-0.2301098047595284,-0.2187899692441104
C_k9_2od_x1.0,C,1000,94,4.549,48.394,0,0.6112707690882184,0.4558567867945061,0.1513917346444801
C_k9_2od_x1.2,C,1000,94,4.549,48.394,0,0.3483289190088844,0.1217039442426693,-0.0202882058251078
C_k9_3od_x0.8,C,1000,92,4.549,49.446,0,0.2569063979647509,-1.1013864614917133,-0.5345827498402348
C_k9_3od_x1.0,C,1000,92,4.549,49.446,0,-0.7049405308844604,-0.3772900662437405,0.6610427277085255
C_k9_3od_x1.2,C,1000,92,4.549,49.446,0,0.1429762565151184,0.5121532918802675,0.3159741160572843
D_k9_1od_x0.8,D,1000,95,4.549,47.884,0,-0.1965576080841364,-0.1339566924573208,-0.1613064886690313
D_k9_1od_x1.0,D,1000,95,4.549,47.884,0,-0.3531025379044108,0.1886908398891136,-0.0344789095252748
D_k9_1od_x1.2,D,1000,95,4.549,47.884,0,-0.0193680834600602,-0.0286615422180674,0.0557929655765416
D_k9_2od_x0.8,D,1000,93,4.549,48.914,0,0.0204209981132734,0.152852824752404,0.1530269168079503
D_k9_2od_x1.0,D,1000,93,4.549,48.914,0,0.0032580774717469,0.1246180265027644,0.1215661564659628
D_k9_2od_x1.2,D,1000,93,4.549,48.914,0,0.0169812113442072,0.1367195017131527,0.0830754741791361
D_k9_3od_x0.8,D,1000,91,4.549,49.989,0,0.0748502709762152,0.3278069706071077,0.0988636252873709
D_k9_3od_x1.0,D,1000,91,4.549,49.989,0,0.7082700557985296,0.1423281577463072,0.8934023603952926
D_k9_3od_x1.2,D,1000,91,4.549,49.989,0,-0.3178059795458581,0.311080782114356,0.0166451744190965
J_k9_6od_x0.8,J,1000,1414,4.549,3.217,58,-0.0284878525658023,-0.3803472004765635,-0.8228636019948874
J_k9_6od_x1.0,J,1000,1414,4.549,3.217,58,1.975344407294908,-2.2320398024545502,0.6311406351561027
J_k9_6od_x1.2,J,1000,1414,4.549,3.217,58,-2.2340650350315028,4.497820962918087,2.824739150536085
