instance_id,network,k_max,config_file,config_entry,source_config_file,source_config_entry,changes_from_source,sumocfg,net,policy_mix,policy_model,offline_dataset,recorded_runs_folder,results,notes
A_k4_1od_x0.8,A,4,experiments_benchmark38.json,A_k4_1od_x0.8,experiments_39.json,A_k4_1od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netA/sim_1od_x0.8.sumocfg,netA/network_v2.net.xml,1.0,output_policy_A_k4_1od_x0.8/policy_model.pt,output_policy_A_k4_1od_x0.8/dataset_policy.pt,runs_A_k4_1od_x0.8,merged_analysis_38_k0 (instance_id = A_k4_1od_x0.8),
A_k4_1od_x1.0,A,4,experiments_benchmark38.json,A_k4_1od_x1.0,experiments_39.json,A_k4_1od_x1.0,"the source entry was later edited for a different run; GA-stage settings restored from the recorded results; kmin 1 -> 0 (generation 1 contains zero-closure individuals); gen 57 -> 15 (the recorded runs have 15 generations); modes ['none'] -> none, init, mutation, both (all four recorded); policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax); policy directory output_policy_A_k4_1od_x1.0_old released as output_policy_A_k4_1od_x1.0",netA/sim_1od_x1.0.sumocfg,netA/network_v2.net.xml,1.0,output_policy_A_k4_1od_x1.0/policy_model.pt,output_policy_A_k4_1od_x1.0/dataset_policy.pt,runs_A_k4_1od_x1.0,merged_analysis_38_k0 (instance_id = A_k4_1od_x1.0),
A_k4_2od_x0.8,A,4,experiments_benchmark38.json,A_k4_2od_x0.8,experiments_39.json,A_k4_2od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netA/sim_2od_x0.8.sumocfg,netA/network_v2.net.xml,1.0,output_policy_A_k4_2od_x0.8/policy_model.pt,output_policy_A_k4_2od_x0.8/dataset_policy.pt,runs_A_k4_2od_x0.8,merged_analysis_38_k0 (instance_id = A_k4_2od_x0.8),
A_k4_2od_x1.0,A,4,experiments_benchmark38.json,A_k4_2od_x1.0,experiments_39.json,A_k4_2od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netA/sim_2od_x1.0.sumocfg,netA/network_v2.net.xml,1.0,output_policy_A_k4_2od_x1.0/policy_model.pt,output_policy_A_k4_2od_x1.0/dataset_policy.pt,runs_A_k4_2od_x1.0,merged_analysis_38_k0 (instance_id = A_k4_2od_x1.0),
A_k4_2od_x1.2,A,4,experiments_benchmark38.json,A_k4_2od_x1.2,experiments_39.json,A_k4_2od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netA/sim_2od_x1.2.sumocfg,netA/network_v2.net.xml,1.0,output_policy_A_k4_2od_x1.2/policy_model.pt,output_policy_A_k4_2od_x1.2/dataset_policy.pt,runs_A_k4_2od_x1.2,merged_analysis_38_k0 (instance_id = A_k4_2od_x1.2),"generation-1 guided populations are flatter than the released policy model at alpha/tau = 1 without mixing (mixture weight 0.54, 95% CI 0.50-0.59, in every seed; a softmax temperature of 1.5 fits better); the setting that produced the recorded runs could not be recovered, so re-running this entry reproduces the stated method, not the recorded runs"
A_k4_3od_x0.8,A,4,experiments_benchmark38.json,A_k4_3od_x0.8,experiments_pm_rerun_kmin0.json,A_k4_3od_x0.8_pm01k0,,netA/sim_3od_x0.8.sumocfg,netA/network_v2.net.xml,0.25,output_policy_A_k4_3od_x0.8/policy_model.pt,output_policy_A_k4_3od_x0.8/dataset_policy.pt,runs_A_k4_3od_x0.8_pm01k0,merged_analysis_38_k0 (instance_id = A_k4_3od_x0.8),
A_k4_3od_x1.0,A,4,experiments_benchmark38.json,A_k4_3od_x1.0,experiments_pm_rerun_kmin0.json,A_k4_3od_x1.0_pm01k0,,netA/sim_3od_x1.0.sumocfg,netA/network_v2.net.xml,0.25,output_policy_A_k4_3od_x1.0/policy_model.pt,output_policy_A_k4_3od_x1.0/dataset_policy.pt,runs_A_k4_3od_x1.0_pm01k0,merged_analysis_38_k0 (instance_id = A_k4_3od_x1.0),
A_k4_3od_x1.2,A,4,experiments_benchmark38.json,A_k4_3od_x1.2,experiments_pm_rerun_kmin0.json,A_k4_3od_x1.2_pm01k0,,netA/sim_3od_x1.2.sumocfg,netA/network_v2.net.xml,0.25,output_policy_A_k4_3od_x1.2/policy_model.pt,output_policy_A_k4_3od_x1.2/dataset_policy.pt,runs_A_k4_3od_x1.2_pm01k0,merged_analysis_38_k0 (instance_id = A_k4_3od_x1.2),
B_k9_1od_x0.8,B,9,experiments_benchmark38.json,B_k9_1od_x0.8,experiments_39.json,B_k9_1od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_1od_x0.8.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_1od_x0.8/policy_model.pt,output_policy_B_k9_1od_x0.8/dataset_policy.pt,runs_B_k9_1od_x0.8,merged_analysis_38_k0 (instance_id = B_k9_1od_x0.8),
B_k9_1od_x1.0,B,9,experiments_benchmark38.json,B_k9_1od_x1.0,experiments_39.json,B_k9_1od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_1od_x1.0.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_1od_x1.0/policy_model.pt,output_policy_B_k9_1od_x1.0/dataset_policy.pt,runs_B_k9_1od_x1.0,merged_analysis_38_k0 (instance_id = B_k9_1od_x1.0),
B_k9_1od_x1.2,B,9,experiments_benchmark38.json,B_k9_1od_x1.2,experiments_39.json,B_k9_1od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_1od_x1.2.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_1od_x1.2/policy_model.pt,output_policy_B_k9_1od_x1.2/dataset_policy.pt,runs_B_k9_1od_x1.2,merged_analysis_38_k0 (instance_id = B_k9_1od_x1.2),
B_k9_2od_x0.8,B,9,experiments_benchmark38.json,B_k9_2od_x0.8,experiments_39.json,B_k9_2od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_2od_x0.8.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_2od_x0.8/policy_model.pt,output_policy_B_k9_2od_x0.8/dataset_policy.pt,runs_B_k9_2od_x0.8,merged_analysis_38_k0 (instance_id = B_k9_2od_x0.8),"generation-1 guided populations differ between seeds: seeds 1, 7 and 9 match the released policy model at alpha/tau = 1 without mixing, seeds 0 and 8 match a flatter distribution (mixture weight about 0.6), the remaining seeds cannot be classified; re-running this entry reproduces the stated method, not every recorded run"
B_k9_2od_x1.0,B,9,experiments_benchmark38.json,B_k9_2od_x1.0,experiments_39.json,B_k9_2od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_2od_x1.0.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_2od_x1.0/policy_model.pt,output_policy_B_k9_2od_x1.0/dataset_policy.pt,runs_B_k9_2od_x1.0,merged_analysis_38_k0 (instance_id = B_k9_2od_x1.0),
B_k9_2od_x1.2,B,9,experiments_benchmark38.json,B_k9_2od_x1.2,experiments_39.json,B_k9_2od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_2od_x1.2.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_2od_x1.2/policy_model.pt,output_policy_B_k9_2od_x1.2/dataset_policy.pt,runs_B_k9_2od_x1.2,merged_analysis_38_k0 (instance_id = B_k9_2od_x1.2),
B_k9_3od_x0.8,B,9,experiments_benchmark38.json,B_k9_3od_x0.8,experiments_39.json,B_k9_3od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_3od_x0.8.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_3od_x0.8/policy_model.pt,output_policy_B_k9_3od_x0.8/dataset_policy.pt,runs_B_k9_3od_x0.8,merged_analysis_38_k0 (instance_id = B_k9_3od_x0.8),"generation-1 guided populations are flatter than the released policy model at alpha/tau = 1 without mixing (mixture weight 0.51, 95% CI 0.48-0.53, in every seed) and are not fitted well by any mixture or temperature of that model; the setting or model that produced the recorded runs could not be recovered, so re-running this entry reproduces the stated method, not the recorded runs"
B_k9_3od_x1.0,B,9,experiments_benchmark38.json,B_k9_3od_x1.0,experiments_39.json,B_k9_3od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_3od_x1.0.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_3od_x1.0/policy_model.pt,output_policy_B_k9_3od_x1.0/dataset_policy.pt,runs_B_k9_3od_x1.0,merged_analysis_38_k0 (instance_id = B_k9_3od_x1.0),
B_k9_3od_x1.2,B,9,experiments_benchmark38.json,B_k9_3od_x1.2,experiments_39.json,B_k9_3od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netB/sim_3od_x1.2.sumocfg,netB/netB.net.xml,1.0,output_policy_B_k9_3od_x1.2/policy_model.pt,output_policy_B_k9_3od_x1.2/dataset_policy.pt,runs_B_k9_3od_x1.2,merged_analysis_38_k0 (instance_id = B_k9_3od_x1.2),
C_k9_1od_x0.8,C,9,experiments_benchmark38.json,C_k9_1od_x0.8,experiments_39.json,C_k9_1od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_1od_x0.8.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_1od_x0.8/policy_model.pt,output_policy_C_k9_1od_x0.8/dataset_policy.pt,runs_C_k9_1od_x0.8,merged_analysis_38_k0 (instance_id = C_k9_1od_x0.8),
C_k9_1od_x1.0,C,9,experiments_benchmark38.json,C_k9_1od_x1.0,experiments_39.json,C_k9_1od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_1od_x1.0.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_1od_x1.0/policy_model.pt,output_policy_C_k9_1od_x1.0/dataset_policy.pt,runs_C_k9_1od_x1.0,merged_analysis_38_k0 (instance_id = C_k9_1od_x1.0),
C_k9_1od_x1.2,C,9,experiments_benchmark38.json,C_k9_1od_x1.2,experiments_39.json,C_k9_1od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_1od_x1.2.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_1od_x1.2/policy_model.pt,output_policy_C_k9_1od_x1.2/dataset_policy.pt,runs_C_k9_1od_x1.2,merged_analysis_38_k0 (instance_id = C_k9_1od_x1.2),
C_k9_2od_x0.8,C,9,experiments_benchmark38.json,C_k9_2od_x0.8,experiments_39.json,C_k9_2od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_2od_x0.8.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_2od_x0.8/policy_model.pt,output_policy_C_k9_2od_x0.8/dataset_policy.pt,runs_C_k9_2od_x0.8,merged_analysis_38_k0 (instance_id = C_k9_2od_x0.8),
C_k9_2od_x1.0,C,9,experiments_benchmark38.json,C_k9_2od_x1.0,experiments_39.json,C_k9_2od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_2od_x1.0.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_2od_x1.0/policy_model.pt,output_policy_C_k9_2od_x1.0/dataset_policy.pt,runs_C_k9_2od_x1.0,merged_analysis_38_k0 (instance_id = C_k9_2od_x1.0),
C_k9_2od_x1.2,C,9,experiments_benchmark38.json,C_k9_2od_x1.2,experiments_39.json,C_k9_2od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_2od_x1.2.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_2od_x1.2/policy_model.pt,output_policy_C_k9_2od_x1.2/dataset_policy.pt,runs_C_k9_2od_x1.2,merged_analysis_38_k0 (instance_id = C_k9_2od_x1.2),
C_k9_3od_x0.8,C,9,experiments_benchmark38.json,C_k9_3od_x0.8,experiments_39.json,C_k9_3od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_3od_x0.8.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_3od_x0.8/policy_model.pt,output_policy_C_k9_3od_x0.8/dataset_policy.pt,runs_C_k9_3od_x0.8,merged_analysis_38_k0 (instance_id = C_k9_3od_x0.8),
C_k9_3od_x1.0,C,9,experiments_benchmark38.json,C_k9_3od_x1.0,experiments_39.json,C_k9_3od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_3od_x1.0.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_3od_x1.0/policy_model.pt,output_policy_C_k9_3od_x1.0/dataset_policy.pt,runs_C_k9_3od_x1.0,merged_analysis_38_k0 (instance_id = C_k9_3od_x1.0),
C_k9_3od_x1.2,C,9,experiments_benchmark38.json,C_k9_3od_x1.2,experiments_39.json,C_k9_3od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netC/sim_3od_x1.2.sumocfg,netC/netC.net.xml,1.0,output_policy_C_k9_3od_x1.2/policy_model.pt,output_policy_C_k9_3od_x1.2/dataset_policy.pt,runs_C_k9_3od_x1.2,merged_analysis_38_k0 (instance_id = C_k9_3od_x1.2),
D_k9_1od_x0.8,D,9,experiments_benchmark38.json,D_k9_1od_x0.8,experiments_39.json,D_k9_1od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_1od_x0.8.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_1od_x0.8/policy_model.pt,output_policy_D_k9_1od_x0.8/dataset_policy.pt,runs_D_k9_1od_x0.8,merged_analysis_38_k0 (instance_id = D_k9_1od_x0.8),
D_k9_1od_x1.0,D,9,experiments_benchmark38.json,D_k9_1od_x1.0,experiments_39.json,D_k9_1od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_1od_x1.0.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_1od_x1.0/policy_model.pt,output_policy_D_k9_1od_x1.0/dataset_policy.pt,runs_D_k9_1od_x1.0,merged_analysis_38_k0 (instance_id = D_k9_1od_x1.0),
D_k9_1od_x1.2,D,9,experiments_benchmark38.json,D_k9_1od_x1.2,experiments_39.json,D_k9_1od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_1od_x1.2.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_1od_x1.2/policy_model.pt,output_policy_D_k9_1od_x1.2/dataset_policy.pt,runs_D_k9_1od_x1.2,merged_analysis_38_k0 (instance_id = D_k9_1od_x1.2),
D_k9_2od_x0.8,D,9,experiments_benchmark38.json,D_k9_2od_x0.8,experiments_39.json,D_k9_2od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_2od_x0.8.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_2od_x0.8/policy_model.pt,output_policy_D_k9_2od_x0.8/dataset_policy.pt,runs_D_k9_2od_x0.8,merged_analysis_38_k0 (instance_id = D_k9_2od_x0.8),
D_k9_2od_x1.0,D,9,experiments_benchmark38.json,D_k9_2od_x1.0,experiments_39.json,D_k9_2od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_2od_x1.0.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_2od_x1.0/policy_model.pt,output_policy_D_k9_2od_x1.0/dataset_policy.pt,runs_D_k9_2od_x1.0,merged_analysis_38_k0 (instance_id = D_k9_2od_x1.0),
D_k9_2od_x1.2,D,9,experiments_benchmark38.json,D_k9_2od_x1.2,experiments_39.json,D_k9_2od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_2od_x1.2.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_2od_x1.2/policy_model.pt,output_policy_D_k9_2od_x1.2/dataset_policy.pt,runs_D_k9_2od_x1.2,merged_analysis_38_k0 (instance_id = D_k9_2od_x1.2),
D_k9_3od_x0.8,D,9,experiments_benchmark38.json,D_k9_3od_x0.8,experiments_39.json,D_k9_3od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_3od_x0.8.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_3od_x0.8/policy_model.pt,output_policy_D_k9_3od_x0.8/dataset_policy.pt,runs_D_k9_3od_x0.8,merged_analysis_38_k0 (instance_id = D_k9_3od_x0.8),
D_k9_3od_x1.0,D,9,experiments_benchmark38.json,D_k9_3od_x1.0,experiments_39.json,D_k9_3od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_3od_x1.0.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_3od_x1.0/policy_model.pt,output_policy_D_k9_3od_x1.0/dataset_policy.pt,runs_D_k9_3od_x1.0,merged_analysis_38_k0 (instance_id = D_k9_3od_x1.0),
D_k9_3od_x1.2,D,9,experiments_benchmark38.json,D_k9_3od_x1.2,experiments_39.json,D_k9_3od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netD/sim_3od_x1.2.sumocfg,netD/netD.net.xml,1.0,output_policy_D_k9_3od_x1.2/policy_model.pt,output_policy_D_k9_3od_x1.2/dataset_policy.pt,runs_D_k9_3od_x1.2,merged_analysis_38_k0 (instance_id = D_k9_3od_x1.2),
J_k9_6od_x0.8,J,9,experiments_benchmark38.json,J_k9_6od_x0.8,experiments_39.json,J_k9_6od_x0.8,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netJ/wildau_6od_x0.8.sumocfg,netJ/Netzmodell2.net.xml,1.0,output_policy_J_k9_6od_x0.8/policy_model.pt,output_policy_J_k9_6od_x0.8/dataset_policy.pt,runs_J_k9_6od_x0.8,merged_analysis_38_k0 (instance_id = J_k9_6od_x0.8),
J_k9_6od_x1.0,J,9,experiments_benchmark38.json,J_k9_6od_x1.0,experiments_39.json,J_k9_6od_x1.0,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netJ/wildau_6od_x1.0.sumocfg,netJ/Netzmodell2.net.xml,1.0,output_policy_J_k9_6od_x1.0/policy_model.pt,output_policy_J_k9_6od_x1.0/dataset_policy.pt,runs_J_k9_6od_x1.0,merged_analysis_38_k0 (instance_id = J_k9_6od_x1.0),
J_k9_6od_x1.2,J,9,experiments_benchmark38.json,J_k9_6od_x1.2,experiments_39.json,J_k9_6od_x1.2,policy_mix_init/mut 1.0 written explicitly (run_experiments.py defaults to 0.5; these runs sampled from the unmixed softmax),netJ/wildau_6od_x1.2.sumocfg,netJ/Netzmodell2.net.xml,1.0,output_policy_J_k9_6od_x1.2/policy_model.pt,output_policy_J_k9_6od_x1.2/dataset_policy.pt,runs_J_k9_6od_x1.2,merged_analysis_38_k0 (instance_id = J_k9_6od_x1.2),
