instance_id,arm,seed,att_multi,att_default,n_pen
A_k4_3od_x1.0,both,0,247.6004,236.189,0.0
A_k4_3od_x1.0,both,1,250.332,238.848,0.0
A_k4_3od_x1.0,both,2,254.1574,237.496,0.0
A_k4_3od_x1.0,both,3,247.6004,236.189,0.0
A_k4_3od_x1.0,both,4,234.0908,224.053,0.0
A_k4_3od_x1.0,both,5,240.1832,229.631,0.0
A_k4_3od_x1.0,both,6,232.9852,247.213,0.0
A_k4_3od_x1.0,both,7,234.0908,224.053,0.0
A_k4_3od_x1.0,both,8,236.2662,234.812,0.0
A_k4_3od_x1.0,both,9,252.8336,245.017,0.0
A_k4_3od_x1.0,init,0,226.9232,223.893,0.0
A_k4_3od_x1.0,init,1,236.3776,230.928,0.0
A_k4_3od_x1.0,init,2,264.8994,250.921,0.0
A_k4_3od_x1.0,init,3,259.2634,241.102,0.0
A_k4_3od_x1.0,init,4,262.1794,250.135,0.0
A_k4_3od_x1.0,init,5,226.9232,223.893,0.0
A_k4_3od_x1.0,init,6,262.75640000000004,244.083,0.0
A_k4_3od_x1.0,init,7,242.8854,236.482,0.0
A_k4_3od_x1.0,init,8,241.222,234.275,0.0
A_k4_3od_x1.0,init,9,257.8732,242.387,0.0
A_k4_3od_x1.0,mutation,0,247.56440000000003,233.371,0.0
A_k4_3od_x1.0,mutation,1,236.3776,230.928,0.0
A_k4_3od_x1.0,mutation,2,236.3776,230.928,0.0
A_k4_3od_x1.0,mutation,3,234.0908,224.053,0.0
A_k4_3od_x1.0,mutation,4,249.2378,240.346,0.0
A_k4_3od_x1.0,mutation,5,252.0614,231.718,0.0
A_k4_3od_x1.0,mutation,6,247.6004,236.189,0.0
A_k4_3od_x1.0,mutation,7,254.1194,242.95,0.0
A_k4_3od_x1.0,mutation,8,254.506,242.966,0.0
A_k4_3od_x1.0,mutation,9,240.1832,229.631,0.0
A_k4_3od_x1.0,none,0,270.91880000000003,241.621,0.0
A_k4_3od_x1.0,none,1,250.6684,239.198,0.0
A_k4_3od_x1.0,none,2,263.0106,237.158,0.0
A_k4_3od_x1.0,none,3,240.1832,229.631,0.0
A_k4_3od_x1.0,none,4,236.8828,231.076,0.0
A_k4_3od_x1.0,none,5,243.9526,240.305,0.0
A_k4_3od_x1.0,none,6,252.8146,238.339,0.0
A_k4_3od_x1.0,none,7,257.0996,245.028,0.0
A_k4_3od_x1.0,none,8,240.1832,229.631,0.0
A_k4_3od_x1.0,none,9,247.56440000000003,233.371,0.0
B_k9_3od_x1.0,both,0,511.7154000000001,471.5665,0.0
B_k9_3od_x1.0,both,1,514.1066,471.1915,0.0
B_k9_3od_x1.0,both,2,484.01810000000006,461.859,0.0
B_k9_3od_x1.0,both,3,481.9324,470.233,0.0
B_k9_3od_x1.0,both,4,490.0371,470.7345,0.0
B_k9_3od_x1.0,both,5,528.3397,478.274,0.0
B_k9_3od_x1.0,both,6,479.5956,471.143,0.0
B_k9_3od_x1.0,both,7,496.2311,485.0875,0.0
B_k9_3od_x1.0,both,8,504.6822,476.677,0.0
B_k9_3od_x1.0,both,9,502.68,473.0795,0.0
B_k9_3od_x1.0,init,0,509.4005,475.2,0.0
B_k9_3od_x1.0,init,1,502.7072,479.4145,0.0
B_k9_3od_x1.0,init,2,517.1949999999999,462.6865,0.0
B_k9_3od_x1.0,init,3,493.4532,480.004,0.0
B_k9_3od_x1.0,init,4,511.4464,486.493,0.0
B_k9_3od_x1.0,init,5,494.6094,470.0475,0.0
B_k9_3od_x1.0,init,6,502.7675,475.361,0.0
B_k9_3od_x1.0,init,7,506.9852,477.4215,0.0
B_k9_3od_x1.0,init,8,501.9933,474.797,0.0
B_k9_3od_x1.0,init,9,517.0741,481.447,0.0
B_k9_3od_x1.0,mutation,0,497.1318,470.0685,0.0
B_k9_3od_x1.0,mutation,1,487.3927,480.5015,0.0
B_k9_3od_x1.0,mutation,2,498.5042,473.8005,0.0
B_k9_3od_x1.0,mutation,3,513.5803,478.6265,0.0
B_k9_3od_x1.0,mutation,4,501.51270000000005,470.5195,0.0
B_k9_3od_x1.0,mutation,5,487.5436,476.1895,0.0
B_k9_3od_x1.0,mutation,6,522.4493,468.967,0.0
B_k9_3od_x1.0,mutation,7,490.3236,480.3775,0.0
B_k9_3od_x1.0,mutation,8,496.0658,479.5045,0.0
B_k9_3od_x1.0,mutation,9,504.77830000000006,476.935,0.0
B_k9_3od_x1.0,none,0,504.1130999999999,479.6265,0.0
B_k9_3od_x1.0,none,1,526.7121,485.762,0.0
B_k9_3od_x1.0,none,2,498.3128,473.191,0.0
B_k9_3od_x1.0,none,3,518.4783,486.0495,0.0
B_k9_3od_x1.0,none,4,519.6835,478.671,0.0
B_k9_3od_x1.0,none,5,510.4465,479.993,0.0
B_k9_3od_x1.0,none,6,507.1137,477.06,0.0
B_k9_3od_x1.0,none,7,500.6462,478.887,0.0
B_k9_3od_x1.0,none,8,504.76720000000006,484.849,0.0
B_k9_3od_x1.0,none,9,507.1249,483.569,0.0
J_k9_6od_x1.0,both,0,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,both,1,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,both,2,384.5953333333333,366.2073333333333,0.0
J_k9_6od_x1.0,both,3,340.11400000000003,338.6173333333333,0.0
J_k9_6od_x1.0,both,4,331.1134666666667,324.6326666666667,0.0
J_k9_6od_x1.0,both,5,368.14773333333335,362.95866666666666,0.0
J_k9_6od_x1.0,both,6,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,both,7,354.7349333333333,373.832,0.0
J_k9_6od_x1.0,both,8,376.69826666666665,359.05733333333336,0.0
J_k9_6od_x1.0,both,9,384.5953333333333,366.2073333333333,0.0
J_k9_6od_x1.0,init,0,368.14773333333335,362.95866666666666,0.0
