inst,arm,mean,A12,p,both_worst,arm_best,F6,F7,G21
A_k4_3od_x1.0,none,250.32782000000003,0.69,0.16102465710614677,254.1574,236.8828,0.6440986284245871,0.8051232855307339,1.0
A_k4_3od_x1.0,init,248.13032000000004,0.64,0.30694328264676696,254.1574,226.9232,0.6694220784915795,0.9208298479403009,1.0
A_k4_3od_x1.0,mutation,245.21185999999997,0.595,0.4946648397254585,254.1574,234.0908,0.6694220784915795,0.989329679450917,1.0
A_k4_3od_x1.0,surrogate_repaired,232.46472000000003,0.18,0.01581575599525313,254.1574,226.9232,0.09344376824184113,0.10901772961548131,0.26475734335188317
A_k4_3od_x1.0,heuristic,237.3558,0.335,0.2231406928305265,254.1574,226.9232,0.6694220784915795,0.892562771322106,1.0
A_k4_3od_x1.0,sa,232.43850000000003,0.18,0.015573961373640187,254.1574,226.9232,0.09344376824184113,0.10901772961548131,0.26475734335188317
A_k4_3od_x1.0,surrogate_submitted,243.96188,0.53,0.8488664845268682,254.1574,230.8696,,0.989329679450917,1.0
B_k9_3od_x1.0,none,509.73983,0.71,0.12122450301291662,528.3397,498.3128,0.520549448301134,0.520549448301134,1.0
B_k9_3od_x1.0,init,505.76318000000003,0.64,0.3074894566186813,528.3397,493.4532,0.922468369856044,0.922468369856044,1.0
B_k9_3od_x1.0,mutation,499.92823,0.53,0.8501067391385259,528.3397,487.3927,0.9453511870231743,0.9453511870231743,1.0
B_k9_3od_x1.0,surrogate_repaired,491.8254,0.4,0.47267559351158717,528.3397,478.4515,0.9453511870231743,0.9453511870231743,1.0
B_k9_3od_x1.0,heuristic,522.37742,0.9,0.0028272720911168077,528.3397,509.7623,0.016963632546700847,0.019790904637817654,0.053718169731219345
B_k9_3od_x1.0,sa,511.46438,0.72,0.10410988966022681,528.3397,494.45079999999996,0.520549448301134,0.520549448301134,1.0
B_k9_3od_x1.0,surrogate_submitted,515.31988,0.75,0.06402210128302689,528.3397,498.746,,0.3841326076981614,0.9603315192454034
J_k9_6od_x1.0,none,363.6348266666667,0.5,1.0,384.5953333333333,340.11400000000003,1.0,1.0,1.0
J_k9_6od_x1.0,init,355.65556,0.41,0.5142897832395805,384.5953333333333,331.1134666666667,1.0,1.0,1.0
J_k9_6od_x1.0,mutation,371.94258666666667,0.625,0.3480783145248624,384.5953333333333,354.6974666666666,1.0,1.0,1.0
J_k9_6od_x1.0,surrogate_repaired,588.054,1.0,0.00017167508717120289,384.5953333333333,460.82199999999995,0.0010300505230272173,0.0012017256101984203,0.0036051768305952604
J_k9_6od_x1.0,heuristic,366.60225333333335,0.66,0.23936898881913804,384.5953333333333,355.1304,0.9574759552765522,0.9574759552765522,1.0
J_k9_6od_x1.0,sa,477.21984000000003,0.88,0.004419865466729881,384.5953333333333,342.1890666666667,0.0220993273336494,0.0220993273336494,0.07955757840113785
J_k9_6od_x1.0,surrogate_submitted,576.93924,0.96,0.0005474211321582557,384.5953333333333,365.9216,,0.003284526792949534,0.010948422643165114
