inst,arm,mean,A12,p,both_worst,arm_best,diff_vs_both,F7,G21
A_k4_3od_x1.0,none,250.32782000000003,0.69,0.16102465710614677,254.1574,236.8828,7.3138200000000495,0.6440986284245871,1.0
A_k4_3od_x1.0,init,248.13032000000004,0.64,0.30694328264676696,254.1574,226.9232,5.116320000000059,0.9208298479403009,1.0
A_k4_3od_x1.0,mutation,245.21185999999997,0.595,0.4946648397254585,254.1574,234.0908,2.1978599999999915,0.989329679450917,1.0
A_k4_3od_x1.0,surrogate_repaired,230.52064000000004,0.13,0.0047164029813884095,254.1574,226.9232,-12.493359999999939,0.03301482086971887,0.08017885068360296
A_k4_3od_x1.0,heuristic,244.17122,0.51,0.9697703583295203,254.1574,226.9232,1.1572200000000237,0.989329679450917,1.0
A_k4_3od_x1.0,sa,233.04773999999998,0.205,0.02607722895443427,254.1574,226.9232,-9.966260000000005,0.1436061178979227,0.39115843431651404
A_k4_3od_x1.0,surrogate_submitted,233.54303999999996,0.2,0.02393435298298712,254.1574,226.9232,-9.47096000000002,0.1436061178979227,0.38294964772779394
B_k9_3od_x1.0,none,509.73983,0.71,0.12122450301291662,528.3397,498.3128,10.40600999999998,0.520549448301134,1.0
B_k9_3od_x1.0,init,505.76318000000003,0.64,0.3074894566186813,528.3397,493.4532,6.429360000000031,0.922468369856044,1.0
B_k9_3od_x1.0,mutation,499.92823,0.53,0.8501067391385259,528.3397,487.3927,0.5944099999999821,0.9453511870231743,1.0
B_k9_3od_x1.0,surrogate_repaired,491.8254,0.4,0.47267559351158717,528.3397,478.4515,-7.508420000000001,0.9453511870231743,1.0
B_k9_3od_x1.0,heuristic,522.37742,0.9,0.0028272720911168077,528.3397,509.7623,23.043600000000026,0.019790904637817654,0.053718169731219345
B_k9_3od_x1.0,sa,511.46438,0.72,0.10410988966022681,528.3397,494.45079999999996,12.130560000000003,0.520549448301134,1.0
B_k9_3od_x1.0,surrogate_submitted,515.31988,0.75,0.06402210128302689,528.3397,498.746,15.986060000000009,0.3841326076981614,0.8963094179623765
J_k9_6od_x1.0,none,363.6348266666667,0.5,1.0,384.5953333333333,340.11400000000003,3.2144400000000246,1.0,1.0
J_k9_6od_x1.0,init,355.65556,0.41,0.5142897832395805,384.5953333333333,331.1134666666667,-4.764826666666693,1.0,1.0
J_k9_6od_x1.0,mutation,371.94258666666667,0.625,0.3480783145248624,384.5953333333333,354.6974666666666,11.522199999999998,1.0,1.0
J_k9_6od_x1.0,surrogate_repaired,588.054,1.0,0.00017167508717120289,384.5953333333333,460.82199999999995,227.6336133333333,0.0012017256101984203,0.0036051768305952604
J_k9_6od_x1.0,heuristic,366.60225333333335,0.66,0.23936898881913804,384.5953333333333,355.1304,6.181866666666679,0.9574759552765522,1.0
J_k9_6od_x1.0,sa,477.21984000000003,0.88,0.004419865466729881,384.5953333333333,342.1890666666667,116.79945333333336,0.0220993273336494,0.07955757840113785
J_k9_6od_x1.0,surrogate_submitted,576.93924,0.96,0.0005474211321582557,384.5953333333333,365.9216,216.51885333333337,0.003284526792949534,0.010948422643165114
