inst,arm,n,mean,best,worst,sd,range
A_k4_3od_x1.0,none,10,236.53579999999997,229.631,245.028,5.3550335780667355,15.396999999999991
A_k4_3od_x1.0,init,10,237.80990000000003,223.893,250.921,9.683480658087541,27.02799999999999
A_k4_3od_x1.0,mutation,10,234.308,224.053,242.966,6.2103404451321715,18.91300000000001
A_k4_3od_x1.0,surrogate_repaired,10,225.74409999999997,223.893,230.928,3.0013848822020655,7.034999999999997
A_k4_3od_x1.0,heuristic,10,233.09879999999998,223.893,242.44,5.502918615506583,18.546999999999997
A_k4_3od_x1.0,sa,10,226.4663,223.893,231.718,3.3663529573313213,7.824999999999989
A_k4_3od_x1.0,surrogate_submitted,10,227.68500000000003,223.893,231.377,3.3321072411713706,7.484000000000009
A_k4_3od_x1.0,both,10,235.35009999999997,224.053,247.213,7.750782346891756,23.159999999999997
A_k4_3od_x1.0,heuristic_rev,10,248.6719,237.221,257.056,6.291790037642527,19.83499999999998
B_k9_3od_x1.0,none,10,480.7658,473.191,486.0495,4.194358673000897,12.85850000000005
B_k9_3od_x1.0,init,10,476.2871999999999,462.6865,486.493,6.530582555263428,23.80649999999997
B_k9_3od_x1.0,mutation,10,475.5490000000001,468.967,480.5015,4.434731834558269,11.534500000000037
B_k9_3od_x1.0,surrogate_repaired,10,477.90684999999996,464.226,487.196,6.5405689781802145,22.970000000000027
B_k9_3od_x1.0,heuristic,10,484.3215,478.313,490.9035,4.351723375093304,12.59050000000002
B_k9_3od_x1.0,sa,10,478.76090000000005,464.76,490.292,7.305073453125272,25.531999999999982
B_k9_3od_x1.0,surrogate_submitted,10,502.28755,490.6745,512.2135,6.852197301474402,21.53899999999993
B_k9_3od_x1.0,both,10,472.98454999999996,461.859,485.0875,6.083965247773125,23.228499999999997
B_k9_3od_x1.0,heuristic_rev,10,486.90995000000004,481.212,492.052,3.69043722530121,10.840000000000032
J_k9_6od_x1.0,none,10,363.59566666666666,338.6173333333333,380.0353333333333,12.925048840560105,41.418000000000006
J_k9_6od_x1.0,init,10,356.4134,324.6326666666667,382.194,18.70667201354163,57.56133333333332
J_k9_6od_x1.0,mutation,10,371.71126666666663,359.05733333333336,380.0353333333333,6.436104660812951,20.977999999999952
J_k9_6od_x1.0,surrogate_repaired,10,564.1110000000001,380.0353333333333,644.456,89.85117511889823,264.4206666666667
J_k9_6od_x1.0,heuristic,10,355.51746660000003,348.275333,358.099333,3.044664692101333,9.824000000000012
J_k9_6od_x1.0,sa,10,450.0142667,338.067333,613.496667,99.0958600360842,275.429334
J_k9_6od_x1.0,surrogate_submitted,10,584.5805333,359.099333,643.504,84.99419885129555,284.404667
J_k9_6od_x1.0,both,10,361.3008666666666,324.6326666666667,373.832,16.809869320516423,49.1993333333333
