mode,seed,att_multi,att_default,n_ok,instance_id
both,0,247.60039999999998,236.189,5,A_k4_3od_x1.0
both,1,250.33200000000002,238.848,5,A_k4_3od_x1.0
both,2,254.1574,237.496,5,A_k4_3od_x1.0
both,3,247.60039999999998,236.189,5,A_k4_3od_x1.0
both,4,234.0908,224.053,5,A_k4_3od_x1.0
both,5,240.1832,229.631,5,A_k4_3od_x1.0
both,6,232.9852,247.213,5,A_k4_3od_x1.0
both,7,234.0908,224.053,5,A_k4_3od_x1.0
both,8,236.26619999999997,234.812,5,A_k4_3od_x1.0
both,9,252.83360000000002,245.017,5,A_k4_3od_x1.0
init,0,226.9232,223.893,5,A_k4_3od_x1.0
init,1,236.37759999999997,230.928,5,A_k4_3od_x1.0
init,2,264.8994,250.921,5,A_k4_3od_x1.0
init,3,259.2634,241.102,5,A_k4_3od_x1.0
init,4,262.1794,250.135,5,A_k4_3od_x1.0
init,5,226.9232,223.893,5,A_k4_3od_x1.0
init,6,262.75640000000004,244.083,5,A_k4_3od_x1.0
init,7,242.88539999999998,236.482,5,A_k4_3od_x1.0
init,8,241.22199999999998,234.275,5,A_k4_3od_x1.0
init,9,257.8732,242.387,5,A_k4_3od_x1.0
mutation,0,247.56440000000003,233.371,5,A_k4_3od_x1.0
mutation,1,236.37759999999997,230.928,5,A_k4_3od_x1.0
mutation,2,236.37759999999997,230.928,5,A_k4_3od_x1.0
mutation,3,234.0908,224.053,5,A_k4_3od_x1.0
mutation,4,249.23780000000002,240.346,5,A_k4_3od_x1.0
mutation,5,252.0614,231.718,5,A_k4_3od_x1.0
mutation,6,247.60039999999998,236.189,5,A_k4_3od_x1.0
mutation,7,254.11939999999998,242.95,5,A_k4_3od_x1.0
mutation,8,254.506,242.966,5,A_k4_3od_x1.0
mutation,9,240.1832,229.631,5,A_k4_3od_x1.0
none,0,270.91880000000003,241.621,5,A_k4_3od_x1.0
none,1,250.66839999999996,239.198,5,A_k4_3od_x1.0
none,2,263.0106,237.158,5,A_k4_3od_x1.0
none,3,240.1832,229.631,5,A_k4_3od_x1.0
none,4,236.8828,231.076,5,A_k4_3od_x1.0
none,5,243.9526,240.305,5,A_k4_3od_x1.0
none,6,252.81459999999998,238.339,5,A_k4_3od_x1.0
none,7,257.0996,245.028,5,A_k4_3od_x1.0
none,8,240.1832,229.631,5,A_k4_3od_x1.0
none,9,247.56440000000003,233.371,5,A_k4_3od_x1.0
both,0,511.71540000000005,471.5665,5,B_k9_3od_x1.0
both,1,514.1066,471.1915,5,B_k9_3od_x1.0
both,2,484.01810000000006,461.859,5,B_k9_3od_x1.0
both,3,481.9324,470.233,5,B_k9_3od_x1.0
both,4,490.0371,470.7345,5,B_k9_3od_x1.0
both,5,528.3397,478.274,5,B_k9_3od_x1.0
both,6,479.5956,471.143,5,B_k9_3od_x1.0
both,7,496.23109999999997,485.0875,5,B_k9_3od_x1.0
both,8,504.6822,476.677,5,B_k9_3od_x1.0
both,9,502.68,473.0795,5,B_k9_3od_x1.0
init,0,509.4005,475.2,5,B_k9_3od_x1.0
init,1,502.7072,479.4145,5,B_k9_3od_x1.0
init,2,517.1949999999999,462.6865,5,B_k9_3od_x1.0
init,3,493.45320000000004,480.004,5,B_k9_3od_x1.0
init,4,511.4464,486.493,5,B_k9_3od_x1.0
init,5,494.6094,470.0475,5,B_k9_3od_x1.0
init,6,502.76750000000004,475.361,5,B_k9_3od_x1.0
init,7,506.98519999999996,477.4215,5,B_k9_3od_x1.0
init,8,501.9933,474.797,5,B_k9_3od_x1.0
init,9,517.0741,481.447,5,B_k9_3od_x1.0
mutation,0,497.1318,470.0685,5,B_k9_3od_x1.0
mutation,1,487.3927,480.5015,5,B_k9_3od_x1.0
mutation,2,498.5042,473.8005,5,B_k9_3od_x1.0
mutation,3,513.5803,478.6265,5,B_k9_3od_x1.0
mutation,4,501.51270000000005,470.5195,5,B_k9_3od_x1.0
mutation,5,487.54359999999997,476.1895,5,B_k9_3od_x1.0
mutation,6,522.4493,468.967,5,B_k9_3od_x1.0
mutation,7,490.3236,480.3775,5,B_k9_3od_x1.0
