inst,arm,n,mean,A12,p,F6,F7,G18,G21
A_k4_3od_x1.0,none,10,236.53580000000002,0.57,0.6223900254290324,1.0,1.0,1.0,1.0
A_k4_3od_x1.0,init,10,237.80990000000003,0.56,0.6772412568365533,1.0,1.0,1.0,1.0
A_k4_3od_x1.0,mutation,10,234.308,0.445,0.7043957098378262,1.0,1.0,1.0,1.0
A_k4_3od_x1.0,surrogate_repaired,10,225.4554,0.1,0.002478118238759937,0.014526447332211465,0.016947521887580044,0.03873719288589724,0.04115826744126582
A_k4_3od_x1.0,heuristic,10,228.21370000000002,0.175,0.014832697187339636,0.05933078874935854,0.07416348593669818,0.17799236624807563,0.19282506343541528
A_k4_3od_x1.0,sa,10,225.9085,0.1,0.0024210745553685776,0.014526447332211465,0.016947521887580044,0.03873719288589724,0.04115826744126582
A_k4_3od_x1.0,surrogate_submitted,10,240.89079999999998,0.78,0.036063211239220815,,0.14425284495688326,,0.39669532363142895
B_k9_3od_x1.0,none,10,480.7658,0.89,0.0036105143123296027,0.018052571561648013,0.018052571561648013,0.05054720037261444,0.05415771468494404
B_k9_3od_x1.0,init,10,476.28720000000004,0.68,0.18587673236587576,0.3717534647317515,0.3717534647317515,1.0,1.0
B_k9_3od_x1.0,mutation,10,475.549,0.62,0.3846730627355087,0.3846730627355087,0.3846730627355087,1.0,1.0
B_k9_3od_x1.0,surrogate_repaired,10,477.90685,0.73,0.08897301170181328,0.26691903510543985,0.26691903510543985,0.7117840936145062,0.7117840936145062
B_k9_3od_x1.0,heuristic,10,484.3215,0.95,0.0007650229509193601,0.0045901377055161605,0.0045901377055161605,0.013005390165629122,0.014535436067467843
B_k9_3od_x1.0,sa,10,478.76090000000005,0.78,0.03763531378731424,0.15054125514925695,0.15054125514925695,0.3763531378731424,0.39669532363142895
B_k9_3od_x1.0,surrogate_submitted,10,502.28755,1.0,0.00018267179110955002,,0.0012787025377668502,,0.003653435822191
J_k9_6od_x1.0,none,10,363.59566666666666,0.51,0.9691584714604924,1.0,1.0,1.0,1.0
J_k9_6od_x1.0,init,10,356.4134,0.44,0.673029334230173,1.0,1.0,1.0,1.0
J_k9_6od_x1.0,mutation,10,371.7112666666667,0.735,0.07210526659478539,0.21631579978435617,0.21631579978435617,0.6489473993530686,0.6489473993530686
J_k9_6od_x1.0,surrogate_repaired,10,564.111,1.0,0.00017167508717120289,0.0010300505230272173,0.0012017256101984203,0.0030901515690816518,0.0036051768305952604
J_k9_6od_x1.0,heuristic,10,355.5174666,0.2,0.025138369534239386,0.10055347813695754,0.10055347813695754,0.2765220648766332,0.30166043441087265
J_k9_6od_x1.0,sa,10,450.0142667,0.83,0.013625336234740756,0.06812668117370378,0.06812668117370378,0.17712937105162985,0.1907547072863706
J_k9_6od_x1.0,surrogate_submitted,10,584.5805333000001,0.93,0.0012443463522029024,,0.007466078113217414,,0.022398234339652243
