inst,arm,n,mean,A12,p,F7,G21
A_k4_3od_x1.0,none,10,236.53579999999997,0.57,0.6223900254290324,1.0,1.0
A_k4_3od_x1.0,init,10,237.80990000000003,0.56,0.6772412568365533,1.0,1.0
A_k4_3od_x1.0,mutation,10,234.308,0.445,0.7043957098378262,1.0,1.0
A_k4_3od_x1.0,surrogate_repaired,10,225.74409999999997,0.08,0.0013140860648392504,0.009198602453874752,0.022398234339652243
A_k4_3od_x1.0,heuristic,10,233.09879999999998,0.4,0.4715066393374774,1.0,1.0
A_k4_3od_x1.0,sa,10,226.4663,0.115,0.003550104363517113,0.021300626181102678,0.056801669816273805
A_k4_3od_x1.0,surrogate_submitted,10,227.68500000000003,0.16,0.010336166061157875,0.05168083030578938,0.14470632485621024
B_k9_3od_x1.0,none,10,480.7658,0.89,0.0036105143123296027,0.018052571561648013,0.056801669816273805
B_k9_3od_x1.0,init,10,476.2871999999999,0.68,0.18587673236587576,0.3717534647317515,1.0
B_k9_3od_x1.0,mutation,10,475.5490000000001,0.62,0.3846730627355087,0.3846730627355087,1.0
B_k9_3od_x1.0,surrogate_repaired,10,477.90684999999996,0.73,0.08897301170181328,0.26691903510543985,0.8007571053163195
B_k9_3od_x1.0,heuristic,10,484.3215,0.95,0.0007650229509193601,0.0045901377055161605,0.014535436067467843
B_k9_3od_x1.0,sa,10,478.76090000000005,0.78,0.03763531378731424,0.15054125514925695,0.4139884516604566
B_k9_3od_x1.0,surrogate_submitted,10,502.28755,1.0,0.00018267179110955002,0.0012787025377668502,0.003653435822191
J_k9_6od_x1.0,none,10,363.59566666666666,0.51,0.9691584714604924,1.0,1.0
J_k9_6od_x1.0,init,10,356.4134,0.44,0.673029334230173,1.0,1.0
J_k9_6od_x1.0,mutation,10,371.71126666666663,0.735,0.07210526659478539,0.21631579978435617,0.7210526659478539
J_k9_6od_x1.0,surrogate_repaired,10,564.1110000000001,1.0,0.00017167508717120289,0.0012017256101984203,0.0036051768305952604
J_k9_6od_x1.0,heuristic,10,355.51746660000003,0.2,0.025138369534239386,0.10055347813695754,0.30166043441087265
J_k9_6od_x1.0,sa,10,450.0142667,0.83,0.013625336234740756,0.06812668117370378,0.17712937105162985
J_k9_6od_x1.0,surrogate_submitted,10,584.5805333,0.93,0.0012443463522029024,0.007466078113217414,0.022398234339652243
