instance_id,mode,seed,gen,score,bsf
A_k4_1od_x0.8,both,0,1,230.42625,230.42625
A_k4_1od_x0.8,both,0,2,228.71,228.71
A_k4_1od_x0.8,both,0,3,228.5,228.5
A_k4_1od_x0.8,both,0,4,240.31375,228.5
A_k4_1od_x0.8,both,0,5,223.43625,223.43625
A_k4_1od_x0.8,both,0,6,230.15375,223.43625
A_k4_1od_x0.8,both,0,7,225.6425,223.43625
A_k4_1od_x0.8,both,0,8,229.14625,223.43625
A_k4_1od_x0.8,both,0,9,231.05875,223.43625
A_k4_1od_x0.8,both,0,10,229.9425,223.43625
A_k4_1od_x0.8,both,0,11,229.2475,223.43625
A_k4_1od_x0.8,both,0,12,229.2475,223.43625
A_k4_1od_x0.8,both,0,13,229.2475,223.43625
A_k4_1od_x0.8,both,0,14,228.13625,223.43625
A_k4_1od_x0.8,both,0,15,231.815,223.43625
A_k4_1od_x0.8,both,1,1,244.31625,244.31625
A_k4_1od_x0.8,both,1,2,241.83625,241.83625
A_k4_1od_x0.8,both,1,3,245.30625,241.83625
A_k4_1od_x0.8,both,1,4,234.485,234.485
A_k4_1od_x0.8,both,1,5,236.6375,234.485
A_k4_1od_x0.8,both,1,6,237.79,234.485
A_k4_1od_x0.8,both,1,7,234.28125,234.28125
A_k4_1od_x0.8,both,1,8,225.94625,225.94625
A_k4_1od_x0.8,both,1,9,227.25125,225.94625
A_k4_1od_x0.8,both,1,10,231.26625,225.94625
A_k4_1od_x0.8,both,1,11,225.78875,225.78875
A_k4_1od_x0.8,both,1,12,233.37375,225.78875
A_k4_1od_x0.8,both,1,13,225.78875,225.78875
A_k4_1od_x0.8,both,1,14,230.54125,225.78875
A_k4_1od_x0.8,both,1,15,220.10375,220.10375
A_k4_1od_x0.8,both,2,1,237.19,237.19
A_k4_1od_x0.8,both,2,2,229.30625,229.30625
A_k4_1od_x0.8,both,2,3,234.34875,229.30625
A_k4_1od_x0.8,both,2,4,233.15375,229.30625
A_k4_1od_x0.8,both,2,5,231.94875,229.30625
A_k4_1od_x0.8,both,2,6,227.41875,227.41875
A_k4_1od_x0.8,both,2,7,220.695,220.695
A_k4_1od_x0.8,both,2,8,230.745,220.695
A_k4_1od_x0.8,both,2,9,234.58625,220.695
A_k4_1od_x0.8,both,2,10,227.76,220.695
A_k4_1od_x0.8,both,2,11,235.14625,220.695
A_k4_1od_x0.8,both,2,12,233.3725,220.695
A_k4_1od_x0.8,both,2,13,236.03375,220.695
A_k4_1od_x0.8,both,2,14,229.2475,220.695
A_k4_1od_x0.8,both,2,15,230.37375,220.695
A_k4_1od_x0.8,both,3,1,232.52375,232.52375
A_k4_1od_x0.8,both,3,2,233.18875,232.52375
A_k4_1od_x0.8,both,3,3,234.0025,232.52375
A_k4_1od_x0.8,both,3,4,236.97375,232.52375
A_k4_1od_x0.8,both,3,5,240.03875,232.52375
A_k4_1od_x0.8,both,3,6,239.65375,232.52375
A_k4_1od_x0.8,both,3,7,233.7875,232.52375
A_k4_1od_x0.8,both,3,8,232.35125,232.35125
A_k4_1od_x0.8,both,3,9,233.47875,232.35125
A_k4_1od_x0.8,both,3,10,232.52375,232.35125
A_k4_1od_x0.8,both,3,11,225.78875,225.78875
A_k4_1od_x0.8,both,3,12,228.26375,225.78875
A_k4_1od_x0.8,both,3,13,231.22625,225.78875
A_k4_1od_x0.8,both,3,14,226.61875,225.78875
A_k4_1od_x0.8,both,3,15,233.39625,225.78875
A_k4_1od_x0.8,both,4,1,242.84125,242.84125
A_k4_1od_x0.8,both,4,2,237.32375,237.32375
A_k4_1od_x0.8,both,4,3,229.71,229.71
A_k4_1od_x0.8,both,4,4,234.28125,229.71
A_k4_1od_x0.8,both,4,5,237.26375,229.71
A_k4_1od_x0.8,both,4,6,231.63125,229.71
A_k4_1od_x0.8,both,4,7,225.78875,225.78875
A_k4_1od_x0.8,both,4,8,231.99375,225.78875
A_k4_1od_x0.8,both,4,9,232.52375,225.78875
A_k4_1od_x0.8,both,4,10,227.80625,225.78875
A_k4_1od_x0.8,both,4,11,233.44625,225.78875
A_k4_1od_x0.8,both,4,12,233.80625,225.78875
A_k4_1od_x0.8,both,4,13,235.3125,225.78875
A_k4_1od_x0.8,both,4,14,227.55625,225.78875
A_k4_1od_x0.8,both,4,15,232.09625,225.78875
A_k4_1od_x0.8,both,5,1,239.68125,239.68125
A_k4_1od_x0.8,both,5,2,231.22125,231.22125
A_k4_1od_x0.8,both,5,3,228.2925,228.2925
A_k4_1od_x0.8,both,5,4,227.80625,227.80625
A_k4_1od_x0.8,both,5,5,229.14625,227.80625
A_k4_1od_x0.8,both,5,6,226.2175,226.2175
A_k4_1od_x0.8,both,5,7,227.25125,226.2175
A_k4_1od_x0.8,both,5,8,226.1025,226.1025
A_k4_1od_x0.8,both,5,9,233.59875,226.1025
A_k4_1od_x0.8,both,5,10,232.28,226.1025
A_k4_1od_x0.8,both,5,11,229.2475,226.1025
A_k4_1od_x0.8,both,5,12,234.33,226.1025
A_k4_1od_x0.8,both,5,13,231.44,226.1025
A_k4_1od_x0.8,both,5,14,226.71875,226.1025
A_k4_1od_x0.8,both,5,15,228.64,226.1025
A_k4_1od_x0.8,both,6,1,235.69625,235.69625
A_k4_1od_x0.8,both,6,2,239.4225,235.69625
A_k4_1od_x0.8,both,6,3,232.19125,232.19125
A_k4_1od_x0.8,both,6,4,226.47625,226.47625
A_k4_1od_x0.8,both,6,5,229.765,226.47625
A_k4_1od_x0.8,both,6,6,232.46375,226.47625
A_k4_1od_x0.8,both,6,7,221.7325,221.7325
A_k4_1od_x0.8,both,6,8,228.13625,221.7325
A_k4_1od_x0.8,both,6,9,243.98125,221.7325
A_k4_1od_x0.8,both,6,10,224.96625,221.7325
A_k4_1od_x0.8,both,6,11,239.91375,221.7325
A_k4_1od_x0.8,both,6,12,225.98125,221.7325
A_k4_1od_x0.8,both,6,13,235.11125,221.7325
A_k4_1od_x0.8,both,6,14,233.065,221.7325
A_k4_1od_x0.8,both,6,15,239.60375,221.7325
A_k4_1od_x0.8,both,7,1,239.34625,239.34625
A_k4_1od_x0.8,both,7,2,231.6225,231.6225
A_k4_1od_x0.8,both,7,3,237.32,231.6225
A_k4_1od_x0.8,both,7,4,232.52375,231.6225
A_k4_1od_x0.8,both,7,5,237.8925,231.6225
A_k4_1od_x0.8,both,7,6,232.995,231.6225
A_k4_1od_x0.8,both,7,7,228.43125,228.43125
A_k4_1od_x0.8,both,7,8,233.4925,228.43125
A_k4_1od_x0.8,both,7,9,236.7975,228.43125
A_k4_1od_x0.8,both,7,10,238.43,228.43125
A_k4_1od_x0.8,both,7,11,229.95875,228.43125
A_k4_1od_x0.8,both,7,12,239.05125,228.43125
A_k4_1od_x0.8,both,7,13,228.43125,228.43125
A_k4_1od_x0.8,both,7,14,231.12875,228.43125
A_k4_1od_x0.8,both,7,15,235.015,228.43125
A_k4_1od_x0.8,both,8,1,237.075,237.075
A_k4_1od_x0.8,both,8,2,238.1475,237.075
A_k4_1od_x0.8,both,8,3,234.715,234.715
A_k4_1od_x0.8,both,8,4,228.745,228.745
A_k4_1od_x0.8,both,8,5,235.25125,228.745
A_k4_1od_x0.8,both,8,6,239.3875,228.745
A_k4_1od_x0.8,both,8,7,241.6175,228.745
A_k4_1od_x0.8,both,8,8,225.78875,225.78875
A_k4_1od_x0.8,both,8,9,233.7325,225.78875
A_k4_1od_x0.8,both,8,10,233.8075,225.78875
A_k4_1od_x0.8,both,8,11,225.78875,225.78875
A_k4_1od_x0.8,both,8,12,230.1525,225.78875
A_k4_1od_x0.8,both,8,13,231.99375,225.78875
A_k4_1od_x0.8,both,8,14,231.4075,225.78875
A_k4_1od_x0.8,both,8,15,236.755,225.78875
A_k4_1od_x0.8,both,9,1,233.44625,233.44625
A_k4_1od_x0.8,both,9,2,231.63125,231.63125
A_k4_1od_x0.8,both,9,3,228.32625,228.32625
A_k4_1od_x0.8,both,9,4,221.33875,221.33875
A_k4_1od_x0.8,both,9,5,232.52375,221.33875
A_k4_1od_x0.8,both,9,6,225.78875,221.33875
