group,mode,g1,g2,g3,g5,g10,g15
J_k9_6od_x1.0,none,531.351,458.5396666666667,418.7276,393.9386666666667,384.079,363.59566666666666
J_k9_6od_x1.0,init,538.3522666666667,485.02619999999996,413.20186666666666,398.66066666666666,387.76259999999996,356.4134
J_k9_6od_x1.0,mutation,531.351,517.7720666666667,475.43353333333334,429.1959333333333,397.1641333333333,371.7112666666667
J_k9_6od_x1.0,both,538.3522666666667,500.38486666666665,437.5395333333333,432.15206666666666,365.1030666666667,361.30086666666665
network A (mean over its instances),none,278.49834791666666,268.088709375,262.77638125,256.861953125,251.31959687499997,247.41148125
network A (mean over its instances),init,271.867234375,264.7451854166667,259.4245989583334,255.91705833333336,249.4797145833333,246.44935520833332
network A (mean over its instances),mutation,278.49834791666666,263.1384072916667,257.7993583333333,251.89818437499997,247.35521250000002,245.33036875
network A (mean over its instances),both,271.867234375,261.61575208333335,258.0238697916667,252.82946041666668,247.20443020833332,244.44256041666668
network B (mean over its instances),none,620.9626185185185,616.4341935185186,612.7481097222222,609.5287277777778,604.4587259259259,601.8569444444445
network B (mean over its instances),init,615.421199074074,611.0301152777778,608.8613416666667,606.0279527777777,603.2196708333333,601.5562027777778
network B (mean over its instances),mutation,620.9626185185185,612.7591569444444,609.452050925926,605.6304101851852,602.2742388888889,600.6302328703704
network B (mean over its instances),both,615.421199074074,610.4789898148149,608.0217453703704,604.6198726851852,601.1216439814815,599.5103537037037
network C (mean over its instances),none,625.0957004629629,620.7883175925925,618.2609231481481,614.5840981481481,611.4546824074074,609.6832949074075
network C (mean over its instances),init,622.7277814814814,618.2403226851852,616.8258208333334,614.0397824074074,609.9518277777778,608.8801402777777
network C (mean over its instances),mutation,625.0957004629629,619.2939069444444,616.4660527777778,613.1075763888889,610.1932351851852,608.6985870370371
network C (mean over its instances),both,622.7277814814814,617.243188425926,615.507225,612.8609625,609.9331546296296,608.2360550925927
network D (mean over its instances),none,621.9239347222223,618.4132037037036,615.7207032407407,613.6289736111111,610.9387648148148,609.7111259259259
network D (mean over its instances),init,620.0102439814815,616.7786143518518,615.0961337962963,613.6324125,611.0955949074074,609.7260782407408
network D (mean over its instances),mutation,621.9239347222223,617.0404583333334,615.4247194444445,613.010237962963,610.2134564814816,608.8555314814815
network D (mean over its instances),both,620.0102439814815,615.9297064814814,614.4897097222222,612.6004833333334,610.190974074074,608.839638425926
network J (mean over its instances),none,501.3006111111111,465.95115740740744,449.33136666666667,416.26523148148146,393.3601388888889,378.75246296296297
network J (mean over its instances),init,488.848662962963,457.18477962962965,425.0913907407407,411.14375925925924,400.44093148148147,379.70577222222227
network J (mean over its instances),mutation,501.3006111111111,471.11027222222225,432.0161407407407,409.84273703703707,388.8696185185185,375.19595925925927
network J (mean over its instances),both,488.848662962963,461.0874462962963,431.6120759259259,411.6312722222222,380.2963925925926,374.6922333333333
all 38 instances,none,540.6244447368421,532.7180152777778,528.1782309210527,522.1938819809942,516.6396513157895,513.3371454312866
all 38 instances,init,535.9188653874269,529.0515077119883,524.1505429093568,520.6333966739766,516.1990619152047,512.9519460526316
all 38 instances,mutation,540.6244447368421,530.5336782894736,524.4875972953216,519.2223080774853,514.4626034356725,511.8918418494152
all 38 instances,both,535.9188653874269,528.1330346856726,523.7156659722223,519.1647728070176,513.4141203581871,511.28662127192985
