instance_id,net,mode,seed,gen,n_indiv,distinct_genotypes,distinct_edges,mean_k
A_k4_1od_x0.8,A,both,0,1,24,22,29,2.2916666666666665
A_k4_1od_x0.8,A,both,0,2,23,23,31,4.0
A_k4_1od_x0.8,A,both,0,3,22,22,31,4.0
A_k4_1od_x0.8,A,both,0,4,22,22,31,4.0
A_k4_1od_x0.8,A,both,0,5,22,22,27,4.0
A_k4_1od_x0.8,A,both,0,6,23,23,31,4.0
A_k4_1od_x0.8,A,both,0,7,22,22,33,4.0
A_k4_1od_x0.8,A,both,0,8,22,22,31,4.0
A_k4_1od_x0.8,A,both,0,9,23,23,28,4.0
A_k4_1od_x0.8,A,both,0,10,22,22,31,4.0
A_k4_1od_x0.8,A,both,0,11,23,23,32,4.0
A_k4_1od_x0.8,A,both,0,12,22,22,29,4.0
A_k4_1od_x0.8,A,both,0,13,21,21,32,4.0
A_k4_1od_x0.8,A,both,0,14,23,23,35,4.0
A_k4_1od_x0.8,A,both,0,15,22,22,33,4.0
A_k4_1od_x0.8,A,both,1,1,24,18,26,1.875
A_k4_1od_x0.8,A,both,1,2,23,23,30,4.0
A_k4_1od_x0.8,A,both,1,3,23,23,32,4.0
A_k4_1od_x0.8,A,both,1,4,22,22,30,4.0
A_k4_1od_x0.8,A,both,1,5,23,23,32,4.0
A_k4_1od_x0.8,A,both,1,6,23,23,32,4.0
A_k4_1od_x0.8,A,both,1,7,22,22,33,4.0
A_k4_1od_x0.8,A,both,1,8,23,23,31,4.0
A_k4_1od_x0.8,A,both,1,9,23,23,29,4.0
A_k4_1od_x0.8,A,both,1,10,22,22,30,4.0
A_k4_1od_x0.8,A,both,1,11,23,23,29,4.0
A_k4_1od_x0.8,A,both,1,12,23,23,31,4.0
A_k4_1od_x0.8,A,both,1,13,22,22,30,4.0
A_k4_1od_x0.8,A,both,1,14,23,23,28,4.0
A_k4_1od_x0.8,A,both,1,15,23,23,28,4.0
A_k4_1od_x0.8,A,both,2,1,24,19,28,2.0
A_k4_1od_x0.8,A,both,2,2,23,23,32,4.0
A_k4_1od_x0.8,A,both,2,3,23,23,33,4.0
A_k4_1od_x0.8,A,both,2,4,23,23,30,4.0
A_k4_1od_x0.8,A,both,2,5,23,23,30,4.0
A_k4_1od_x0.8,A,both,2,6,22,22,28,4.0
A_k4_1od_x0.8,A,both,2,7,23,23,32,4.0
A_k4_1od_x0.8,A,both,2,8,23,23,31,4.0
A_k4_1od_x0.8,A,both,2,9,23,23,31,4.0
A_k4_1od_x0.8,A,both,2,10,23,23,33,4.0
A_k4_1od_x0.8,A,both,2,11,23,23,31,4.0
A_k4_1od_x0.8,A,both,2,12,23,23,33,4.0
A_k4_1od_x0.8,A,both,2,13,21,21,29,4.0
A_k4_1od_x0.8,A,both,2,14,23,23,31,4.0
A_k4_1od_x0.8,A,both,2,15,22,22,32,4.0
A_k4_1od_x0.8,A,both,3,1,24,21,28,2.4166666666666665
A_k4_1od_x0.8,A,both,3,2,23,23,27,4.0
A_k4_1od_x0.8,A,both,3,3,23,23,33,4.0
A_k4_1od_x0.8,A,both,3,4,23,23,30,4.0
A_k4_1od_x0.8,A,both,3,5,23,23,28,4.0
A_k4_1od_x0.8,A,both,3,6,23,23,31,4.0
A_k4_1od_x0.8,A,both,3,7,22,22,31,4.0
A_k4_1od_x0.8,A,both,3,8,22,22,28,4.0
A_k4_1od_x0.8,A,both,3,9,23,23,34,4.0
A_k4_1od_x0.8,A,both,3,10,23,23,30,4.0
A_k4_1od_x0.8,A,both,3,11,23,23,31,4.0
A_k4_1od_x0.8,A,both,3,12,23,23,30,4.0
A_k4_1od_x0.8,A,both,3,13,23,23,32,4.0
A_k4_1od_x0.8,A,both,3,14,23,23,34,4.0
A_k4_1od_x0.8,A,both,3,15,23,23,29,4.0
A_k4_1od_x0.8,A,both,4,1,24,17,25,1.5833333333333333
A_k4_1od_x0.8,A,both,4,2,23,23,33,4.0
A_k4_1od_x0.8,A,both,4,3,23,23,30,4.0
A_k4_1od_x0.8,A,both,4,4,23,23,34,4.0
A_k4_1od_x0.8,A,both,4,5,23,23,32,4.0
A_k4_1od_x0.8,A,both,4,6,23,23,28,4.0
A_k4_1od_x0.8,A,both,4,7,23,23,31,4.0
A_k4_1od_x0.8,A,both,4,8,22,22,26,4.0
A_k4_1od_x0.8,A,both,4,9,23,23,30,4.0
A_k4_1od_x0.8,A,both,4,10,23,23,32,4.0
A_k4_1od_x0.8,A,both,4,11,22,22,28,4.0
A_k4_1od_x0.8,A,both,4,12,23,23,31,4.0
A_k4_1od_x0.8,A,both,4,13,23,23,32,4.0
A_k4_1od_x0.8,A,both,4,14,23,23,30,4.0
A_k4_1od_x0.8,A,both,4,15,23,23,33,4.0
A_k4_1od_x0.8,A,both,5,1,24,19,26,1.875
A_k4_1od_x0.8,A,both,5,2,23,23,31,4.0
A_k4_1od_x0.8,A,both,5,3,23,23,31,4.0
A_k4_1od_x0.8,A,both,5,4,23,23,31,4.0
A_k4_1od_x0.8,A,both,5,5,23,23,30,4.0
A_k4_1od_x0.8,A,both,5,6,23,23,28,4.0
A_k4_1od_x0.8,A,both,5,7,23,23,32,4.0
A_k4_1od_x0.8,A,both,5,8,23,23,31,4.0
A_k4_1od_x0.8,A,both,5,9,22,22,32,4.0
A_k4_1od_x0.8,A,both,5,10,22,22,31,4.0
A_k4_1od_x0.8,A,both,5,11,23,23,33,4.0
A_k4_1od_x0.8,A,both,5,12,22,22,27,4.0
A_k4_1od_x0.8,A,both,5,13,22,22,31,4.0
A_k4_1od_x0.8,A,both,5,14,21,21,33,4.0
A_k4_1od_x0.8,A,both,5,15,21,21,31,4.0
A_k4_1od_x0.8,A,both,6,1,24,20,26,2.2083333333333335
A_k4_1od_x0.8,A,both,6,2,23,23,31,4.0
A_k4_1od_x0.8,A,both,6,3,23,23,33,4.0
A_k4_1od_x0.8,A,both,6,4,23,23,30,4.0
A_k4_1od_x0.8,A,both,6,5,23,23,33,4.0
A_k4_1od_x0.8,A,both,6,6,23,23,33,4.0
A_k4_1od_x0.8,A,both,6,7,23,23,29,4.0
A_k4_1od_x0.8,A,both,6,8,23,23,31,4.0
A_k4_1od_x0.8,A,both,6,9,22,22,31,4.0
A_k4_1od_x0.8,A,both,6,10,22,22,29,4.0
A_k4_1od_x0.8,A,both,6,11,23,23,31,4.0
A_k4_1od_x0.8,A,both,6,12,21,21,30,4.0
A_k4_1od_x0.8,A,both,6,13,21,21,27,4.0
A_k4_1od_x0.8,A,both,6,14,23,23,30,4.0
A_k4_1od_x0.8,A,both,6,15,21,21,28,4.0
A_k4_1od_x0.8,A,both,7,1,24,15,26,1.625
A_k4_1od_x0.8,A,both,7,2,23,23,29,4.0
A_k4_1od_x0.8,A,both,7,3,22,22,30,4.0
A_k4_1od_x0.8,A,both,7,4,22,22,30,4.0
A_k4_1od_x0.8,A,both,7,5,23,23,32,4.0
A_k4_1od_x0.8,A,both,7,6,23,23,27,4.0
A_k4_1od_x0.8,A,both,7,7,22,22,27,4.0
A_k4_1od_x0.8,A,both,7,8,23,23,32,4.0
A_k4_1od_x0.8,A,both,7,9,23,23,27,4.0
A_k4_1od_x0.8,A,both,7,10,23,23,31,4.0
A_k4_1od_x0.8,A,both,7,11,22,22,35,4.0
A_k4_1od_x0.8,A,both,7,12,23,23,30,4.0
A_k4_1od_x0.8,A,both,7,13,21,21,34,4.0
A_k4_1od_x0.8,A,both,7,14,23,23,35,4.0
A_k4_1od_x0.8,A,both,7,15,23,23,33,4.0
A_k4_1od_x0.8,A,both,8,1,24,20,24,1.875
A_k4_1od_x0.8,A,both,8,2,23,23,35,4.0
A_k4_1od_x0.8,A,both,8,3,23,23,32,4.0
A_k4_1od_x0.8,A,both,8,4,23,23,30,4.0
A_k4_1od_x0.8,A,both,8,5,22,22,33,4.0
A_k4_1od_x0.8,A,both,8,6,23,23,33,4.0
A_k4_1od_x0.8,A,both,8,7,22,22,33,4.0
A_k4_1od_x0.8,A,both,8,8,23,23,32,4.0
A_k4_1od_x0.8,A,both,8,9,23,23,34,4.0
A_k4_1od_x0.8,A,both,8,10,23,23,33,4.0
A_k4_1od_x0.8,A,both,8,11,22,22,29,4.0
A_k4_1od_x0.8,A,both,8,12,23,23,28,4.0
A_k4_1od_x0.8,A,both,8,13,23,23,29,4.0
A_k4_1od_x0.8,A,both,8,14,23,23,29,4.0
A_k4_1od_x0.8,A,both,8,15,22,22,32,4.0
A_k4_1od_x0.8,A,both,9,1,24,19,27,2.0416666666666665
A_k4_1od_x0.8,A,both,9,2,23,23,33,4.0
A_k4_1od_x0.8,A,both,9,3,23,23,33,4.0
A_k4_1od_x0.8,A,both,9,4,23,23,30,4.0
A_k4_1od_x0.8,A,both,9,5,23,23,34,4.0
A_k4_1od_x0.8,A,both,9,6,22,22,29,4.0
A_k4_1od_x0.8,A,both,9,7,23,23,28,4.0
A_k4_1od_x0.8,A,both,9,8,23,23,33,4.0
A_k4_1od_x0.8,A,both,9,9,23,23,29,4.0
A_k4_1od_x0.8,A,both,9,10,23,23,32,4.0
