instance,init_lead_g1,init_gone_at,init_lead_g15,both_lead_g1,both_gone_at,both_lead_g15
A_k4_1od_x0.8,1.3741249999999923,8.0,-0.46187499999999204,1.3741249999999923,2.0,1.2247500000000002
A_k4_1od_x1.0,-1.3345000000000482,1.0,2.9855999999999767,-1.3345000000000482,1.0,3.968900000000019
A_k4_2od_x0.8,4.310124999999999,3.0,-0.07075000000000387,4.310124999999999,4.0,0.33799999999999386
A_k4_2od_x1.0,8.8981,,4.114300000000014,8.8981,,9.034099999999995
A_k4_2od_x1.2,23.631250000000023,4.0,0.7341666666666242,23.631250000000023,,4.267499999999984
A_k4_3od_x0.8,3.9623750000000086,2.0,1.8145000000000095,3.9623750000000086,,4.674250000000001
A_k4_3od_x1.0,3.435099999999977,2.0,-1.2741000000000042,3.435099999999977,4.0,1.185699999999997
A_k4_3od_x1.2,8.772333333333336,6.0,-0.1448333333332812,8.772333333333336,6.0,-0.9418333333333067
B_k9_1od_x0.8,0.9914999999999736,10.0,-1.2088125000000218,0.9914999999999736,,6.466937499999972
B_k9_1od_x1.0,4.957599999999957,14.0,-0.9604499999999234,4.957599999999957,,2.1014999999999873
B_k9_1od_x1.2,7.361541666666653,,1.8578749999999218,7.361541666666653,,4.092458333333298
B_k9_2od_x0.8,19.771124999999984,10.0,-2.875437500000089,19.771124999999984,10.0,0.15137499999991633
B_k9_2od_x1.0,-5.118849999999952,1.0,1.0246500000000651,-5.118849999999952,1.0,-1.5440999999999576
B_k9_2od_x1.2,0.8170416666666824,3.0,-0.06458333333330302,0.8170416666666824,7.0,-0.36391666666668243
B_k9_3od_x0.8,6.26687499999997,,1.6992500000000632,6.26687499999997,7.0,1.2533125000000496
B_k9_3od_x1.0,8.790400000000034,,4.478599999999972,8.790400000000034,,7.78125
B_k9_3od_x1.2,6.035541666666745,7.0,-1.2444166666665524,6.035541666666745,,1.1805000000000518
C_k9_1od_x0.8,8.264624999999967,12.0,0.27224999999998545,8.264624999999967,,2.1668749999999477
C_k9_1od_x1.0,-1.1287499999999682,1.0,0.6312499999999659,-1.1287499999999682,1.0,1.0400000000000205
C_k9_1od_x1.2,8.138875000000041,,1.650666666666723,8.138875000000041,,6.87925000000007
C_k9_2od_x0.8,0.8258749999999964,3.0,-1.1358125000000427,0.8258749999999964,5.0,-1.7419375000000628
C_k9_2od_x1.0,2.1194000000000415,,4.9618999999999005,2.1194000000000415,,1.2288999999999533
C_k9_2od_x1.2,-1.6060416666666697,1.0,2.869374999999877,-1.6060416666666697,1.0,-0.16712500000016917
C_k9_3od_x0.8,-5.066187499999955,1.0,1.1371875000000387,-5.066187499999955,1.0,-2.3663124999999923
C_k9_3od_x1.0,9.527100000000019,11.0,-4.119050000000016,9.527100000000019,,3.862549999999942
C_k9_3od_x1.2,0.2363749999999527,4.0,0.9606249999999363,0.2363749999999527,4.0,2.122958333333372
D_k9_1od_x0.8,-0.9446874999999864,1.0,-1.00750000000005,-0.9446874999999864,1.0,-0.82681249999996
D_k9_1od_x1.0,3.1565500000000384,4.0,-1.8157500000000937,3.1565500000000384,3.0,-0.1773000000000593
D_k9_1od_x1.2,0.4055833333333112,15.0,-0.10020833333328483,0.4055833333333112,,0.2886666666666997
D_k9_2od_x0.8,1.8391874999998663,,0.14662499999985812,1.8391874999998663,,1.0987499999999955
D_k9_2od_x1.0,1.4146499999999378,5.0,0.023700000000076216,1.4146499999999378,10.0,0.8843000000000529
D_k9_2od_x1.2,1.0786666666666633,2.0,0.12445833333333667,1.0786666666666633,3.0,0.6088750000000118
D_k9_3od_x0.8,5.739000000000033,7.0,0.3695625000000291,5.739000000000033,7.0,0.488125000000025
D_k9_3od_x1.0,6.927350000000047,3.0,4.2549999999999955,6.927350000000047,4.0,5.367200000000025
D_k9_3od_x1.2,-2.3930833333332657,1.0,-2.1304583333333085,-2.3930833333332657,1.0,0.11158333333332848
J_k9_6od_x0.8,8.649999999999977,5.0,-0.09325000000001182,8.649999999999977,6.0,-2.6935000000000286
J_k9_6od_x1.0,-7.001266666666652,1.0,7.182266666666635,-7.001266666666652,1.0,2.2948000000000093
J_k9_6od_x1.2,35.70711111111109,7.0,-9.948944444444408,35.70711111111109,,12.579388888888957
