inst,model,subset,n,rho_obj,rho_label,rho_label_argsort
A,A_sum_clean (reported arm),test,119,0.6848727751425479,,
A,A_sum_clean (reported arm),val,119,0.7376607561733353,,
A,A_sum_clean (reported arm),train,559,0.773853677654668,,
A,A_sum_clean (reported arm),all,797,0.7533060060839172,,
A,label (per-sample seed),test,119,0.6403837222745814,,
A,label (per-sample seed),val,119,0.7131268968295,,
A,label (per-sample seed),train,559,0.6712284148947202,,
A,label (per-sample seed),all,797,0.6729279893659239,,
A,surrogate_att.pt (hid 128),own-val vs TRAINING label,150,,0.6520645955326053,0.6558887061647185
A,surrogate_att.pt (hid 128),own-val,121,0.7290350894459262,0.7191445474025406,
A,surrogate_att.pt (hid 128),own-train,676,0.6590136514284585,0.7099644612265535,
A,surrogate_att.pt (hid 128),all,797,0.6721626770132629,0.7127084570945731,
A,surrogate_att.pt (hid 128),v3 test split,119,0.6315257201559339,0.6749278042782758,
B,B_sum_clean (reported arm),test,136,0.3748820781301566,,
B,B_sum_clean (reported arm),val,136,0.3963456948742399,,
B,B_sum_clean (reported arm),train,637,0.4733175134872778,,
B,B_sum_clean (reported arm),all,909,0.4482165112219874,,
B,label (per-sample seed),test,136,0.16549806828853794,,
B,label (per-sample seed),val,136,0.12351146706773944,,
B,label (per-sample seed),train,637,0.16819807786640703,,
B,label (per-sample seed),all,909,0.16052682697021903,,
B,surrogate_att.pt (hid 128),own-val vs TRAINING label,150,,0.22913603038454655,0.2293488599493311
B,surrogate_att.pt (hid 128),own-val,135,0.02541342548777348,0.22091286327309284,
B,surrogate_att.pt (hid 128),own-train,774,0.1184168608350483,0.17088654698449068,
B,surrogate_att.pt (hid 128),all,909,0.10510969661141017,0.1764915213891143,
B,surrogate_att.pt (hid 128),v3 test split,136,0.03552576334989558,0.21003768904155334,
B,surrogate_att_v2.pt (hid 96),own-val vs TRAINING label,150,,0.21372854938259075,0.21249122183208144
B,surrogate_att_v2.pt (hid 96),own-val,135,0.10229513485927863,0.22261513829781732,
B,surrogate_att_v2.pt (hid 96),own-train,774,0.12315736484985802,0.2635652279294158,
B,surrogate_att_v2.pt (hid 96),all,909,0.11956110190541182,0.2584513792711578,
B,surrogate_att_v2.pt (hid 96),v3 test split,136,0.0016947720203202218,0.2516244453985974,
J,J_sum_clean (reported arm),test,134,0.13374916625634561,,
J,J_sum_clean (reported arm),val,134,0.09117277303633717,,
J,J_sum_clean (reported arm),train,631,0.02174600294890036,,
J,J_sum_clean (reported arm),all,899,0.04836377774123577,,
J,label (per-sample seed),test,134,0.15744346610395732,,
J,label (per-sample seed),val,134,0.22379746975390627,,
J,label (per-sample seed),train,631,0.19992489522774654,,
J,label (per-sample seed),all,899,0.19382992645744834,,
J,surrogate_att.pt (hid 64),own-val vs TRAINING label,150,,0.1269435139966602,0.12505622472109873
J,surrogate_att.pt (hid 64),own-val,134,0.05019903123107307,0.1444880858863577,
J,surrogate_att.pt (hid 64),own-train,765,0.020458098136021882,-0.024207872414057793,
J,surrogate_att.pt (hid 64),all,899,0.02713339781635558,-0.0013179785119236357,
J,surrogate_att.pt (hid 64),v3 test split,134,-0.051879216936816894,0.1220688537263557,
J,surrogate_att_v2.pt (hid 64),own-val vs TRAINING label,150,,0.1269435139966602,0.12505622472109873
J,surrogate_att_v2.pt (hid 64),own-val,134,0.05019903123107307,0.1444880858863577,
J,surrogate_att_v2.pt (hid 64),own-train,765,0.020458098136021882,-0.024207872414057793,
J,surrogate_att_v2.pt (hid 64),all,899,0.02713339781635558,-0.0013179785119236357,
J,surrogate_att_v2.pt (hid 64),v3 test split,134,-0.051879216936816894,0.1220688537263557,
