instance_id,mode,n_seed_best_solutions,mean_pairwise_jaccard,median_pairwise_jaccard,min_pairwise_jaccard,max_pairwise_jaccard,n_unique_edges_in_seed_bests,total_edge_uses_in_seed_bests,edge_freq_hhi,edge_freq_entropy_norm,top1_edge_share,top3_edge_share
A_k4_1od_x0.8,both,10,0.2982010582010582,0.3333333333333333,0.0,0.6,14,40,0.11875000000000001,0.89114271663055,0.2,0.525
A_k4_1od_x0.8,init,10,0.3043386243386243,0.14285714285714285,0.0,1.0,11,40,0.11625,0.9447950756111191,0.2,0.475
A_k4_1od_x0.8,mutation,10,0.2129100529100529,0.14285714285714285,0.0,0.6,17,40,0.09875000000000002,0.9007267407720894,0.2,0.425
A_k4_1od_x0.8,none,10,0.19724867724867726,0.14285714285714285,0.0,0.6,15,40,0.09125000000000001,0.9335007070570496,0.15,0.4
A_k4_1od_x1.0,both,10,0.22962962962962966,0.14285714285714285,0.0,1.0,15,40,0.1,0.9174005854701788,0.2,0.4
A_k4_1od_x1.0,init,10,0.17015873015873018,0.14285714285714285,0.0,0.6,20,40,0.08375,0.911011488116538,0.15,0.425
A_k4_1od_x1.0,mutation,10,0.17671957671957672,0.14285714285714285,0.0,1.0,19,40,0.08625000000000001,0.9113921487266197,0.175,0.4
A_k4_1od_x1.0,none,10,0.16465608465608467,0.14285714285714285,0.0,1.0,20,40,0.08125,0.9159557685019779,0.15,0.4
A_k4_2od_x0.8,both,10,0.3688888888888888,0.3333333333333333,0.3333333333333333,0.6,16,40,0.14500000000000002,0.8402410118609203,0.25,0.55
A_k4_2od_x0.8,init,10,0.34560846560846553,0.3333333333333333,0.14285714285714285,1.0,16,40,0.13625,0.8523351895717286,0.25,0.55
A_k4_2od_x0.8,mutation,10,0.40444444444444433,0.3333333333333333,0.3333333333333333,0.6,14,40,0.1524999999999999,0.8384014427960125,0.25,0.6
A_k4_2od_x0.8,none,10,0.4166666666666666,0.3333333333333333,0.3333333333333333,1.0,13,39,0.15844838921762003,0.8432270556533378,0.2564102564102564,0.6153846153846154
A_k4_2od_x1.0,both,10,0.5348148148148149,0.6,0.3333333333333333,1.0,12,40,0.17749999999999994,0.8067286224912582,0.25,0.7
A_k4_2od_x1.0,init,10,0.40571428571428575,0.3333333333333333,0.14285714285714285,1.0,12,40,0.14999999999999997,0.8566200047662736,0.225,0.625
A_k4_2od_x1.0,mutation,10,0.431111111111111,0.3333333333333333,0.3333333333333333,1.0,13,40,0.15624999999999994,0.8389131349884233,0.25,0.6
A_k4_2od_x1.0,none,10,0.37862433862433853,0.3333333333333333,0.14285714285714285,1.0,14,40,0.1424999999999999,0.8496264663329752,0.25,0.6
