instance_id,mode,edge,count_in_seed_bests,share_in_seed_bests
A_k4_1od_x0.8,both,E6,8,0.8
A_k4_1od_x0.8,both,E42,7,0.7
A_k4_1od_x0.8,both,E23,6,0.6
A_k4_1od_x0.8,both,E16,4,0.4
A_k4_1od_x0.8,both,E1,2,0.2
A_k4_1od_x0.8,both,E15,2,0.2
A_k4_1od_x0.8,both,E17,2,0.2
A_k4_1od_x0.8,both,E20,2,0.2
A_k4_1od_x0.8,both,E41,2,0.2
A_k4_1od_x0.8,both,E11,1,0.1
A_k4_1od_x0.8,both,E14,1,0.1
A_k4_1od_x0.8,both,E21,1,0.1
A_k4_1od_x0.8,both,E27,1,0.1
A_k4_1od_x0.8,both,E7,1,0.1
A_k4_1od_x0.8,init,E6,8,0.8
A_k4_1od_x0.8,init,E41,6,0.6
A_k4_1od_x0.8,init,E14,5,0.5
A_k4_1od_x0.8,init,E42,4,0.4
A_k4_1od_x0.8,init,E12,3,0.3
A_k4_1od_x0.8,init,E17,3,0.3
A_k4_1od_x0.8,init,E23,3,0.3
A_k4_1od_x0.8,init,E3,3,0.3
A_k4_1od_x0.8,init,E15,2,0.2
A_k4_1od_x0.8,init,E16,2,0.2
A_k4_1od_x0.8,init,E21,1,0.1
A_k4_1od_x0.8,mutation,E6,8,0.8
A_k4_1od_x0.8,mutation,E23,5,0.5
A_k4_1od_x0.8,mutation,E16,4,0.4
A_k4_1od_x0.8,mutation,E41,4,0.4
A_k4_1od_x0.8,mutation,E42,4,0.4
A_k4_1od_x0.8,mutation,E14,2,0.2
A_k4_1od_x0.8,mutation,E17,2,0.2
A_k4_1od_x0.8,mutation,E38,2,0.2
A_k4_1od_x0.8,mutation,E1,1,0.1
A_k4_1od_x0.8,mutation,E12,1,0.1
A_k4_1od_x0.8,mutation,E15,1,0.1
A_k4_1od_x0.8,mutation,E19,1,0.1
A_k4_1od_x0.8,mutation,E30,1,0.1
A_k4_1od_x0.8,mutation,E33,1,0.1
A_k4_1od_x0.8,mutation,E5,1,0.1
A_k4_1od_x0.8,mutation,E7,1,0.1
A_k4_1od_x0.8,mutation,E8,1,0.1
A_k4_1od_x0.8,none,E16,6,0.6
A_k4_1od_x0.8,none,E41,5,0.5
A_k4_1od_x0.8,none,E6,5,0.5
A_k4_1od_x0.8,none,E42,4,0.4
A_k4_1od_x0.8,none,E11,3,0.3
A_k4_1od_x0.8,none,E14,3,0.3
A_k4_1od_x0.8,none,E32,3,0.3
A_k4_1od_x0.8,none,E17,2,0.2
A_k4_1od_x0.8,none,E21,2,0.2
A_k4_1od_x0.8,none,E33,2,0.2
A_k4_1od_x0.8,none,E1,1,0.1
A_k4_1od_x0.8,none,E15,1,0.1
A_k4_1od_x0.8,none,E23,1,0.1
A_k4_1od_x0.8,none,E36,1,0.1
A_k4_1od_x0.8,none,E5,1,0.1
A_k4_1od_x1.0,both,E42,8,0.8
A_k4_1od_x1.0,both,E16,4,0.4
A_k4_1od_x1.0,both,E23,4,0.4
