instance_id,source_file,source_path,comparison,n_pairs,test,p_raw,p_holm,Z,r,cliffs_delta,cliffs_delta_CI_low,cliffs_delta_CI_high,CLES,cohen_dz
A_k4_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.8203125,0.8203125,0.2271430625027153,0.0718289432214566,0.1,-0.5,0.7,0.4,0.0885497074749055
A_k4_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.083984375,0.251953125,-1.7280214712190125,-0.5464483694727179,-0.6,-1.0,0.0,0.8,-0.6784875376256099
A_k4_1od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.625,1.0,-0.4887764111146695,-0.1545646725685195,-0.4,-1.0,0.2,0.7,-0.2007353422319351
A_k4_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.431640625,0.86328125,-0.786387293998826,-0.248677497205275,0.0,-0.6,0.6,0.5,-0.3723921419146161
A_k4_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.5703125,0.5703125,-0.5675913235445692,-0.1794881362550393,-0.1,-0.6,0.5,0.5,-0.0986913388908094
A_k4_1od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.322265625,0.966796875,-0.9898128045978632,-0.3130062919728432,-0.2,-0.8,0.4,0.6,-0.4821270703594273
A_k4_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.7421875,0.7421875,-0.328957912640491,-0.1040256258278646,-0.2,-0.7,0.3,0.5,0.014184324234062
A_k4_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.49609375,1.0,-0.6806487851276465,-0.2152400447629903,-0.3,-0.8,0.3,0.6,-0.192723510146807
A_k4_2od_x0.8,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.578125,1.0,0.5561255936186914,0.1758623540948266,-0.1,-0.6,0.4,0.4,-0.2472308616591821
A_k4_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x1.0\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,0.390625,0.78125,-0.8584844741418323,-0.2714766274180115,-0.2,-0.8,0.4,0.6,-0.3330848525893544
A_k4_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x1.0\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.6953125,0.6953125,-0.3916558710925915,-0.1238524611629888,0.0,-0.6,0.6,0.5,-0.1964270504828889
A_k4_2od_x1.0,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x1.0\analysis\tables\pairwise_vs_none.csv,both vs none,10,Wilcoxon,0.232421875,0.697265625,-1.194143409897718,-0.3776213028156845,-0.2,-0.8,0.4,0.6,-0.4433680751435168
A_k4_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x1.2\analysis\tables\pairwise_vs_none.csv,init vs none,10,Wilcoxon,1.0,1.0,0.0,0.0,0.0,-0.6,0.6,0.5,-0.0565261690290788
A_k4_2od_x1.2,pairwise_vs_none.csv,D:\PSPS\runs_A_k4_2od_x1.2\analysis\tables\pairwise_vs_none.csv,mutation vs none,10,Wilcoxon,0.76953125,1.0,-0.2929880968562333,-0.0926509713383716,0.0,-0.6,0.6,0.5,-0.1701173065139573
