policy_model_exists,policy_model_path,policy_model_size_bytes,instance_id
True,D:\PSPS\output_policy_A_k4_1od_x0.8\policy_model.pt,1876653,A_k4_1od_x0.8
True,D:\PSPS\output_policy_A_k4_1od_x1.0\policy_model.pt,1876653,A_k4_1od_x1.0
True,D:\PSPS\output_policy_A_k4_2od_x0.8\policy_model.pt,1876653,A_k4_2od_x0.8
True,D:\PSPS\output_policy_A_k4_2od_x1.0\policy_model.pt,1876653,A_k4_2od_x1.0
True,D:\PSPS\output_policy_A_k4_2od_x1.2\policy_model.pt,1876653,A_k4_2od_x1.2
True,D:\PSPS\output_policy_A_k4_3od_x0.8\policy_model.pt,1876653,A_k4_3od_x0.8
True,D:\PSPS\output_policy_A_k4_3od_x1.0\policy_model.pt,1876653,A_k4_3od_x1.0
True,D:\PSPS\output_policy_A_k4_3od_x1.2\policy_model.pt,1876653,A_k4_3od_x1.2
True,D:\PSPS\output_policy_B_k9_1od_x0.8\policy_model.pt,1876653,B_k9_1od_x0.8
True,D:\PSPS\output_policy_B_k9_1od_x1.0\policy_model.pt,1876653,B_k9_1od_x1.0
True,D:\PSPS\output_policy_B_k9_1od_x1.2\policy_model.pt,1876653,B_k9_1od_x1.2
True,D:\PSPS\output_policy_B_k9_2od_x0.8\policy_model.pt,1876653,B_k9_2od_x0.8
True,D:\PSPS\output_policy_B_k9_2od_x1.0\policy_model.pt,1876653,B_k9_2od_x1.0
True,D:\PSPS\output_policy_B_k9_2od_x1.2\policy_model.pt,1876653,B_k9_2od_x1.2
True,D:\PSPS\output_policy_B_k9_3od_x0.8\policy_model.pt,1876653,B_k9_3od_x0.8
True,D:\PSPS\output_policy_B_k9_3od_x1.0\policy_model.pt,1876653,B_k9_3od_x1.0
True,D:\PSPS\output_policy_B_k9_3od_x1.2\policy_model.pt,1876653,B_k9_3od_x1.2
True,D:\PSPS\output_policy_C_k9_1od_x0.8\policy_model.pt,1876653,C_k9_1od_x0.8
True,D:\PSPS\output_policy_C_k9_1od_x1.0\policy_model.pt,1876653,C_k9_1od_x1.0
True,D:\PSPS\output_policy_C_k9_1od_x1.2\policy_model.pt,1876653,C_k9_1od_x1.2
True,D:\PSPS\output_policy_C_k9_2od_x0.8\policy_model.pt,1876653,C_k9_2od_x0.8
True,D:\PSPS\output_policy_C_k9_2od_x1.0\policy_model.pt,1876653,C_k9_2od_x1.0
True,D:\PSPS\output_policy_C_k9_2od_x1.2\policy_model.pt,1876653,C_k9_2od_x1.2
True,D:\PSPS\output_policy_C_k9_3od_x0.8\policy_model.pt,1876653,C_k9_3od_x0.8
True,D:\PSPS\output_policy_C_k9_3od_x1.0\policy_model.pt,1876653,C_k9_3od_x1.0
True,D:\PSPS\output_policy_C_k9_3od_x1.2\policy_model.pt,1876653,C_k9_3od_x1.2
True,D:\PSPS\output_policy_D_k9_1od_x0.8\policy_model.pt,1876653,D_k9_1od_x0.8
True,D:\PSPS\output_policy_D_k9_1od_x1.0\policy_model.pt,1876653,D_k9_1od_x1.0
True,D:\PSPS\output_policy_D_k9_1od_x1.2\policy_model.pt,1876653,D_k9_1od_x1.2
True,D:\PSPS\output_policy_D_k9_2od_x0.8\policy_model.pt,1876653,D_k9_2od_x0.8
True,D:\PSPS\output_policy_D_k9_2od_x1.0\policy_model.pt,1876653,D_k9_2od_x1.0
True,D:\PSPS\output_policy_D_k9_2od_x1.2\policy_model.pt,1876653,D_k9_2od_x1.2
True,D:\PSPS\output_policy_D_k9_3od_x0.8\policy_model.pt,1876653,D_k9_3od_x0.8
True,D:\PSPS\output_policy_D_k9_3od_x1.0\policy_model.pt,1876653,D_k9_3od_x1.0
True,D:\PSPS\output_policy_D_k9_3od_x1.2\policy_model.pt,1876653,D_k9_3od_x1.2
True,D:\PSPS\output_policy_J_k9_6od_x0.8\policy_model.pt,1876653,J_k9_6od_x0.8
True,D:\PSPS\output_policy_J_k9_6od_x1.0\policy_model.pt,1876653,J_k9_6od_x1.0
True,D:\PSPS\output_policy_J_k9_6od_x1.2\policy_model.pt,1876653,J_k9_6od_x1.2
