instance_id,source_file,source_path,mode,Reason,n
A_k4_1od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\reason_counts.csv,both,OK,3407
A_k4_1od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\reason_counts.csv,init,OK,3425
A_k4_1od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\reason_counts.csv,mutation,OK,3416
A_k4_1od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\reason_counts.csv,none,OK,3427
A_k4_1od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\reason_counts.csv,both,OK,3424
A_k4_1od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\reason_counts.csv,init,OK,3442
A_k4_1od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3431
A_k4_1od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\reason_counts.csv,none,OK,3438
A_k4_2od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\reason_counts.csv,both,OK,3359
A_k4_2od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\reason_counts.csv,both,NO_TRIPINFO,13
A_k4_2od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\reason_counts.csv,init,OK,3416
A_k4_2od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\reason_counts.csv,init,NO_TRIPINFO,16
A_k4_2od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\reason_counts.csv,mutation,OK,3365
A_k4_2od_x0.8,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x0.8\analysis\tables\reason_counts.csv,none,OK,3421
A_k4_2od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x1.0\analysis\tables\reason_counts.csv,both,OK,3367
A_k4_2od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x1.0\analysis\tables\reason_counts.csv,both,NO_TRIPINFO,10
A_k4_2od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x1.0\analysis\tables\reason_counts.csv,init,OK,3427
A_k4_2od_x1.0,reason_counts.csv,D:\PSPS\runs_A_k4_2od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3375
