instance_id,source_file,source_path,seed,mode,gen,indiv,ATT,TTT,TimeLossSum,Arrivals,Teleports,k_closed,run_dir
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,0,both,5,15,223.43625,178749.0,119249.20999999985,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed0\g005_i015
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,0,init,11,20,222.22875,177783.0,119629.8,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed0\g011_i020
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,0,mutation,11,12,220.10375,176083.0,117717.30000000005,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed0\g011_i012
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,0,none,11,6,215.53,172424.0,113596.78999999998,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed0\g011_i006
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,1,both,15,9,220.10375,176083.0,117717.30000000005,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed1\g015_i009
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,1,init,14,22,221.7325,177386.0,119085.48999999996,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed1\g014_i022
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,1,mutation,9,22,215.53,172424.0,113596.78999999998,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed1\g009_i022
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,1,none,14,7,221.7325,177386.0,119085.48999999996,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed1\g014_i007
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,2,both,7,5,220.695,176556.0,120013.77000000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed2\g007_i005
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,2,init,3,14,229.2475,183398.0,125985.2,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed2\g003_i014
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,2,mutation,3,12,227.12875,181703.0,124474.13000000008,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed2\g003_i012
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,2,none,8,11,224.4875,179590.0,120392.63000000003,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed2\g008_i011
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,3,both,11,20,225.78875,180631.0,123237.80000000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed3\g011_i020
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,3,init,7,21,228.57625,182861.0,125327.48000000008,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed3\g007_i021
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,3,mutation,5,14,221.33875,177071.0,118443.72999999998,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed3\g005_i014
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,3,none,5,13,226.71875,181375.0,123359.54000000008,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed3\g005_i013
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,4,both,7,21,225.78875,180631.0,123237.80000000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed4\g007_i021
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,4,init,14,19,229.0075,183206.0,127112.78000000004,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed4\g014_i019
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,4,mutation,12,12,220.695,176556.0,120013.77000000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed4\g012_i012
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,4,none,12,1,221.615,177292.0,118631.1,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed4\g012_i001
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,5,both,8,16,226.1025,180882.0,122863.09999999998,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed5\g008_i016
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,5,init,2,9,222.22875,177783.0,119629.8,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed5\g002_i009
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,5,mutation,15,5,225.94625,180757.0,122845.36999999994,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed5\g015_i005
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,5,none,11,10,228.145,182516.0,125785.69999999995,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed5\g011_i010
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,6,both,7,20,221.7325,177386.0,119085.48999999996,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed6\g007_i020
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,6,init,11,6,225.78875,180631.0,123237.80000000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed6\g011_i006
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,6,mutation,9,10,224.84625,179877.0,123833.5500000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed6\g009_i010
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,6,none,8,11,228.32625,182661.0,127114.85999999991,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed6\g008_i011
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,7,both,7,7,228.43125,182745.0,125673.41000000005,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed7\g007_i007
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,7,init,13,11,225.78875,180631.0,123237.80000000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed7\g013_i011
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,7,mutation,10,16,218.56375,174851.0,116893.74999999996,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed7\g010_i016
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,7,none,7,12,221.98625,177589.0,119760.30999999994,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed7\g007_i012
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,8,both,8,9,225.78875,180631.0,123237.80000000002,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed8\g008_i009
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,8,init,4,4,223.43625,178749.0,119249.20999999985,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed8\g004_i004
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,8,mutation,10,18,222.22875,177783.0,119629.8,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed8\g010_i018
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,8,none,6,10,229.2975,183438.0,127152.04000000008,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed8\g006_i010
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,9,both,14,9,215.53,172424.0,113596.78999999998,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\both_seed9\g014_i009
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,9,init,13,4,222.22875,177783.0,119629.8,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\init_seed9\g013_i004
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,9,mutation,2,12,223.90875,179127.0,122157.26999999986,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\mutation_seed9\g002_i012
A_k4_1od_x0.8,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x0.8\analysis\tables\seed_best_preview.csv,9,none,9,3,227.80625,182245.0,124247.2699999999,800,,4,D:\PSPS\runs_A_k4_1od_x0.8\none_seed9\g009_i003
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,0,both,7,4,258.046,258046.0,184895.2500000001,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\both_seed0\g007_i004
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,0,init,7,12,258.046,258046.0,184895.2500000001,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\init_seed0\g007_i012
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,0,mutation,7,15,270.506,270506.0,198263.0499999998,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed0\g007_i015
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,0,none,15,4,272.822,272822.0,201394.10999999967,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\none_seed0\g015_i004
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,1,both,2,20,273.261,273261.0,198675.98000000007,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\both_seed1\g002_i020
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,1,init,14,1,270.338,270338.0,198965.00999999983,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\init_seed1\g014_i001
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,1,mutation,14,1,271.774,271774.0,198499.73,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\mutation_seed1\g014_i001
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,1,none,10,1,267.71,267710.0,194668.1600000001,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\none_seed1\g010_i001
A_k4_1od_x1.0,seed_best_preview.csv,D:\PSPS\runs_A_k4_1od_x1.0\analysis\tables\seed_best_preview.csv,2,both,5,5,266.637,266637.0,193990.99000000005,1000,,4,D:\PSPS\runs_A_k4_1od_x1.0\both_seed2\g005_i005
