train_log_exists,n_epochs,best_epoch,best_val_loss,final_epoch,final_train_loss,final_val_loss,final_train_val_gap,val_loss_std,val_loss_range,instance_id,policy_dir
True,60,47,0.035,60,0.08,0.069,-0.0109999999999999,0.10970630927064,0.636,A_k4_1od_x0.8,D:\PSPS\output_policy_A_k4_1od_x0.8
True,60,52,0.138,60,0.078,0.357,0.2789999999999999,0.188728420399967,1.124,A_k4_1od_x1.0,D:\PSPS\output_policy_A_k4_1od_x1.0
True,60,6,0.0,60,0.018,0.144,0.126,0.0677621192279276,0.345,A_k4_2od_x0.8,D:\PSPS\output_policy_A_k4_2od_x0.8
True,60,43,0.009,60,0.05,2.892,2.842,0.4412619563527925,2.883,A_k4_2od_x1.0,D:\PSPS\output_policy_A_k4_2od_x1.0
True,60,59,0.001,60,0.162,0.177,0.0149999999999999,0.130902987324184,0.56,A_k4_2od_x1.2,D:\PSPS\output_policy_A_k4_2od_x1.2
True,60,3,0.119,60,0.066,0.712,0.6459999999999999,0.1417941772449241,0.593,A_k4_3od_x0.8,D:\PSPS\output_policy_A_k4_3od_x0.8
True,60,46,0.005,60,0.064,0.039,-0.025,0.1476136151529765,0.973,A_k4_3od_x1.0,D:\PSPS\output_policy_A_k4_3od_x1.0
True,60,14,0.016,60,0.067,0.363,0.296,0.1189495679585013,0.629,A_k4_3od_x1.2,D:\PSPS\output_policy_A_k4_3od_x1.2
True,60,53,0.165,60,0.145,0.509,0.364,0.1830642650580471,0.636,B_k9_1od_x0.8,D:\PSPS\output_policy_B_k9_1od_x0.8
True,60,9,0.5,60,0.133,2.108,1.975,0.3832480941830177,1.608,B_k9_1od_x1.0,D:\PSPS\output_policy_B_k9_1od_x1.0
True,60,28,0.408,60,0.08,0.723,0.643,0.2834784595090951,1.505,B_k9_1od_x1.2,D:\PSPS\output_policy_B_k9_1od_x1.2
True,60,20,0.397,60,0.112,0.603,0.491,0.2223619739470468,1.043,B_k9_2od_x0.8,D:\PSPS\output_policy_B_k9_2od_x0.8
True,60,1,0.615,60,0.235,1.777,1.5419999999999998,0.3051198153101749,1.491,B_k9_2od_x1.0,D:\PSPS\output_policy_B_k9_2od_x1.0
True,60,7,0.6,60,0.125,1.505,1.38,0.3317874596207366,1.323,B_k9_2od_x1.2,D:\PSPS\output_policy_B_k9_2od_x1.2
True,60,8,0.262,60,0.159,0.352,0.1929999999999999,0.2466325127141262,0.951,B_k9_3od_x0.8,D:\PSPS\output_policy_B_k9_3od_x0.8
True,60,52,0.609,60,0.285,1.049,0.764,0.1521042647154667,0.681,B_k9_3od_x1.0,D:\PSPS\output_policy_B_k9_3od_x1.0
True,60,6,0.673,60,0.158,2.521,2.363,0.4965936382248807,1.848,B_k9_3od_x1.2,D:\PSPS\output_policy_B_k9_3od_x1.2
True,60,14,0.25,60,0.029,0.613,0.584,0.2582853609549248,1.46,C_k9_1od_x0.8,D:\PSPS\output_policy_C_k9_1od_x0.8
True,60,23,0.052,60,0.018,0.304,0.286,0.1588246474703085,0.6449999999999999,C_k9_1od_x1.0,D:\PSPS\output_policy_C_k9_1od_x1.0
True,60,51,0.105,60,0.121,0.314,0.193,0.1754741590903759,0.883,C_k9_1od_x1.2,D:\PSPS\output_policy_C_k9_1od_x1.2
True,60,11,0.328,60,0.251,0.55,0.299,0.1571738349941861,0.6909999999999998,C_k9_2od_x0.8,D:\PSPS\output_policy_C_k9_2od_x0.8
True,60,19,0.468,60,0.038,1.197,1.159,0.3230187812664264,1.269,C_k9_2od_x1.0,D:\PSPS\output_policy_C_k9_2od_x1.0
True,60,14,0.496,60,0.03,1.079,1.049,0.5112123078807997,2.751,C_k9_2od_x1.2,D:\PSPS\output_policy_C_k9_2od_x1.2
True,60,15,0.365,60,0.064,0.558,0.494,0.2937297554028865,1.579,C_k9_3od_x0.8,D:\PSPS\output_policy_C_k9_3od_x0.8
True,60,41,0.43,60,0.201,0.714,0.5129999999999999,0.1634945151898837,0.746,C_k9_3od_x1.0,D:\PSPS\output_policy_C_k9_3od_x1.0
True,60,51,0.178,60,0.045,0.283,0.238,0.1868494363502517,0.995,C_k9_3od_x1.2,D:\PSPS\output_policy_C_k9_3od_x1.2
True,60,17,0.185,60,0.029,1.347,1.318,0.3514957000002192,1.885,D_k9_1od_x0.8,D:\PSPS\output_policy_D_k9_1od_x0.8
True,60,41,0.031,60,0.359,0.25,-0.1089999999999999,0.3687543530337722,1.784,D_k9_1od_x1.0,D:\PSPS\output_policy_D_k9_1od_x1.0
True,60,46,0.38,60,0.076,0.457,0.381,0.2147891753103691,0.905,D_k9_1od_x1.2,D:\PSPS\output_policy_D_k9_1od_x1.2
True,60,2,0.76,60,0.194,1.252,1.058,0.3054497818120674,1.458,D_k9_2od_x0.8,D:\PSPS\output_policy_D_k9_2od_x0.8
True,60,13,0.447,60,0.175,0.508,0.333,0.3787162119701763,1.527,D_k9_2od_x1.0,D:\PSPS\output_policy_D_k9_2od_x1.0
True,60,25,0.454,60,0.048,0.647,0.599,0.2549663647917921,1.542,D_k9_2od_x1.2,D:\PSPS\output_policy_D_k9_2od_x1.2
True,60,7,0.428,60,0.181,1.71,1.529,0.1767268951807449,1.282,D_k9_3od_x0.8,D:\PSPS\output_policy_D_k9_3od_x0.8
True,60,56,0.805,60,0.391,1.647,1.256,0.2582463545938586,1.2409999999999997,D_k9_3od_x1.0,D:\PSPS\output_policy_D_k9_3od_x1.0
True,60,8,0.741,60,0.088,3.558,3.47,0.7734455266974924,2.947,D_k9_3od_x1.2,D:\PSPS\output_policy_D_k9_3od_x1.2
True,60,15,0.685,60,0.069,2.254,2.185,0.8142009390863164,3.637,J_k9_6od_x0.8,D:\PSPS\output_policy_J_k9_6od_x0.8
True,60,5,0.914,60,0.071,3.017,2.946,0.8766009952094851,3.827,J_k9_6od_x1.0,D:\PSPS\output_policy_J_k9_6od_x1.0
True,60,4,0.875,60,0.128,2.778,2.65,0.995967782900768,4.79,J_k9_6od_x1.2,D:\PSPS\output_policy_J_k9_6od_x1.2
