[001] train 0.640 | val 0.978
[002] train 0.376 | val 0.212
[003] train 0.235 | val 0.286
[004] train 0.169 | val 0.256
[005] train 0.237 | val 0.074
[006] train 0.155 | val 0.170
[007] train 0.189 | val 0.248
[008] train 0.180 | val 0.204
[009] train 0.146 | val 0.059
[010] train 0.155 | val 0.435
[011] train 0.107 | val 0.048
[012] train 0.109 | val 0.166
[013] train 0.089 | val 0.096
[014] train 0.041 | val 0.133
[015] train 0.079 | val 0.126
[016] train 0.252 | val 0.105
[017] train 0.094 | val 0.147
[018] train 0.138 | val 0.093
[019] train 0.089 | val 0.182
[020] train 0.098 | val 0.441
[021] train 0.119 | val 0.210
[022] train 0.070 | val 0.052
[023] train 0.071 | val 0.191
[024] train 0.051 | val 0.050
[025] train 0.056 | val 0.070
[026] train 0.061 | val 0.029
[027] train 0.089 | val 0.090
[028] train 0.070 | val 0.056
[029] train 0.056 | val 0.114
[030] train 0.058 | val 0.116
[031] train 0.047 | val 0.215
[032] train 0.095 | val 0.082
[033] train 0.068 | val 0.074
[034] train 0.043 | val 0.033
[035] train 0.044 | val 0.113
[036] train 0.089 | val 0.075
[037] train 0.085 | val 0.065
[038] train 0.053 | val 0.139
[039] train 0.021 | val 0.055
[040] train 0.025 | val 0.201
[041] train 0.044 | val 0.123
[042] train 0.019 | val 0.319
[043] train 0.053 | val 0.068
[044] train 0.009 | val 0.047
[045] train 0.022 | val 0.097
[046] train 0.014 | val 0.005
[047] train 0.016 | val 0.130
[048] train 0.034 | val 0.037
[049] train 0.016 | val 0.075
[050] train 0.075 | val 0.177
[051] train 0.037 | val 0.097
[052] train 0.028 | val 0.030
[053] train 0.069 | val 0.396
[054] train 0.025 | val 0.052
[055] train 0.017 | val 0.032
[056] train 0.043 | val 0.030
[057] train 0.002 | val 0.025
[058] train 0.005 | val 0.123
[059] train 0.028 | val 0.058
[060] train 0.064 | val 0.039
Saved D:\PSPS\output_policy_A_k4_3od_x1.0\policy_model.pt
Elapsed: 266.322 sec
