[001] train 0.909 | val 0.996
[002] train 0.695 | val 0.744
[003] train 0.603 | val 0.463
[004] train 0.426 | val 0.493
[005] train 0.326 | val 0.816
[006] train 0.294 | val 0.618
[007] train 0.228 | val 0.480
[008] train 0.285 | val 0.512
[009] train 0.241 | val 0.504
[010] train 0.183 | val 0.836
[011] train 0.143 | val 0.666
[012] train 0.187 | val 0.591
[013] train 0.109 | val 0.882
[014] train 0.122 | val 0.571
[015] train 0.154 | val 0.526
[016] train 0.236 | val 0.646
[017] train 0.106 | val 0.592
[018] train 0.130 | val 1.041
[019] train 0.116 | val 0.791
[020] train 0.077 | val 0.751
[021] train 0.095 | val 0.999
[022] train 0.142 | val 0.770
[023] train 0.087 | val 0.841
[024] train 0.063 | val 0.552
[025] train 0.059 | val 0.782
[026] train 0.084 | val 0.725
[027] train 0.094 | val 0.703
[028] train 0.296 | val 0.408
[029] train 0.205 | val 0.539
[030] train 0.123 | val 1.028
[031] train 0.081 | val 0.636
[032] train 0.115 | val 0.597
[033] train 0.103 | val 1.318
[034] train 0.095 | val 1.017
[035] train 0.084 | val 0.916
[036] train 0.082 | val 0.952
[037] train 0.121 | val 0.758
[038] train 0.066 | val 1.107
[039] train 0.102 | val 0.771
[040] train 0.083 | val 1.025
[041] train 0.084 | val 0.597
[042] train 0.108 | val 0.790
[043] train 0.039 | val 1.040
[044] train 0.134 | val 0.862
[045] train 0.104 | val 0.871
[046] train 0.061 | val 1.139
[047] train 0.040 | val 0.974
[048] train 0.089 | val 1.289
[049] train 0.049 | val 0.795
[050] train 0.095 | val 0.820
[051] train 0.052 | val 1.370
[052] train 0.047 | val 1.913
[053] train 0.050 | val 0.975
[054] train 0.060 | val 1.258
[055] train 0.076 | val 0.943
[056] train 0.073 | val 0.471
[057] train 0.027 | val 1.181
[058] train 0.040 | val 1.155
[059] train 0.027 | val 1.348
[060] train 0.080 | val 0.723
Saved D:\PSPS\output_policy_B_k9_1od_x1.2\policy_model.pt
Elapsed: 284.393 sec
