[001] train 0.778 | val 0.658
[002] train 0.529 | val 0.806
[003] train 0.617 | val 0.636
[004] train 0.537 | val 0.791
[005] train 0.453 | val 0.748
[006] train 0.491 | val 0.896
[007] train 0.488 | val 0.743
[008] train 0.417 | val 0.576
[009] train 0.452 | val 0.547
[010] train 0.422 | val 0.569
[011] train 0.496 | val 0.328
[012] train 0.436 | val 0.868
[013] train 0.372 | val 0.608
[014] train 0.300 | val 0.453
[015] train 0.286 | val 0.474
[016] train 0.274 | val 0.799
[017] train 0.332 | val 0.452
[018] train 0.314 | val 0.685
[019] train 0.321 | val 0.615
[020] train 0.372 | val 0.756
[021] train 0.312 | val 0.558
[022] train 0.276 | val 0.568
[023] train 0.288 | val 0.524
[024] train 0.249 | val 0.512
[025] train 0.287 | val 0.389
[026] train 0.266 | val 0.489
[027] train 0.248 | val 0.924
[028] train 0.265 | val 0.726
[029] train 0.321 | val 0.544
[030] train 0.265 | val 0.649
[031] train 0.243 | val 0.696
[032] train 0.209 | val 0.528
[033] train 0.278 | val 0.561
[034] train 0.239 | val 0.567
[035] train 0.204 | val 0.674
[036] train 0.184 | val 0.593
[037] train 0.247 | val 0.644
[038] train 0.290 | val 0.589
[039] train 0.228 | val 0.686
[040] train 0.224 | val 0.664
[041] train 0.256 | val 0.838
[042] train 0.204 | val 0.957
[043] train 0.320 | val 1.019
[044] train 0.260 | val 0.607
[045] train 0.245 | val 0.619
[046] train 0.205 | val 0.734
[047] train 0.217 | val 0.420
[048] train 0.164 | val 0.683
[049] train 0.160 | val 0.469
[050] train 0.396 | val 0.798
[051] train 0.303 | val 0.562
[052] train 0.188 | val 0.887
[053] train 0.212 | val 0.610
[054] train 0.229 | val 0.979
[055] train 0.173 | val 0.961
[056] train 0.172 | val 0.924
[057] train 0.365 | val 0.628
[058] train 0.218 | val 0.604
[059] train 0.276 | val 0.673
[060] train 0.251 | val 0.550
Saved D:\PSPS\output_policy_C_k9_2od_x0.8\policy_model.pt
Elapsed: 388.455 sec
