[001] train 0.761 | val 0.778
[002] train 0.724 | val 0.940
[003] train 0.754 | val 0.885
[004] train 0.769 | val 1.035
[005] train 0.709 | val 0.663
[006] train 0.586 | val 0.825
[007] train 0.561 | val 0.847
[008] train 0.473 | val 0.722
[009] train 0.469 | val 1.080
[010] train 0.444 | val 0.769
[011] train 0.455 | val 0.786
[012] train 0.392 | val 0.778
[013] train 0.434 | val 0.667
[014] train 0.364 | val 1.221
[015] train 0.424 | val 0.859
[016] train 0.498 | val 0.839
[017] train 0.336 | val 0.763
[018] train 0.366 | val 0.860
[019] train 0.471 | val 0.737
[020] train 0.479 | val 0.888
[021] train 0.407 | val 0.646
[022] train 0.361 | val 0.740
[023] train 0.273 | val 0.848
[024] train 0.319 | val 1.184
[025] train 0.343 | val 0.616
[026] train 0.358 | val 0.812
[027] train 0.353 | val 0.930
[028] train 0.263 | val 1.024
[029] train 0.269 | val 1.042
[030] train 0.261 | val 0.977
[031] train 0.260 | val 0.852
[032] train 0.237 | val 1.285
[033] train 0.278 | val 1.193
[034] train 0.299 | val 0.766
[035] train 0.356 | val 0.541
[036] train 0.267 | val 0.668
[037] train 0.252 | val 0.950
[038] train 0.297 | val 0.464
[039] train 0.290 | val 0.619
[040] train 0.242 | val 0.929
[041] train 0.307 | val 0.592
[042] train 0.237 | val 0.967
[043] train 0.290 | val 0.641
[044] train 0.339 | val 0.442
[045] train 0.219 | val 0.561
[046] train 0.225 | val 0.380
[047] train 0.211 | val 0.793
[048] train 0.186 | val 0.786
[049] train 0.295 | val 0.404
[050] train 0.199 | val 0.386
[051] train 0.216 | val 0.774
[052] train 0.177 | val 0.453
[053] train 0.145 | val 0.664
[054] train 0.135 | val 0.597
[055] train 0.118 | val 0.569
[056] train 0.127 | val 1.038
[057] train 0.176 | val 0.663
[058] train 0.106 | val 0.669
[059] train 0.085 | val 0.486
[060] train 0.076 | val 0.457
Saved D:\PSPS\output_policy_D_k9_1od_x1.2\policy_model.pt
Elapsed: 558.562 sec
