[train v2] dataset=output_policy_J_k16_6od_x1.0_plain\dataset_policy.pt n=1000
[train v2] label_mode=benefit | higher y is better
[train v2] fine_frac=0.7 q_top=0.5 gap_min=0.5 margin_fine=0.3 margin_coarse=1.0
[001] train 0.441 | val coarse_acc 0.828 fine_acc 0.632 | ff 0.70
[002] train 0.392 | val coarse_acc 0.907 fine_acc 0.632 | ff 0.70
[003] train 0.341 | val coarse_acc 0.922 fine_acc 0.642 | ff 0.70
[004] train 0.354 | val coarse_acc 0.848 fine_acc 0.652 | ff 0.70
[005] train 0.334 | val coarse_acc 0.895 fine_acc 0.603 | ff 0.70
[006] train 0.302 | val coarse_acc 0.952 fine_acc 0.625 | ff 0.70
[007] train 0.301 | val coarse_acc 0.935 fine_acc 0.635 | ff 0.70
[008] train 0.297 | val coarse_acc 0.887 fine_acc 0.630 | ff 0.70
[009] train 0.272 | val coarse_acc 0.967 fine_acc 0.652 | ff 0.70
[010] train 0.286 | val coarse_acc 0.910 fine_acc 0.632 | ff 0.70
[011] train 0.265 | val coarse_acc 0.962 fine_acc 0.665 | ff 0.70
[012] train 0.286 | val coarse_acc 0.880 fine_acc 0.683 | ff 0.70
[013] train 0.264 | val coarse_acc 0.963 fine_acc 0.665 | ff 0.70
[014] train 0.268 | val coarse_acc 0.963 fine_acc 0.632 | ff 0.70
[015] train 0.283 | val coarse_acc 0.977 fine_acc 0.680 | ff 0.70
[016] train 0.270 | val coarse_acc 0.890 fine_acc 0.592 | ff 0.70
[017] train 0.247 | val coarse_acc 0.965 fine_acc 0.668 | ff 0.70
[018] train 0.264 | val coarse_acc 0.868 fine_acc 0.590 | ff 0.70
[019] train 0.258 | val coarse_acc 0.932 fine_acc 0.673 | ff 0.70
[020] train 0.260 | val coarse_acc 0.973 fine_acc 0.645 | ff 0.70
[021] train 0.246 | val coarse_acc 0.953 fine_acc 0.678 | ff 0.70
[022] train 0.247 | val coarse_acc 0.920 fine_acc 0.688 | ff 0.70
[023] train 0.281 | val coarse_acc 0.962 fine_acc 0.647 | ff 0.70
[024] train 0.244 | val coarse_acc 0.970 fine_acc 0.672 | ff 0.70
[025] train 0.252 | val coarse_acc 0.960 fine_acc 0.672 | ff 0.70
[026] train 0.242 | val coarse_acc 0.962 fine_acc 0.695 | ff 0.70
[027] train 0.246 | val coarse_acc 0.950 fine_acc 0.660 | ff 0.70
[028] train 0.224 | val coarse_acc 0.958 fine_acc 0.658 | ff 0.70
[029] train 0.256 | val coarse_acc 0.962 fine_acc 0.625 | ff 0.70
[030] train 0.247 | val coarse_acc 0.957 fine_acc 0.660 | ff 0.70
[031] train 0.240 | val coarse_acc 0.957 fine_acc 0.647 | ff 0.70
[032] train 0.213 | val coarse_acc 0.970 fine_acc 0.700 | ff 0.70
[033] train 0.231 | val coarse_acc 0.938 fine_acc 0.597 | ff 0.70
[034] train 0.229 | val coarse_acc 0.953 fine_acc 0.685 | ff 0.70
[035] train 0.221 | val coarse_acc 0.965 fine_acc 0.642 | ff 0.70
[036] train 0.252 | val coarse_acc 0.983 fine_acc 0.667 | ff 0.70
[037] train 0.222 | val coarse_acc 1.000 fine_acc 0.668 | ff 0.70
[038] train 0.235 | val coarse_acc 0.997 fine_acc 0.635 | ff 0.70
[039] train 0.221 | val coarse_acc 0.980 fine_acc 0.640 | ff 0.70
[040] train 0.221 | val coarse_acc 0.977 fine_acc 0.635 | ff 0.70
[041] train 0.211 | val coarse_acc 0.987 fine_acc 0.640 | ff 0.70
[042] train 0.219 | val coarse_acc 0.970 fine_acc 0.612 | ff 0.70
[043] train 0.220 | val coarse_acc 0.958 fine_acc 0.598 | ff 0.70
[044] train 0.211 | val coarse_acc 0.995 fine_acc 0.668 | ff 0.70
[045] train 0.193 | val coarse_acc 0.982 fine_acc 0.630 | ff 0.70
[046] train 0.213 | val coarse_acc 0.983 fine_acc 0.662 | ff 0.70
[047] train 0.216 | val coarse_acc 0.997 fine_acc 0.685 | ff 0.70
[048] train 0.195 | val coarse_acc 0.973 fine_acc 0.652 | ff 0.70
[049] train 0.215 | val coarse_acc 0.978 fine_acc 0.632 | ff 0.70
[050] train 0.186 | val coarse_acc 0.947 fine_acc 0.635 | ff 0.70
[051] train 0.196 | val coarse_acc 0.943 fine_acc 0.603 | ff 0.70
[052] train 0.204 | val coarse_acc 0.992 fine_acc 0.677 | ff 0.70
[053] train 0.195 | val coarse_acc 0.990 fine_acc 0.635 | ff 0.70
[054] train 0.198 | val coarse_acc 0.995 fine_acc 0.652 | ff 0.70
[055] train 0.194 | val coarse_acc 0.963 fine_acc 0.655 | ff 0.70
[056] train 0.197 | val coarse_acc 0.985 fine_acc 0.642 | ff 0.70
[057] train 0.206 | val coarse_acc 0.983 fine_acc 0.633 | ff 0.70
[058] train 0.207 | val coarse_acc 0.980 fine_acc 0.648 | ff 0.70
[059] train 0.204 | val coarse_acc 0.997 fine_acc 0.670 | ff 0.70
[060] train 0.192 | val coarse_acc 0.983 fine_acc 0.660 | ff 0.70
[061] train 0.194 | val coarse_acc 0.992 fine_acc 0.607 | ff 0.70
[062] train 0.197 | val coarse_acc 0.992 fine_acc 0.648 | ff 0.70
[063] train 0.205 | val coarse_acc 0.965 fine_acc 0.643 | ff 0.70
[064] train 0.211 | val coarse_acc 0.988 fine_acc 0.628 | ff 0.70
[065] train 0.216 | val coarse_acc 0.970 fine_acc 0.632 | ff 0.70
[066] train 0.199 | val coarse_acc 0.967 fine_acc 0.602 | ff 0.70
[067] train 0.194 | val coarse_acc 0.973 fine_acc 0.625 | ff 0.70
[068] train 0.196 | val coarse_acc 0.980 fine_acc 0.667 | ff 0.70
[069] train 0.190 | val coarse_acc 0.975 fine_acc 0.597 | ff 0.70
[070] train 0.219 | val coarse_acc 0.983 fine_acc 0.628 | ff 0.70
[071] train 0.190 | val coarse_acc 0.975 fine_acc 0.648 | ff 0.70
[072] train 0.184 | val coarse_acc 0.970 fine_acc 0.652 | ff 0.70
[073] train 0.196 | val coarse_acc 0.973 fine_acc 0.615 | ff 0.70
[074] train 0.197 | val coarse_acc 0.983 fine_acc 0.615 | ff 0.70
[075] train 0.186 | val coarse_acc 0.983 fine_acc 0.625 | ff 0.70
[076] train 0.172 | val coarse_acc 0.968 fine_acc 0.640 | ff 0.70
[077] train 0.192 | val coarse_acc 0.988 fine_acc 0.592 | ff 0.70
[078] train 0.187 | val coarse_acc 0.993 fine_acc 0.687 | ff 0.70
[079] train 0.186 | val coarse_acc 0.978 fine_acc 0.627 | ff 0.70
[080] train 0.195 | val coarse_acc 0.990 fine_acc 0.680 | ff 0.70
[081] train 0.178 | val coarse_acc 0.972 fine_acc 0.622 | ff 0.70
[082] train 0.207 | val coarse_acc 0.992 fine_acc 0.642 | ff 0.70
[083] train 0.193 | val coarse_acc 0.990 fine_acc 0.647 | ff 0.70
[084] train 0.173 | val coarse_acc 0.997 fine_acc 0.682 | ff 0.70
[085] train 0.196 | val coarse_acc 0.997 fine_acc 0.680 | ff 0.70
[086] train 0.199 | val coarse_acc 0.993 fine_acc 0.652 | ff 0.70
[087] train 0.183 | val coarse_acc 0.997 fine_acc 0.667 | ff 0.70
[088] train 0.199 | val coarse_acc 0.995 fine_acc 0.637 | ff 0.70
[089] train 0.176 | val coarse_acc 0.987 fine_acc 0.620 | ff 0.70
[090] train 0.171 | val coarse_acc 0.982 fine_acc 0.673 | ff 0.70
[091] train 0.189 | val coarse_acc 0.997 fine_acc 0.633 | ff 0.70
[092] train 0.196 | val coarse_acc 0.988 fine_acc 0.655 | ff 0.70
[093] train 0.173 | val coarse_acc 0.993 fine_acc 0.650 | ff 0.70
[094] train 0.164 | val coarse_acc 0.993 fine_acc 0.623 | ff 0.70
[095] train 0.142 | val coarse_acc 0.990 fine_acc 0.637 | ff 0.70
[096] train 0.170 | val coarse_acc 0.980 fine_acc 0.647 | ff 0.70
[097] train 0.202 | val coarse_acc 0.997 fine_acc 0.632 | ff 0.70
[098] train 0.194 | val coarse_acc 0.988 fine_acc 0.630 | ff 0.70
[099] train 0.180 | val coarse_acc 0.997 fine_acc 0.653 | ff 0.70
[100] train 0.190 | val coarse_acc 1.000 fine_acc 0.610 | ff 0.70
[101] train 0.191 | val coarse_acc 0.992 fine_acc 0.647 | ff 0.70
[102] train 0.187 | val coarse_acc 0.983 fine_acc 0.667 | ff 0.70
[103] train 0.189 | val coarse_acc 0.988 fine_acc 0.625 | ff 0.70
[104] train 0.185 | val coarse_acc 0.995 fine_acc 0.653 | ff 0.70
[105] train 0.163 | val coarse_acc 0.993 fine_acc 0.623 | ff 0.70
[106] train 0.169 | val coarse_acc 1.000 fine_acc 0.600 | ff 0.70
[107] train 0.166 | val coarse_acc 0.987 fine_acc 0.662 | ff 0.70
[108] train 0.174 | val coarse_acc 1.000 fine_acc 0.625 | ff 0.70
[109] train 0.187 | val coarse_acc 1.000 fine_acc 0.637 | ff 0.70
[110] train 0.164 | val coarse_acc 1.000 fine_acc 0.598 | ff 0.70
[111] train 0.179 | val coarse_acc 0.973 fine_acc 0.613 | ff 0.70
[112] train 0.197 | val coarse_acc 0.990 fine_acc 0.605 | ff 0.70
[113] train 0.170 | val coarse_acc 0.998 fine_acc 0.648 | ff 0.70
[114] train 0.173 | val coarse_acc 0.990 fine_acc 0.682 | ff 0.70
[115] train 0.168 | val coarse_acc 1.000 fine_acc 0.637 | ff 0.70
[116] train 0.180 | val coarse_acc 0.983 fine_acc 0.593 | ff 0.70
[117] train 0.175 | val coarse_acc 0.987 fine_acc 0.597 | ff 0.70
[118] train 0.182 | val coarse_acc 1.000 fine_acc 0.602 | ff 0.70
[119] train 0.173 | val coarse_acc 1.000 fine_acc 0.665 | ff 0.70
[120] train 0.162 | val coarse_acc 1.000 fine_acc 0.650 | ff 0.70
Saved output_policy_J_k16_6od_x1.0_plain\policy_model_v2.pt
Elapsed: 122.286 sec
