[001] train 1.040 | val 1.063
[002] train 0.697 | val 1.427
[003] train 0.511 | val 2.277
[004] train 0.484 | val 1.089
[005] train 0.347 | val 0.914
[006] train 0.199 | val 1.582
[007] train 0.140 | val 1.939
[008] train 0.233 | val 1.452
[009] train 0.119 | val 1.356
[010] train 0.181 | val 1.083
[011] train 0.076 | val 1.714
[012] train 0.098 | val 2.225
[013] train 0.121 | val 2.404
[014] train 0.060 | val 2.130
[015] train 0.089 | val 1.877
[016] train 0.072 | val 1.188
[017] train 0.079 | val 1.512
[018] train 0.086 | val 1.865
[019] train 0.077 | val 1.864
[020] train 0.107 | val 2.566
[021] train 0.071 | val 1.814
[022] train 0.036 | val 2.465
[023] train 0.054 | val 1.270
[024] train 0.072 | val 2.274
[025] train 0.039 | val 2.842
[026] train 0.114 | val 4.479
[027] train 0.065 | val 3.129
[028] train 0.057 | val 2.653
[029] train 0.011 | val 3.245
[030] train 0.101 | val 2.367
[031] train 0.087 | val 2.217
[032] train 0.069 | val 1.757
[033] train 0.041 | val 2.402
[034] train 0.028 | val 2.083
[035] train 0.039 | val 2.730
[036] train 0.083 | val 2.908
[037] train 0.008 | val 3.330
[038] train 0.023 | val 2.108
[039] train 0.022 | val 3.190
[040] train 0.143 | val 1.626
[041] train 0.080 | val 3.036
[042] train 0.022 | val 2.565
[043] train 0.029 | val 2.936
[044] train 0.041 | val 2.846
[045] train 0.018 | val 3.562
[046] train 0.068 | val 2.958
[047] train 0.032 | val 2.386
[048] train 0.042 | val 4.553
[049] train 0.022 | val 4.013
[050] train 0.045 | val 2.312
[051] train 0.010 | val 3.085
[052] train 0.038 | val 2.361
[053] train 0.063 | val 4.741
[054] train 0.054 | val 3.254
[055] train 0.085 | val 1.289
[056] train 0.019 | val 1.913
[057] train 0.021 | val 2.512
[058] train 0.002 | val 3.535
[059] train 0.008 | val 2.021
[060] train 0.071 | val 3.017
Saved D:\PSPS\output_policy_J_k9_6od_x1.0\policy_model.pt
Elapsed: 916.410 sec
