seed,tag,att,k
0,s0_r07,231.37,4
0,s0_r03,237.221,4
0,s0_r09,250.219,3
0,s0_r08,265.82,3
0,s0_r01,270.627,2
0,s0_r05,273.097,2
0,s0_r00,280.515,1
0,s0_r02,287.029,3
0,s0_r04,298.382,4
0,s0_r06,304.429,2
1,s1_r08,233.371,4
1,s1_r02,237.221,4
1,s1_r04,240.778,4
1,s1_r05,262.207,3
1,s1_r01,270.627,2
1,s1_r09,273.444,2
1,s1_r00,280.515,1
1,s1_r03,286.702,1
1,s1_r07,291.733,2
1,s1_r06,298.4,4
2,s2_r09,227.561,4
2,s2_r08,236.759,4
2,s2_r02,237.221,4
2,s2_r05,243.375,4
2,s2_r07,245.379,4
2,s2_r06,267.652,4
2,s2_r00,273.309,2
2,s2_r01,282.619,3
2,s2_r04,298.4,4
2,s2_r03,304.429,2
3,s3_r07,231.076,4
3,s3_r05,231.37,4
3,s3_r09,234.275,4
3,s3_r03,237.221,4
3,s3_r04,240.778,4
3,s3_r08,245.379,4
3,s3_r06,247.213,4
3,s3_r01,270.627,2
3,s3_r00,280.515,1
3,s3_r02,307.767,2
4,s4_r01,229.631,4
4,s4_r09,231.37,4
4,s4_r05,237.221,4
4,s4_r03,254.534,3
4,s4_r00,259.206,2
4,s4_r04,265.784,2
4,s4_r07,273.097,2
4,s4_r02,273.699,3
4,s4_r08,286.702,1
4,s4_r06,298.382,4
5,s5_r04,229.631,4
5,s5_r05,231.377,4
5,s5_r02,236.759,3
5,s5_r07,237.221,4
5,s5_r03,259.206,2
5,s5_r06,265.784,2
5,s5_r01,270.627,2
5,s5_r00,280.515,1
5,s5_r09,286.702,1
5,s5_r08,298.382,4
6,s6_r02,229.631,4
6,s6_r09,231.37,4
6,s6_r05,237.221,4
6,s6_r03,254.534,3
6,s6_r04,265.784,2
6,s6_r00,270.627,2
6,s6_r08,280.385,1
6,s6_r07,286.702,1
6,s6_r06,298.382,4
6,s6_r01,307.767,2
7,s7_r08,231.37,4
7,s7_r02,259.206,2
7,s7_r01,270.627,2
7,s7_r05,273.097,2
7,s7_r07,280.385,1
7,s7_r00,280.515,1
7,s7_r03,282.619,3
7,s7_r04,287.029,3
7,s7_r09,289.164,2
7,s7_r06,304.429,2
8,s8_r02,236.759,3
8,s8_r06,237.221,4
8,s8_r09,267.106,3
8,s8_r03,267.966,3
8,s8_r00,270.627,2
8,s8_r04,273.699,3
8,s8_r08,280.385,1
8,s8_r07,286.702,1
8,s8_r05,287.029,3
8,s8_r01,307.767,2
9,s9_r06,231.377,4
9,s9_r09,237.221,4
9,s9_r08,254.534,3
9,s9_r03,259.206,2
9,s9_r04,264.294,3
9,s9_r01,270.627,2
9,s9_r05,273.309,2
9,s9_r00,280.515,1
9,s9_r07,282.619,3
9,s9_r02,307.767,2
