seed,tag,att,k
0,s0_r08,223.893,4
0,s0_r06,224.053,4
0,s0_r09,227.561,4
0,s0_r00,229.631,4
0,s0_r07,230.928,4
0,s0_r01,231.076,4
0,s0_r02,240.778,4
0,s0_r05,243.832,4
0,s0_r03,247.213,4
0,s0_r04,298.382,4
1,s1_r07,224.053,4
1,s1_r09,227.561,4
1,s1_r00,229.631,4
1,s1_r08,230.928,4
1,s1_r03,231.37,4
1,s1_r02,231.377,4
1,s1_r01,239.403,4
1,s1_r06,243.832,4
1,s1_r04,247.213,4
1,s1_r05,298.382,4
2,s2_r07,223.893,4
2,s2_r06,224.053,4
2,s2_r08,227.561,4
2,s2_r02,231.076,4
2,s2_r00,231.377,4
2,s2_r01,237.221,4
2,s2_r09,237.496,4
2,s2_r03,240.778,4
2,s2_r04,247.213,4
2,s2_r05,298.382,4
3,s3_r00,229.631,4
3,s3_r08,230.879,4
3,s3_r02,231.377,4
3,s3_r03,237.221,4
3,s3_r01,239.403,4
3,s3_r04,240.778,4
3,s3_r09,243.473,4
3,s3_r06,243.832,4
3,s3_r05,247.213,4
3,s3_r07,267.767,4
4,s4_r08,223.893,4
4,s4_r09,227.561,4
4,s4_r00,229.631,4
4,s4_r07,230.928,4
4,s4_r02,231.37,4
4,s4_r01,231.377,4
4,s4_r03,240.778,4
4,s4_r04,247.213,4
4,s4_r06,252.03,4
4,s4_r05,298.382,4
5,s5_r08,227.561,4
5,s5_r07,230.928,4
5,s5_r03,231.076,4
5,s5_r02,231.37,4
5,s5_r01,231.377,4
5,s5_r00,239.403,4
5,s5_r04,240.778,4
5,s5_r06,243.832,4
5,s5_r05,247.213,4
5,s5_r09,267.767,4
6,s6_r06,224.053,4
6,s6_r08,230.879,4
6,s6_r07,230.928,4
6,s6_r01,231.076,4
6,s6_r09,236.759,4
6,s6_r00,239.403,4
6,s6_r02,240.778,4
6,s6_r05,243.832,4
6,s6_r03,247.213,4
6,s6_r04,298.382,4
7,s7_r00,229.631,4
7,s7_r04,231.076,4
7,s7_r02,231.37,4
7,s7_r03,237.221,4
7,s7_r01,239.403,4
7,s7_r05,240.778,4
7,s7_r09,243.832,4
7,s7_r06,247.213,4
7,s7_r08,252.03,4
7,s7_r07,298.382,4
8,s8_r08,224.053,4
8,s8_r00,229.631,4
8,s8_r02,231.076,4
8,s8_r06,235.676,4
8,s8_r07,237.938,4
8,s8_r01,239.403,4
8,s8_r03,240.778,4
8,s8_r04,243.832,4
8,s8_r09,253.453,4
8,s8_r05,267.767,4
9,s9_r07,223.893,4
9,s9_r00,229.631,4
9,s9_r06,230.928,4
9,s9_r01,231.377,4
9,s9_r08,234.275,4
9,s9_r09,236.759,4
9,s9_r02,237.221,4
9,s9_r03,240.778,4
9,s9_r04,252.03,4
9,s9_r05,298.4,4
