seed,tag,att,k
0,s0_r07,223.893,4
0,s0_r06,230.879,4
0,s0_r02,231.37,4
0,s0_r01,231.377,4
0,s0_r09,234.812,4
0,s0_r00,239.403,4
0,s0_r04,240.778,4
0,s0_r05,252.03,4
0,s0_r03,253.105,4
0,s0_r08,281.955,4
1,s1_r01,229.631,4
1,s1_r06,230.928,4
1,s1_r04,231.37,4
1,s1_r03,231.377,4
1,s1_r08,235.676,4
1,s1_r02,237.221,4
1,s1_r00,239.403,4
1,s1_r05,240.778,4
1,s1_r07,247.213,4
1,s1_r09,327.647,4
2,s2_r08,224.053,4
2,s2_r01,229.631,4
2,s2_r05,231.076,4
2,s2_r09,234.275,4
2,s2_r04,235.676,4
2,s2_r06,236.759,4
2,s2_r00,239.403,4
2,s2_r03,252.03,4
2,s2_r02,253.105,4
2,s2_r07,254.014,4
3,s3_r01,229.631,4
3,s3_r05,230.928,4
3,s3_r08,231.076,4
3,s3_r02,231.377,4
3,s3_r09,234.275,4
3,s3_r07,235.676,4
3,s3_r00,239.403,4
3,s3_r06,247.213,4
3,s3_r04,252.03,4
3,s3_r03,253.105,4
4,s4_r06,223.893,4
4,s4_r00,231.37,4
4,s4_r05,234.275,4
4,s4_r04,236.759,4
4,s4_r07,238.92,4
4,s4_r08,242.479,4
4,s4_r03,243.832,4
4,s4_r01,247.213,4
4,s4_r09,260.295,4
4,s4_r02,327.647,4
5,s5_r00,229.631,4
5,s5_r06,230.928,4
5,s5_r02,231.37,4
5,s5_r08,236.759,4
5,s5_r01,237.221,4
5,s5_r04,240.778,4
5,s5_r07,247.213,4
5,s5_r05,252.03,4
5,s5_r09,252.768,4
5,s5_r03,253.105,4
6,s6_r01,229.631,4
6,s6_r05,230.928,4
6,s6_r09,231.076,4
6,s6_r02,231.377,4
6,s6_r07,235.676,4
6,s6_r00,239.403,4
6,s6_r04,240.778,4
6,s6_r08,243.832,4
6,s6_r06,247.213,4
6,s6_r03,253.105,4
7,s7_r04,230.928,4
7,s7_r01,231.37,4
7,s7_r08,233.112,4
7,s7_r00,239.403,4
7,s7_r09,242.479,4
7,s7_r03,252.03,4
7,s7_r02,253.105,4
7,s7_r06,258.067,4
7,s7_r07,281.955,4
7,s7_r05,327.647,4
8,s8_r01,229.631,4
8,s8_r08,231.076,4
8,s8_r03,231.37,4
8,s8_r02,231.377,4
8,s8_r09,236.759,4
8,s8_r00,239.403,4
8,s8_r04,240.778,4
8,s8_r07,243.832,4
8,s8_r05,252.03,4
8,s8_r06,327.647,4
9,s9_r09,224.053,4
9,s9_r08,230.879,4
9,s9_r04,230.928,4
9,s9_r02,231.377,4
9,s9_r06,235.676,4
9,s9_r01,237.221,4
9,s9_r00,239.403,4
9,s9_r05,247.213,4
9,s9_r03,252.03,4
9,s9_r07,327.647,4
