seed,tag,att,k
0,s0_r03,473.154,9
0,s0_r05,476.1895,9
0,s0_r00,485.1005,9
0,s0_r09,491.143,9
0,s0_r08,498.414,9
0,s0_r07,515.1985,9
0,s0_r01,519.1475,9
0,s0_r06,522.7055,9
0,s0_r04,528.9125,9
0,s0_r02,556.153,9
1,s1_r08,489.548,9
1,s1_r01,495.55,9
1,s1_r07,498.191,9
1,s1_r03,499.7035,9
1,s1_r02,508.9875,9
1,s1_r09,518.5435,9
1,s1_r06,520.6435,9
1,s1_r00,523.922,6
1,s1_r05,524.712,9
1,s1_r04,531.9985,9
2,s2_r08,486.7045,9
2,s2_r09,490.1,9
2,s2_r00,504.7685,9
2,s2_r04,505.6405,9
2,s2_r06,514.605,9
2,s2_r02,515.3555,9
2,s2_r07,518.1345,4
2,s2_r03,519.4875,9
2,s2_r05,530.819,9
2,s2_r01,547.2565,9
3,s3_r07,483.9545,9
3,s3_r06,487.383,9
3,s3_r00,489.737,9
3,s3_r01,491.1825,9
3,s3_r03,496.4295,9
3,s3_r05,496.797,9
3,s3_r02,502.4165,9
3,s3_r04,503.4995,9
3,s3_r09,515.311,9
3,s3_r08,520.4525,9
4,s4_r04,482.247,9
4,s4_r05,485.808,9
4,s4_r02,491.816,9
4,s4_r03,499.6085,9
4,s4_r07,506.513,9
4,s4_r00,508.2325,9
4,s4_r01,522.374,9
4,s4_r08,522.7455,9
4,s4_r09,528.721,9
4,s4_r06,546.657,9
5,s5_r05,491.3475,9
5,s5_r02,492.552,9
5,s5_r09,492.6795,9
5,s5_r06,494.731,9
5,s5_r07,499.6305,9
5,s5_r00,501.6495,9
5,s5_r04,504.4995,9
5,s5_r03,511.325,9
5,s5_r01,514.6915,9
5,s5_r08,516.681,9
6,s6_r04,465.4005,9
6,s6_r02,491.1995,9
6,s6_r05,495.444,9
6,s6_r00,500.4725,9
6,s6_r01,501.516,9
6,s6_r06,504.467,9
6,s6_r03,511.5005,9
6,s6_r07,512.476,9
6,s6_r08,526.3465,9
6,s6_r09,526.5335,9
7,s7_r04,483.875,9
7,s7_r08,488.3545,9
7,s7_r02,497.452,9
7,s7_r00,497.825,9
7,s7_r07,498.268,9
7,s7_r09,498.951,9
7,s7_r01,505.4995,9
7,s7_r03,515.8765,9
7,s7_r05,517.101,9
7,s7_r06,598.268,9
8,s8_r00,480.445,9
8,s8_r02,480.813,9
8,s8_r04,485.8635,9
8,s8_r01,490.2875,9
8,s8_r07,498.5805,9
8,s8_r09,504.445,9
8,s8_r08,506.762,9
8,s8_r06,512.674,7
8,s8_r05,515.4775,9
8,s8_r03,520.4805,9
9,s9_r08,486.4575,9
9,s9_r05,507.9705,9
9,s9_r09,512.473,9
9,s9_r07,512.995,9
9,s9_r01,514.6035,9
9,s9_r04,519.61,9
9,s9_r03,523.1175,9
9,s9_r02,523.814,9
9,s9_r06,537.2015,9
9,s9_r00,547.887,9
