seed,tag,att,k
0,s0_r07,476.1895,9
0,s0_r05,488.2295,9
0,s0_r09,489.9965,9
0,s0_r04,495.661,9
0,s0_r02,495.954,9
0,s0_r01,499.8735,9
0,s0_r08,500.4515,9
0,s0_r00,505.355,9
0,s0_r06,506.357,9
0,s0_r03,539.0155,9
1,s1_r02,482.4245,9
1,s1_r06,489.6655,9
1,s1_r03,500.137,9
1,s1_r08,501.2055,9
1,s1_r07,503.553,9
1,s1_r01,508.638,9
1,s1_r05,510.895,9
1,s1_r04,510.922,9
1,s1_r00,517.6155,9
1,s1_r09,541.557,9
2,s2_r06,481.6885,9
2,s2_r09,491.957,9
2,s2_r00,500.1135,9
2,s2_r07,505.1905,9
2,s2_r05,509.256,9
2,s2_r02,513.333,9
2,s2_r01,516.0145,9
2,s2_r04,517.716,9
2,s2_r08,519.475,9
2,s2_r03,570.2275,9
3,s3_r05,487.196,9
3,s3_r03,492.073,9
3,s3_r00,500.8845,9
3,s3_r09,501.9485,9
3,s3_r07,505.134,9
3,s3_r08,506.8215,8
3,s3_r06,512.3085,9
3,s3_r01,514.901,9
3,s3_r04,516.216,9
3,s3_r02,530.213,9
4,s4_r08,475.91,9
4,s4_r02,483.0545,9
4,s4_r00,490.452,9
4,s4_r03,490.918,9
4,s4_r01,497.7285,9
4,s4_r05,502.009,9
4,s4_r06,506.4035,9
4,s4_r07,508.45,9
4,s4_r09,513.874,9
4,s4_r04,513.9515,9
5,s5_r01,470.8845,9
5,s5_r09,481.634,9
5,s5_r07,489.8135,9
5,s5_r04,493.765,9
5,s5_r06,499.5685,9
5,s5_r00,503.8415,9
5,s5_r03,504.9335,9
5,s5_r02,508.2575,9
5,s5_r08,511.131,9
5,s5_r05,551.1545,9
6,s6_r01,464.226,9
6,s6_r02,470.8765,9
6,s6_r09,476.1895,9
6,s6_r00,482.325,9
6,s6_r08,489.63,9
6,s6_r04,491.467,9
6,s6_r05,493.7815,9
6,s6_r06,502.079,9
6,s6_r07,506.118,9
6,s6_r03,522.726,9
7,s7_r07,478.819,9
7,s7_r03,479.5,9
7,s7_r01,482.9045,9
7,s7_r08,490.4685,9
7,s7_r05,491.14,9
7,s7_r00,495.2615,9
7,s7_r09,506.157,9
7,s7_r02,507.9055,9
7,s7_r06,528.7135,9
7,s7_r04,529.3245,9
8,s8_r06,481.9285,9
8,s8_r00,490.6165,9
8,s8_r04,491.932,9
8,s8_r02,496.0925,9
8,s8_r01,498.5365,9
8,s8_r05,498.995,9
8,s8_r07,500.334,9
8,s8_r09,507.8825,9
8,s8_r08,509.086,9
8,s8_r03,509.518,9
9,s9_r07,479.802,9
9,s9_r09,490.279,9
9,s9_r00,495.622,9
9,s9_r03,499.777,9
9,s9_r05,501.991,9
9,s9_r04,503.722,9
9,s9_r02,511.3945,9
9,s9_r06,519.551,9
9,s9_r01,547.818,9
9,s9_r08,559.133,9
