seed,tag,att,k
0,s0_r07,470.7345,9
0,s0_r00,474.8695,9
0,s0_r08,486.623,7
0,s0_r04,494.4365,9
0,s0_r03,507.272,9
0,s0_r05,511.1405,9
0,s0_r09,512.5695,9
0,s0_r01,514.585,9
0,s0_r06,519.8315,9
0,s0_r02,524.599,9
1,s1_r08,489.8675,9
1,s1_r07,490.779,9
1,s1_r01,492.0415,9
1,s1_r09,508.5855,9
1,s1_r04,522.0035,9
1,s1_r02,525.7825,9
1,s1_r00,538.4355,9
1,s1_r05,538.9625,9
1,s1_r03,540.637,9
1,s1_r06,554.355,9
2,s2_r09,481.623,9
2,s2_r07,488.844,9
2,s2_r00,491.8715,9
2,s2_r06,500.8845,9
2,s2_r02,501.753,9
2,s2_r01,506.866,9
2,s2_r04,507.836,9
2,s2_r03,510.2835,9
2,s2_r08,513.783,9
2,s2_r05,517.0265,9
3,s3_r02,493.773,9
3,s3_r04,498.061,9
3,s3_r07,498.061,9
3,s3_r01,498.783,9
3,s3_r06,503.08,9
3,s3_r03,514.9755,9
3,s3_r09,515.529,9
3,s3_r00,527.4515,9
3,s3_r08,528.4785,9
3,s3_r05,540.239,9
4,s4_r06,483.085,9
4,s4_r09,500.1905,9
4,s4_r01,501.198,9
4,s4_r00,502.8685,9
4,s4_r07,504.102,9
4,s4_r03,510.5175,9
4,s4_r05,514.041,9
4,s4_r02,515.4505,9
4,s4_r08,523.3715,9
4,s4_r04,544.907,9
5,s5_r09,479.426,9
5,s5_r01,483.009,9
5,s5_r00,483.8645,9
5,s5_r05,485.711,9
5,s5_r04,487.774,9
5,s5_r08,499.913,9
5,s5_r07,507.9475,9
5,s5_r02,515.456,9
5,s5_r03,518.1095,9
5,s5_r06,524.8845,9
6,s6_r00,500.9265,9
6,s6_r05,503.8945,9
6,s6_r07,513.992,9
6,s6_r01,514.377,9
6,s6_r06,514.377,9
6,s6_r04,514.4905,9
6,s6_r02,516.332,9
6,s6_r03,523.2325,9
6,s6_r08,536.69,9
6,s6_r09,567.488,9
7,s7_r08,484.2,9
7,s7_r00,491.374,9
7,s7_r04,497.5635,9
7,s7_r09,498.8615,9
7,s7_r03,501.2895,9
7,s7_r02,512.2815,9
7,s7_r07,514.391,9
7,s7_r06,522.1065,9
7,s7_r05,529.6065,9
7,s7_r01,538.6535,9
8,s8_r08,491.1325,9
8,s8_r04,497.4255,9
8,s8_r00,502.127,9
8,s8_r07,503.4355,9
8,s8_r05,505.667,9
8,s8_r01,513.212,9
8,s8_r09,520.1185,9
8,s8_r03,528.3455,9
8,s8_r06,528.448,9
8,s8_r02,544.1955,9
9,s9_r04,465.4005,9
9,s9_r01,496.5795,9
9,s9_r07,506.2055,9
9,s9_r05,506.2755,9
9,s9_r00,512.7095,9
9,s9_r02,520.8915,9
9,s9_r03,527.772,9
9,s9_r06,534.6005,9
9,s9_r08,549.075,9
9,s9_r09,560.7005,9
