seed,tag,att,k
0,s0_r02,614.8673333333334,2
0,s0_r01,644.456,8
0,s0_r04,644.456,5
0,s0_r00,644.456,6
0,s0_r05,644.456,5
0,s0_r06,644.456,7
0,s0_r07,644.456,9
0,s0_r08,644.456,2
0,s0_r09,644.456,1
0,s0_r03,717.3,1
1,s1_r05,593.5686666666667,7
1,s1_r06,635.532,7
1,s1_r01,644.456,4
1,s1_r04,644.456,8
1,s1_r02,644.456,6
1,s1_r07,644.456,4
1,s1_r00,644.456,2
1,s1_r08,644.456,8
1,s1_r03,647.3993333333333,9
1,s1_r09,656.28,9
2,s2_r02,644.456,3
2,s2_r05,644.456,5
2,s2_r03,644.456,2
2,s2_r04,644.456,6
2,s2_r00,644.456,1
2,s2_r07,644.456,3
2,s2_r01,644.456,5
2,s2_r06,644.456,2
2,s2_r08,644.456,5
2,s2_r09,644.456,7
3,s3_r06,644.456,1
3,s3_r04,644.456,4
3,s3_r07,644.456,2
3,s3_r00,644.456,3
3,s3_r02,644.456,7
3,s3_r01,644.456,9
3,s3_r03,644.456,6
3,s3_r08,644.456,4
3,s3_r09,644.456,6
3,s3_r05,644.9866666666667,6
4,s4_r02,644.456,3
4,s4_r00,644.456,3
4,s4_r05,644.456,4
4,s4_r07,644.456,3
4,s4_r06,644.456,5
4,s4_r09,644.456,6
4,s4_r01,714.712,7
4,s4_r08,749.8073333333333,8
4,s4_r04,8383.770666666667,4
4,s4_r03,1000000000000.0,4
5,s5_r07,380.0353333333333,4
5,s5_r06,644.456,3
5,s5_r00,644.456,9
5,s5_r03,644.456,3
5,s5_r02,644.456,7
5,s5_r01,644.456,2
5,s5_r05,644.456,2
5,s5_r04,644.456,6
5,s5_r08,644.456,3
5,s5_r09,649.0873333333333,4
6,s6_r08,403.796,9
6,s6_r01,644.456,5
6,s6_r02,644.456,6
6,s6_r00,644.456,9
6,s6_r05,644.456,4
6,s6_r04,644.456,5
6,s6_r06,644.456,5
6,s6_r03,644.456,8
6,s6_r09,644.456,4
6,s6_r07,705.606,8
7,s7_r09,631.304,5
7,s7_r03,631.7926666666667,9
7,s7_r07,644.456,5
7,s7_r01,644.456,8
7,s7_r05,644.456,4
7,s7_r00,644.456,5
7,s7_r08,644.456,9
7,s7_r04,646.1106666666667,3
7,s7_r02,650.6946666666666,6
7,s7_r06,674.0693333333334,9
8,s8_r00,644.456,3
8,s8_r03,644.456,1
8,s8_r01,644.456,3
8,s8_r06,644.456,1
8,s8_r07,644.456,9
8,s8_r04,644.456,3
8,s8_r02,644.456,3
8,s8_r05,644.456,6
8,s8_r08,644.456,8
8,s8_r09,644.456,3
9,s9_r00,644.456,7
9,s9_r05,644.456,3
9,s9_r01,644.456,8
9,s9_r03,644.456,8
9,s9_r02,644.456,3
9,s9_r06,644.456,3
9,s9_r04,644.456,3
9,s9_r07,644.456,6
9,s9_r08,644.456,8
9,s9_r09,644.456,1
