seed,tag,att,k
0,s0_r01,581.7293333333333,9
0,s0_r00,606.1866666666666,9
0,s0_r03,627.456,9
0,s0_r04,644.456,9
0,s0_r02,644.456,9
0,s0_r05,644.456,9
0,s0_r06,644.456,9
0,s0_r08,644.456,9
0,s0_r09,647.4013333333334,9
0,s0_r07,734.8413333333333,9
1,s1_r05,635.532,9
1,s1_r00,640.8866666666667,9
1,s1_r04,644.456,9
1,s1_r02,644.456,9
1,s1_r01,644.456,9
1,s1_r07,644.456,9
1,s1_r03,644.456,9
1,s1_r08,644.456,9
1,s1_r09,644.456,9
1,s1_r06,681.9,9
2,s2_r05,623.326,9
2,s2_r07,626.988,9
2,s2_r00,644.456,9
2,s2_r06,644.456,9
2,s2_r02,644.456,9
2,s2_r03,644.456,9
2,s2_r04,644.456,9
2,s2_r01,644.456,9
2,s2_r09,644.456,9
2,s2_r08,644.456,9
3,s3_r04,593.5686666666667,9
3,s3_r06,644.456,9
3,s3_r02,644.456,9
3,s3_r05,644.456,9
3,s3_r00,644.456,9
3,s3_r07,644.456,9
3,s3_r03,644.456,9
3,s3_r01,644.456,9
3,s3_r08,644.456,9
3,s3_r09,644.456,9
4,s4_r05,437.198,9
4,s4_r03,594.3046666666667,9
4,s4_r02,625.2666666666667,9
4,s4_r04,631.304,9
4,s4_r01,632.3146666666667,9
4,s4_r09,636.414,9
4,s4_r07,638.78,9
4,s4_r06,644.456,9
4,s4_r08,644.456,9
4,s4_r00,666.4566666666667,9
5,s5_r03,644.456,9
5,s5_r02,644.456,9
5,s5_r07,644.456,9
5,s5_r06,644.456,9
5,s5_r01,644.456,9
5,s5_r00,644.456,9
5,s5_r04,644.456,9
5,s5_r05,644.456,9
5,s5_r09,644.456,9
5,s5_r08,644.456,9
6,s6_r04,636.414,9
6,s6_r09,643.9946666666667,9
6,s6_r02,644.456,9
6,s6_r05,644.456,9
6,s6_r03,644.456,9
6,s6_r06,644.456,9
6,s6_r01,644.456,9
6,s6_r08,644.456,9
6,s6_r00,656.9013333333334,9
6,s6_r07,8612.496666666666,9
7,s7_r00,576.9213333333333,9
7,s7_r06,622.4166666666666,9
7,s7_r02,644.456,9
7,s7_r04,644.456,9
7,s7_r01,644.456,9
7,s7_r05,644.456,9
7,s7_r03,644.456,9
7,s7_r07,644.456,9
7,s7_r08,644.456,9
7,s7_r09,657.5893333333333,9
8,s8_r08,531.9293333333334,9
8,s8_r05,601.6666666666666,9
8,s8_r06,623.326,9
8,s8_r00,644.456,9
8,s8_r07,644.456,9
8,s8_r03,644.456,9
8,s8_r04,644.456,9
8,s8_r02,644.456,9
8,s8_r09,644.456,9
8,s8_r01,658.9353333333333,9
9,s9_r00,380.0353333333333,9
9,s9_r05,628.3486666666666,9
9,s9_r03,636.414,9
9,s9_r01,644.456,9
9,s9_r04,644.456,9
9,s9_r07,644.456,9
9,s9_r08,644.456,9
9,s9_r06,656.9013333333334,9
9,s9_r02,8034.334666666667,9
9,s9_r09,1000000000000.0,9
