seed,tag,att,k
0,s0_r05,594.3046666666667,9
0,s0_r04,628.3486666666666,9
0,s0_r09,632.3146666666667,9
0,s0_r00,635.9086666666667,9
0,s0_r01,644.456,9
0,s0_r02,644.456,9
0,s0_r03,644.456,9
0,s0_r06,644.456,9
0,s0_r07,644.456,9
0,s0_r08,644.456,9
1,s1_r06,608.4013333333334,9
1,s1_r08,628.3486666666666,9
1,s1_r01,644.456,9
1,s1_r07,644.456,9
1,s1_r04,644.456,9
1,s1_r00,644.456,9
1,s1_r03,644.456,9
1,s1_r05,644.456,9
1,s1_r09,644.456,9
1,s1_r02,1000000000000.0,9
2,s2_r03,635.108,9
2,s2_r04,644.456,9
2,s2_r01,644.456,9
2,s2_r07,644.456,9
2,s2_r06,644.456,9
2,s2_r00,644.456,9
2,s2_r05,644.456,9
2,s2_r08,644.456,9
2,s2_r09,685.0566666666666,9
2,s2_r02,8383.770666666667,9
3,s3_r02,601.6666666666666,9
3,s3_r07,623.326,9
3,s3_r08,628.3486666666666,9
3,s3_r03,644.456,9
3,s3_r06,644.456,9
3,s3_r01,644.456,9
3,s3_r05,644.456,9
3,s3_r04,644.456,9
3,s3_r09,644.456,9
3,s3_r00,785.486,9
4,s4_r00,629.7613333333334,9
4,s4_r04,644.456,9
4,s4_r06,644.456,9
4,s4_r02,644.456,9
4,s4_r03,644.456,9
4,s4_r05,644.456,9
4,s4_r09,644.456,9
4,s4_r08,644.456,9
4,s4_r07,669.5146666666667,9
4,s4_r01,729.41,9
5,s5_r08,602.0886666666667,9
5,s5_r01,644.456,9
5,s5_r04,644.456,9
5,s5_r03,644.456,9
5,s5_r06,644.456,9
5,s5_r05,644.456,9
5,s5_r07,644.456,9
5,s5_r00,648.456,9
5,s5_r02,661.2246666666666,9
5,s5_r09,709.404,9
6,s6_r06,627.456,9
6,s6_r09,638.78,9
6,s6_r04,644.456,9
6,s6_r00,644.456,9
6,s6_r02,644.456,9
6,s6_r05,644.456,9
6,s6_r07,644.456,9
6,s6_r08,644.456,9
6,s6_r01,717.3,9
6,s6_r03,2192.349333333333,9
7,s7_r00,605.2513333333334,9
7,s7_r07,631.7926666666667,9
7,s7_r03,639.1526666666666,9
7,s7_r05,644.456,9
7,s7_r02,644.456,9
7,s7_r06,644.456,9
7,s7_r01,644.456,9
7,s7_r04,644.456,9
7,s7_r09,644.456,9
7,s7_r08,656.68,9
8,s8_r06,531.9293333333334,9
8,s8_r04,644.456,9
8,s8_r07,644.456,9
8,s8_r01,644.456,9
8,s8_r02,644.456,9
8,s8_r05,644.456,9
8,s8_r03,644.456,9
8,s8_r08,644.456,9
8,s8_r09,644.456,9
8,s8_r00,717.3,9
9,s9_r08,427.40066666666667,9
9,s9_r05,601.6666666666666,9
9,s9_r00,631.304,9
9,s9_r06,640.8866666666667,9
9,s9_r04,644.456,9
9,s9_r07,644.456,9
9,s9_r01,644.456,9
9,s9_r03,644.456,9
9,s9_r02,644.456,9
9,s9_r09,644.456,9
