sample_idx,k,y_dataset_randseed,att_eval_seed
0,4,288.9639892578125,293.29
2,1,304.95599365234375,315.812
4,3,281.17498779296875,286.945
5,4,263.89801025390625,269.796
6,3,307.7229919433594,280.539
8,3,335.7250061035156,310.126
9,4,289.7130126953125,274.512
10,3,291.739990234375,297.108
11,2,297.1659851074219,315.812
13,3,304.5469970703125,292.33
15,3,283.60198974609375,291.635
16,4,285.0299987792969,277.451
17,2,286.03399658203125,315.812
18,1,300.40899658203125,315.812
19,4,276.5480041503906,270.31
20,1,314.68798828125,315.812
21,2,302.3290100097656,299.38
22,1,315.3290100097656,311.937
23,2,287.177001953125,294.536
24,2,352.8999938964844,329.583
25,4,280.6960144042969,304.591
26,3,316.58099365234375,299.954
27,3,291.84698486328125,318.557
29,2,282.9010009765625,304.677
30,3,289.635009765625,301.507
31,3,306.49700927734375,304.338
32,2,294.47601318359375,277.222
33,3,295.6180114746094,290.132
35,4,309.7279968261719,316.417
36,3,319.7690124511719,318.878
38,4,321.25299072265625,305.746
39,4,283.4840087890625,257.84
40,1,361.5509948730469,352.346
41,4,297.7760009765625,300.964
42,2,306.89898681640625,291.102
43,1,310.7650146484375,311.104
44,2,351.24200439453125,351.133
45,2,354.2950134277344,355.216
46,1,326.6109924316406,310.273
48,1,294.0119934082031,311.341
49,3,311.4939880371094,305.246
50,4,301.49700927734375,292.538
51,2,301.98199462890625,298.829
52,4,307.5150146484375,311.47
54,4,299.197998046875,297.373
55,2,318.1919860839844,319.681
56,4,322.8630065917969,345.57
58,4,274.4750061035156,275.159
59,4,315.9280090332031,316.475
60,3,313.4989929199219,307.13
61,2,296.4429931640625,290.351
63,4,301.114990234375,306.532
64,2,284.7669982910156,289.544
65,3,301.8370056152344,285.068
66,3,316.32598876953125,298.462
67,4,351.2349853515625,321.746
68,4,266.4830017089844,275.743
69,3,347.8840026855469,337.9
70,1,331.8659973144531,341.586
73,2,300.5539855957031,309.531
74,1,293.2380065917969,307.786
75,4,298.6940002441406,296.891
76,4,338.70599365234375,342.271
77,4,335.802001953125,342.823
78,4,363.406005859375,389.897
79,4,342.2749938964844,336.039
80,1,330.50799560546875,315.812
81,4,291.6730041503906,291.374
83,1,325.33599853515625,306.479
84,3,294.04901123046875,285.378
85,4,295.7909851074219,275.604
86,3,300.5979919433594,275.451
87,3,304.1369934082031,286.495
90,4,269.1239929199219,283.095
91,4,301.8219909667969,301.538
92,1,293.54998779296875,307.786
93,3,299.5780029296875,288.423
94,4,309.7829895019531,317.543
97,1,300.8810119628906,280.385
98,4,317.28399658203125,340.626
99,1,303.34600830078125,303.944
101,4,348.79901123046875,344.803
102,1,293.88299560546875,313.484
103,2,284.7409973144531,273.434
105,1,307.2829895019531,307.786
106,2,309.15899658203125,300.078
107,3,285.07598876953125,266.04
108,3,315.96099853515625,303.541
109,2,295.0350036621094,300.68
110,2,300.552001953125,302.055
111,4,318.3819885253906,328.113
113,1,300.5979919433594,309.555
115,1,308.1300048828125,310.89
116,1,311.8840026855469,280.385
117,2,312.9200134277344,288.58
118,3,322.4129943847656,312.957
120,2,311.8599853515625,294.76
121,4,308.9259948730469,294.485
122,1,296.8999938964844,291.641
123,4,304.1570129394531,322.195
124,2,337.5799865722656,350.916
125,2,286.5320129394531,303.151
126,2,293.4440002441406,286.757
127,4,268.406005859375,266.886
128,2,311.45001220703125,286.702
129,1,311.6449890136719,310.89
130,1,296.3949890136719,315.812
132,4,305.875,287.259
133,1,298.6090087890625,309.555
134,3,291.17498779296875,299.279
135,2,302.4639892578125,302.055
136,4,312.4460144042969,332.479
138,3,304.0419921875,297.978
139,2,337.2569885253906,355.437
141,2,297.5539855957031,294.052
142,4,290.1830139160156,283.102
143,1,288.42999267578125,286.702
144,4,311.1910095214844,316.757
145,4,327.0069885253906,325.074
146,4,304.4309997558594,289.084
147,1,305.16400146484375,311.341
150,1,305.34698486328125,307.786
151,4,270.7720031738281,295.529
152,1,324.1789855957031,303.74
153,3,279.33099365234375,294.396
155,2,317.0119934082031,315.812
156,4,286.156005859375,293.43
157,2,300.92498779296875,284.303
158,3,312.3999938964844,321.978
160,4,312.7359924316406,320.34
161,1,320.8169860839844,315.812
164,1,331.0140075683594,311.104
