sample_idx,k,y_dataset_randseed,att_eval_seed
0,9,555.385009765625,529.597
1,9,551.0,569.7745
2,8,523.6259765625,512.453
3,4,533.5184936523438,524.631
4,6,551.8594970703125,544.369
5,3,522.3154907226562,528.742
6,8,508.56048583984375,522.648
7,7,517.3115234375,529.7575
8,6,530.4310302734375,527.523
9,5,522.0244750976562,535.644
10,4,537.9605102539062,549.423
11,2,509.5474853515625,524.375
12,7,518.3515014648438,524.5995
13,1,529.708984375,538.6315
14,5,522.2354736328125,546.0845
15,4,532.9949951171875,497.066
16,9,541.8724975585938,534.3625
17,8,528.1929931640625,533.7595
18,4,508.9435119628906,527.5075
19,6,552.8264770507812,497.328
20,5,530.0910034179688,528.894
21,9,524.3599853515625,506.746
22,4,541.9940185546875,538.849
23,8,492.89300537109375,515.306
24,1,505.17401123046875,543.6595
25,9,545.27001953125,531.9185
26,6,543.7849731445312,532.652
29,8,533.9525146484375,564.8715
30,7,542.9990234375,530.866
31,3,527.3925170898438,489.4005
32,4,534.8259887695312,518.552
33,4,515.8740234375,510.2785
34,6,511.3594970703125,523.1005
35,8,507.4549865722656,511.8735
36,9,499.66949462890625,538.069
37,8,507.2860107421875,509.4005
38,2,515.5465087890625,516.9595
39,5,547.6414794921875,522.674
40,2,518.9030151367188,531.7745
41,7,519.7484741210938,515.16
42,1,529.0679931640625,514.835
43,4,554.2025146484375,534.5575
44,4,529.7564697265625,524.4695
45,4,516.8685302734375,521.4415
46,7,516.2454833984375,518.4915
47,3,529.66748046875,520.199
48,3,517.8809814453125,508.574
50,5,505.7879943847656,511.9235
52,2,510.30499267578125,538.5555
53,3,506.4175109863281,506.306
54,5,480.63848876953125,525.435
56,4,517.6995239257812,525.706
57,4,526.1439819335938,504.4195
58,9,529.781005859375,556.8965
59,2,514.7755126953125,552.122
60,3,512.2410278320312,538.6315
61,4,498.5989990234375,502.2115
62,2,518.2360229492188,527.8085
63,4,531.865478515625,538.417
64,7,532.0130004882812,523.6435
65,3,521.9840087890625,538.6315
66,7,505.75250244140625,503.393
67,7,528.239013671875,531.7745
68,6,512.9644775390625,529.429
69,4,523.06201171875,509.385
70,1,521.8489990234375,538.6315
71,9,547.3724975585938,523.6035
72,1,510.7200012207031,538.6315
73,2,535.593994140625,538.6315
74,8,511.04901123046875,523.8675
75,9,507.66351318359375,533.12
76,7,534.073974609375,560.5025
78,7,530.2874755859375,534.9
79,4,527.2764892578125,533.8015
80,5,549.8670043945312,520.975
81,4,500.97100830078125,545.0735
82,1,548.1890258789062,538.6315
83,5,525.8699951171875,523.7285
84,8,530.2780151367188,528.818
85,7,515.4135131835938,540.459
86,9,534.1845092773438,542.7005
88,4,539.156005859375,533.5285
89,7,540.864990234375,581.466
90,4,525.3569946289062,538.6315
91,8,526.136474609375,544.383
92,2,523.3565063476562,518.907
94,3,518.7050170898438,522.2315
95,3,535.0675048828125,522.497
96,2,521.1954956054688,514.5475
97,1,515.8209838867188,538.6315
98,9,502.2560119628906,510.4955
99,8,522.406982421875,523.442
100,5,544.20751953125,530.7635
104,4,517.468017578125,519.213
105,8,539.4464721679688,533.996
106,2,516.8385009765625,541.375
107,9,537.5599975585938,518.6665
109,5,536.1729736328125,525.495
110,4,526.2949829101562,504.0875
112,6,521.2525024414062,521.437
113,1,525.3295288085938,538.6315
114,2,548.9635009765625,538.6315
115,2,507.0450134277344,538.6315
116,6,511.625,520.488
117,2,529.0260009765625,545.4445
118,5,510.9375,493.9295
119,7,520.6090087890625,533.8165
120,5,536.8809814453125,517.49
121,2,536.5670166015625,545.047
122,5,532.531005859375,528.8975
123,9,555.50048828125,536.683
124,7,538.1824951171875,534.21
125,5,524.1884765625,527.484
126,2,526.52001953125,522.2315
127,2,535.8214721679688,522.934
128,8,510.7690124511719,512.4405
129,1,517.468505859375,538.6315
130,9,529.3295288085938,511.5675
131,7,498.7875061035156,481.938
132,1,498.90350341796875,538.6315
133,7,536.1514892578125,517.6405
134,4,514.1124877929688,489.4005
135,7,529.0504760742188,531.79
137,2,517.6510009765625,531.7745
138,5,544.375,525.5055
139,6,528.3629760742188,523.5675
140,6,524.260009765625,501.25
141,6,516.927978515625,507.0005
142,2,509.885009765625,526.8745
143,3,499.27398681640625,539.2965
144,6,525.9199829101562,551.8785
146,3,525.0704956054688,519.331
147,9,498.87750244140625,516.4085
148,1,523.8505249023438,524.375
149,4,512.2239990234375,532.057
150,9,515.322998046875,520.4605
151,5,539.2705078125,541.2
152,5,544.4669799804688,527.484
153,7,559.6890258789062,539.165
154,6,528.4819946289062,530.0655
156,4,532.3834838867188,529.6965
157,3,532.3804931640625,538.179
159,9,532.3289794921875,527.0965
160,5,528.490478515625,519.0025
162,6,522.0574951171875,531.171
164,8,522.9295043945312,505.005
165,4,539.8505249023438,536.7335
166,4,501.8284912109375,529.411
167,9,525.5750122070312,516.834
168,5,510.718994140625,515.027
169,8,511.0469970703125,516.501
170,6,532.9609985351562,534.5685
171,1,499.4565124511719,530.218
172,2,533.8560180664062,527.8085
173,4,524.2534790039062,528.2395
174,4,555.9105224609375,523.5345
175,4,528.8494873046875,542.646
176,8,532.3109741210938,531.89
177,1,528.0130004882812,521.107
179,8,518.2634887695312,515.003
180,9,513.2100219726562,516.058
181,1,504.13751220703125,538.6315
182,9,546.0444946289062,538.6315
183,6,524.458984375,549.158
184,9,530.0050048828125,527.7065
185,2,518.5070190429688,513.2285
186,9,546.552490234375,556.245
187,8,503.4339904785156,521.6875
188,8,515.8729858398438,512.2665
189,4,561.6329956054688,531.7745
190,6,519.6129760742188,509.8805
191,4,512.4404907226562,512.8035
192,4,512.2435302734375,515.658
193,1,541.1199951171875,543.6595
194,6,529.33447265625,530.1095
195,1,508.0564880371094,538.6315
196,1,483.99249267578125,521.107
197,1,515.5330200195312,538.6315
198,7,530.7219848632812,523.1005
199,9,552.7454833984375,530.5155
200,4,527.6729736328125,522.736
201,2,513.218994140625,522.934
203,8,545.2684936523438,540.9895
204,9,533.0709838867188,523.9145
205,1,542.8800048828125,522.556
207,7,518.14697265625,516.823
208,8,513.6455078125,520.806
210,8,558.7554931640625,510.777
211,2,534.87451171875,538.6315
212,5,540.4514770507812,552.006
