sample_idx,k,y_dataset_randseed,att_eval_seed
0,9,656.4646606445312,627.456
1,9,576.4513549804688,644.456
2,8,607.5700073242188,644.456
3,4,631.539306640625,644.456
4,6,612.566650390625,644.456
5,3,609.8726806640625,644.456
6,8,651.5859985351562,644.456
7,7,593.1179809570312,644.456
8,6,615.5859985351562,644.456
9,5,613.1519775390625,644.456
10,4,647.52197265625,644.456
11,2,608.5326538085938,644.456
12,7,603.3026733398438,644.456
13,1,595.2000122070312,644.456
14,5,611.0646362304688,644.456
15,4,603.5880126953125,644.456
16,9,627.5159912109375,644.456
17,8,605.5653076171875,597.5513333333333
18,4,596.6853637695312,644.456
19,6,593.0106811523438,644.456
20,5,616.8619995117188,644.456
21,9,589.212646484375,644.456
22,4,622.3866577148438,644.456
23,8,616.2406616210938,606.1446666666667
24,1,601.573974609375,644.456
25,9,578.8306884765625,644.456
26,6,647.8259887695312,2192.349333333333
29,8,626.6160278320312,644.456
30,7,620.1173095703125,599.4026666666666
31,3,616.4806518554688,644.456
32,4,596.7786865234375,644.456
33,4,632.4993286132812,644.456
34,6,638.1133422851562,627.9686666666666
35,8,641.9246826171875,638.2446666666667
36,9,655.0999755859375,644.456
37,8,603.8033447265625,644.456
38,2,632.45263671875,644.456
39,5,615.5960083007812,644.456
40,2,628.6840209960938,644.456
41,7,608.5646362304688,644.456
42,1,655.75732421875,644.456
43,4,594.65869140625,644.456
44,4,637.6366577148438,688.8793333333333
45,4,598.7119750976562,644.456
46,7,575.517333984375,644.456
47,3,593.3733520507812,644.456
48,3,644.6533203125,644.456
50,5,637.4253540039062,644.456
52,2,620.5419921875,644.456
53,3,612.6466674804688,644.456
54,5,631.5553588867188,644.456
56,4,601.3726806640625,644.456
57,4,593.531982421875,644.456
58,9,649.856689453125,649.958
59,2,584.1580200195312,644.456
60,3,620.00732421875,644.456
61,4,625.1673583984375,644.456
62,2,606.6820068359375,644.456
63,4,741.4806518554688,727.614
64,7,649.70263671875,649.0873333333333
65,3,576.8493041992188,644.456
66,7,616.997314453125,614.8673333333334
67,7,665.427978515625,657.4886666666666
68,6,602.8533325195312,644.456
69,4,621.697998046875,628.3486666666666
70,1,625.9666748046875,644.456
71,9,630.6926879882812,644.456
72,1,598.933349609375,644.456
73,2,579.9633178710938,644.456
74,8,605.6353149414062,581.7293333333333
75,9,645.6799926757812,602.0886666666667
76,7,603.3126831054688,635.4606666666666
78,7,626.6753540039062,644.456
79,4,612.7000122070312,644.456
80,5,593.1033325195312,644.456
81,4,635.7440185546875,644.456
82,1,601.04736328125,644.456
83,5,641.7793579101562,644.456
84,8,620.5353393554688,644.456
85,7,629.9266967773438,644.456
86,9,578.0,644.456
88,4,616.7559814453125,644.456
89,7,625.4986572265625,644.456
90,4,603.7233276367188,644.456
91,8,630.0360107421875,670.1993333333334
92,2,596.0560302734375,644.456
94,3,677.6106567382812,644.456
95,3,628.2806396484375,644.456
96,2,600.0613403320312,644.456
97,1,678.3493041992188,644.456
98,9,610.643310546875,644.456
