instance_id,mode,seed,sol_id,att_default,sumo_seed,att
A_k4_1od_x0.8,both,0,S0023,223.43625,201,221.035
A_k4_1od_x0.8,both,0,S0023,223.43625,202,223.70625
A_k4_1od_x0.8,both,0,S0023,223.43625,203,219.25125
A_k4_1od_x0.8,both,0,S0023,223.43625,204,230.9675
A_k4_1od_x0.8,both,0,S0023,223.43625,205,223.18625
A_k4_1od_x0.8,both,1,S0028,220.10375,201,224.62625
A_k4_1od_x0.8,both,1,S0028,220.10375,202,225.36375
A_k4_1od_x0.8,both,1,S0028,220.10375,203,217.26875
A_k4_1od_x0.8,both,1,S0028,220.10375,204,213.2025
A_k4_1od_x0.8,both,1,S0028,220.10375,205,217.68875
A_k4_1od_x0.8,both,2,S0001,220.695,201,230.02125
A_k4_1od_x0.8,both,2,S0001,220.695,202,225.23375
A_k4_1od_x0.8,both,2,S0001,220.695,203,225.2025
A_k4_1od_x0.8,both,2,S0001,220.695,204,225.7575
A_k4_1od_x0.8,both,2,S0001,220.695,205,226.42125
A_k4_1od_x0.8,both,3,S0022,225.78875,201,225.02
A_k4_1od_x0.8,both,3,S0022,225.78875,202,211.15
A_k4_1od_x0.8,both,3,S0022,225.78875,203,227.29375
A_k4_1od_x0.8,both,3,S0022,225.78875,204,218.64875
A_k4_1od_x0.8,both,3,S0022,225.78875,205,222.27625
A_k4_1od_x0.8,both,4,S0013,225.78875,201,225.02
A_k4_1od_x0.8,both,4,S0013,225.78875,202,211.15
A_k4_1od_x0.8,both,4,S0013,225.78875,203,227.29375
A_k4_1od_x0.8,both,4,S0013,225.78875,204,218.64875
A_k4_1od_x0.8,both,4,S0013,225.78875,205,225.215
A_k4_1od_x0.8,both,5,S0017,226.1025,201,222.06875
A_k4_1od_x0.8,both,5,S0017,226.1025,202,236.21375
A_k4_1od_x0.8,both,5,S0017,226.1025,203,234.48375
A_k4_1od_x0.8,both,5,S0017,226.1025,204,226.13625
A_k4_1od_x0.8,both,5,S0017,226.1025,205,231.455
A_k4_1od_x0.8,both,6,S0019,221.7325,201,218.20875
A_k4_1od_x0.8,both,6,S0019,221.7325,202,220.94125
A_k4_1od_x0.8,both,6,S0019,221.7325,203,210.225
A_k4_1od_x0.8,both,6,S0019,221.7325,204,215.08125
A_k4_1od_x0.8,both,6,S0019,221.7325,205,225.83875
A_k4_1od_x0.8,both,7,S0000,228.43125,201,230.05875
A_k4_1od_x0.8,both,7,S0000,228.43125,202,223.5125
A_k4_1od_x0.8,both,7,S0000,228.43125,203,226.1925
A_k4_1od_x0.8,both,7,S0000,228.43125,204,222.485
A_k4_1od_x0.8,both,7,S0000,228.43125,205,235.47625
A_k4_1od_x0.8,both,8,S0006,225.78875,201,225.02
A_k4_1od_x0.8,both,8,S0006,225.78875,202,211.15
A_k4_1od_x0.8,both,8,S0006,225.78875,203,226.6475
A_k4_1od_x0.8,both,8,S0006,225.78875,204,215.865
A_k4_1od_x0.8,both,8,S0006,225.78875,205,222.045
A_k4_1od_x0.8,both,9,S0009,215.53,201,224.05125
A_k4_1od_x0.8,both,9,S0009,215.53,202,222.7575
A_k4_1od_x0.8,both,9,S0009,215.53,203,217.8175
A_k4_1od_x0.8,both,9,S0009,215.53,204,223.55125
A_k4_1od_x0.8,both,9,S0009,215.53,205,214.79625
A_k4_1od_x0.8,init,0,S0007,222.22875,201,219.42125
A_k4_1od_x0.8,init,0,S0007,222.22875,202,221.42125
A_k4_1od_x0.8,init,0,S0007,222.22875,203,232.5225
A_k4_1od_x0.8,init,0,S0007,222.22875,204,223.48125
A_k4_1od_x0.8,init,0,S0007,222.22875,205,237.6375
A_k4_1od_x0.8,init,1,S0019,221.7325,201,218.20875
A_k4_1od_x0.8,init,1,S0019,221.7325,202,220.94125
A_k4_1od_x0.8,init,1,S0019,221.7325,203,210.225
A_k4_1od_x0.8,init,1,S0019,221.7325,204,215.08125
A_k4_1od_x0.8,init,1,S0019,221.7325,205,225.83875
A_k4_1od_x0.8,init,2,S0012,229.2475,201,228.81875
A_k4_1od_x0.8,init,2,S0012,229.2475,202,233.93125
A_k4_1od_x0.8,init,2,S0012,229.2475,203,226.19
A_k4_1od_x0.8,init,2,S0012,229.2475,204,224.43
A_k4_1od_x0.8,init,2,S0012,229.2475,205,227.30625
A_k4_1od_x0.8,init,3,S0010,228.57625,201,234.8325
A_k4_1od_x0.8,init,3,S0010,228.57625,202,225.2425
A_k4_1od_x0.8,init,3,S0010,228.57625,203,241.1
A_k4_1od_x0.8,init,3,S0010,228.57625,204,222.2175
A_k4_1od_x0.8,init,3,S0010,228.57625,205,227.915
A_k4_1od_x0.8,init,4,S0008,229.0075,201,225.11125
A_k4_1od_x0.8,init,4,S0008,229.0075,202,218.10375
A_k4_1od_x0.8,init,4,S0008,229.0075,203,226.3125
A_k4_1od_x0.8,init,4,S0008,229.0075,204,214.4275
A_k4_1od_x0.8,init,4,S0008,229.0075,205,223.8925
