instance_id,mode,seed,att_multi,att_default
A_k4_1od_x0.8,both,0,223.62925,223.43625
A_k4_1od_x0.8,both,1,219.63000000000002,220.10375
A_k4_1od_x0.8,both,2,226.52725,220.695
A_k4_1od_x0.8,both,3,220.87775000000002,225.78875
A_k4_1od_x0.8,both,4,221.46550000000002,225.78875
A_k4_1od_x0.8,both,5,230.07150000000001,226.1025
A_k4_1od_x0.8,both,6,218.05900000000003,221.7325
A_k4_1od_x0.8,both,7,227.545,228.43125
A_k4_1od_x0.8,both,8,220.1455,225.78875
A_k4_1od_x0.8,both,9,220.59475000000003,215.53
A_k4_1od_x0.8,init,0,226.89674999999997,222.22875
A_k4_1od_x0.8,init,1,218.05900000000003,221.7325
A_k4_1od_x0.8,init,2,228.13524999999998,229.2475
A_k4_1od_x0.8,init,3,230.26149999999998,228.57625
A_k4_1od_x0.8,init,4,221.5695,229.0075
A_k4_1od_x0.8,init,5,226.89674999999997,222.22875
A_k4_1od_x0.8,init,6,221.46550000000002,225.78875
A_k4_1od_x0.8,init,7,221.46550000000002,225.78875
A_k4_1od_x0.8,init,8,223.62925,223.43625
A_k4_1od_x0.8,init,9,226.89674999999997,222.22875
A_k4_1od_x0.8,mutation,0,219.63000000000002,220.10375
A_k4_1od_x0.8,mutation,1,220.59475000000003,215.53
A_k4_1od_x0.8,mutation,2,229.71724999999998,227.12875
A_k4_1od_x0.8,mutation,3,224.22475,221.33875
A_k4_1od_x0.8,mutation,4,226.52725,220.695
A_k4_1od_x0.8,mutation,5,217.352,225.94625
A_k4_1od_x0.8,mutation,6,224.2935,224.84625
A_k4_1od_x0.8,mutation,7,226.2715,218.56375
A_k4_1od_x0.8,mutation,8,226.89674999999997,222.22875
A_k4_1od_x0.8,mutation,9,231.3475,223.90875
A_k4_1od_x0.8,none,0,220.59475000000003,215.53
A_k4_1od_x0.8,none,1,218.05900000000003,221.7325
A_k4_1od_x0.8,none,2,226.24825,224.4875
A_k4_1od_x0.8,none,3,234.82049999999998,226.71875
A_k4_1od_x0.8,none,4,231.74625,221.615
A_k4_1od_x0.8,none,5,230.60025000000002,228.145
A_k4_1od_x0.8,none,6,230.33474999999999,228.32625
A_k4_1od_x0.8,none,7,215.25875000000002,221.98625
A_k4_1od_x0.8,none,8,242.86174999999997,229.2975
A_k4_1od_x0.8,none,9,229.6855,227.80625
A_k4_1od_x1.0,both,0,258.96459999999996,258.046
A_k4_1od_x1.0,both,1,279.1542,273.261
A_k4_1od_x1.0,both,2,275.195,266.637
A_k4_1od_x1.0,both,3,284.6896,267.196
A_k4_1od_x1.0,both,4,270.7126,274.341
A_k4_1od_x1.0,both,5,258.96459999999996,258.046
A_k4_1od_x1.0,both,6,290.66400000000004,270.478
A_k4_1od_x1.0,both,7,259.4214,252.58
A_k4_1od_x1.0,both,8,268.1308,261.567
A_k4_1od_x1.0,both,9,262.5478,266.551
A_k4_1od_x1.0,init,0,258.96459999999996,258.046
A_k4_1od_x1.0,init,1,267.8518,270.338
A_k4_1od_x1.0,init,2,271.5754,254.925
A_k4_1od_x1.0,init,3,273.9586,267.601
A_k4_1od_x1.0,init,4,265.774,263.536
A_k4_1od_x1.0,init,5,267.2024,265.638
A_k4_1od_x1.0,init,6,284.9136,273.932
A_k4_1od_x1.0,init,7,268.1308,261.567
A_k4_1od_x1.0,init,8,287.4334,267.997
A_k4_1od_x1.0,init,9,290.4346,274.956
A_k4_1od_x1.0,mutation,0,277.0536,270.506
A_k4_1od_x1.0,mutation,1,274.45079999999996,271.774
A_k4_1od_x1.0,mutation,2,271.576,269.221
A_k4_1od_x1.0,mutation,3,262.5478,266.551
A_k4_1od_x1.0,mutation,4,285.289,273.185
A_k4_1od_x1.0,mutation,5,276.87600000000003,264.904
A_k4_1od_x1.0,mutation,6,269.9452,261.808
A_k4_1od_x1.0,mutation,7,284.6896,267.196
A_k4_1od_x1.0,mutation,8,284.2526,273.328
A_k4_1od_x1.0,mutation,9,276.87600000000003,264.904
A_k4_1od_x1.0,none,0,280.5374,272.822
A_k4_1od_x1.0,none,1,271.956,267.71
A_k4_1od_x1.0,none,2,272.697,268.593
A_k4_1od_x1.0,none,3,262.5478,266.551
A_k4_1od_x1.0,none,4,276.6844,271.075
A_k4_1od_x1.0,none,5,271.956,267.71
A_k4_1od_x1.0,none,6,284.6488,268.257
A_k4_1od_x1.0,none,7,273.8056,272.302
A_k4_1od_x1.0,none,8,267.918,263.125
A_k4_1od_x1.0,none,9,284.0252,270.247
A_k4_1od_x1.2,both,0,264.6644,265.957
A_k4_1od_x1.2,both,1,273.49940000000004,264.299
A_k4_1od_x1.2,both,2,264.2616,269.839
A_k4_1od_x1.2,both,3,273.995,270.19
A_k4_1od_x1.2,both,4,271.576,269.221
A_k4_1od_x1.2,both,5,284.0252,270.247
A_k4_1od_x1.2,both,6,272.904,256.605
A_k4_1od_x1.2,both,7,277.3518,267.196
A_k4_1od_x1.2,both,8,278.5714,271.737
A_k4_1od_x1.2,both,9,280.0072,274.851
A_k4_1od_x1.2,init,0,264.6644,265.957
A_k4_1od_x1.2,init,1,292.5916,280.974
A_k4_1od_x1.2,init,2,275.1114,275.154
A_k4_1od_x1.2,init,3,285.3872,275.613
A_k4_1od_x1.2,init,4,270.175,271.213
A_k4_1od_x1.2,init,5,270.4692,273.253
A_k4_1od_x1.2,init,6,284.6896,267.196
A_k4_1od_x1.2,init,7,279.287,275.692
A_k4_1od_x1.2,init,8,275.87780000000004,271.058
A_k4_1od_x1.2,init,9,272.45320000000004,271.999
A_k4_1od_x1.2,mutation,0,274.40240000000006,268.8
A_k4_1od_x1.2,mutation,1,282.416,275.645
A_k4_1od_x1.2,mutation,2,284.6896,267.196
