instance_id,mode,seed,sol_id,att_default,sumo_seed,att
A_k4_3od_x0.8,both,0,S0014,183.64,201,195.31375
A_k4_3od_x0.8,both,0,S0014,183.64,202,190.45125
A_k4_3od_x0.8,both,0,S0014,183.64,203,197.89875
A_k4_3od_x0.8,both,0,S0014,183.64,204,195.11625
A_k4_3od_x0.8,both,0,S0014,183.64,205,192.015
A_k4_3od_x0.8,both,1,S0003,181.055,201,188.25
A_k4_3od_x0.8,both,1,S0003,181.055,202,192.7275
A_k4_3od_x0.8,both,1,S0003,181.055,203,188.595
A_k4_3od_x0.8,both,1,S0003,181.055,204,182.21625
A_k4_3od_x0.8,both,1,S0003,181.055,205,193.7925
A_k4_3od_x0.8,both,2,S0020,184.725,201,193.43125
A_k4_3od_x0.8,both,2,S0020,184.725,202,197.07625
A_k4_3od_x0.8,both,2,S0020,184.725,203,194.02375
A_k4_3od_x0.8,both,2,S0020,184.725,204,195.115
A_k4_3od_x0.8,both,2,S0020,184.725,205,203.54875
A_k4_3od_x0.8,both,3,S0003,181.055,201,188.25
A_k4_3od_x0.8,both,3,S0003,181.055,202,192.7275
A_k4_3od_x0.8,both,3,S0003,181.055,203,188.595
A_k4_3od_x0.8,both,3,S0003,181.055,204,182.21625
A_k4_3od_x0.8,both,3,S0003,181.055,205,193.7925
A_k4_3od_x0.8,both,4,S0020,184.725,201,193.43125
A_k4_3od_x0.8,both,4,S0020,184.725,202,197.07625
A_k4_3od_x0.8,both,4,S0020,184.725,203,194.02375
A_k4_3od_x0.8,both,4,S0020,184.725,204,195.115
A_k4_3od_x0.8,both,4,S0020,184.725,205,203.54875
A_k4_3od_x0.8,both,5,S0003,181.055,201,188.25
A_k4_3od_x0.8,both,5,S0003,181.055,202,192.7275
A_k4_3od_x0.8,both,5,S0003,181.055,203,188.595
A_k4_3od_x0.8,both,5,S0003,181.055,204,182.21625
A_k4_3od_x0.8,both,5,S0003,181.055,205,193.7925
A_k4_3od_x0.8,both,6,S0018,184.34625,201,190.625
A_k4_3od_x0.8,both,6,S0018,184.34625,202,196.98875
A_k4_3od_x0.8,both,6,S0018,184.34625,203,198.29875
A_k4_3od_x0.8,both,6,S0018,184.34625,204,189.42875
A_k4_3od_x0.8,both,6,S0018,184.34625,205,196.7275
A_k4_3od_x0.8,both,7,S0014,183.64,201,195.31375
A_k4_3od_x0.8,both,7,S0014,183.64,202,190.45125
A_k4_3od_x0.8,both,7,S0014,183.64,203,197.89875
A_k4_3od_x0.8,both,7,S0014,183.64,204,195.11625
A_k4_3od_x0.8,both,7,S0014,183.64,205,192.015
A_k4_3od_x0.8,both,8,S0002,191.55,201,200.74625
A_k4_3od_x0.8,both,8,S0002,191.55,202,201.52625
A_k4_3od_x0.8,both,8,S0002,191.55,203,193.57875
A_k4_3od_x0.8,both,8,S0002,191.55,204,197.58625
A_k4_3od_x0.8,both,8,S0002,191.55,205,197.72875
A_k4_3od_x0.8,both,9,S0017,182.035,201,190.5525
A_k4_3od_x0.8,both,9,S0017,182.035,202,187.905
A_k4_3od_x0.8,both,9,S0017,182.035,203,197.07375
A_k4_3od_x0.8,both,9,S0017,182.035,204,208.29
A_k4_3od_x0.8,both,9,S0017,182.035,205,185.38625
A_k4_3od_x0.8,init,0,S0021,185.5775,201,198.52125
A_k4_3od_x0.8,init,0,S0021,185.5775,202,199.4425
A_k4_3od_x0.8,init,0,S0021,185.5775,203,202.06125
A_k4_3od_x0.8,init,0,S0021,185.5775,204,196.1375
A_k4_3od_x0.8,init,0,S0021,185.5775,205,196.3975
A_k4_3od_x0.8,init,1,S0001,187.2875,201,198.42125
A_k4_3od_x0.8,init,1,S0001,187.2875,202,195.94875
A_k4_3od_x0.8,init,1,S0001,187.2875,203,194.89
A_k4_3od_x0.8,init,1,S0001,187.2875,204,194.45
A_k4_3od_x0.8,init,1,S0001,187.2875,205,203.00125
A_k4_3od_x0.8,init,2,S0006,189.48,201,192.72
A_k4_3od_x0.8,init,2,S0006,189.48,202,189.0175
A_k4_3od_x0.8,init,2,S0006,189.48,203,187.34375
A_k4_3od_x0.8,init,2,S0006,189.48,204,192.0
A_k4_3od_x0.8,init,2,S0006,189.48,205,186.34375
