arm,run_seed,att_multi,att_default,n
both,0,269.1025,248.008,10
both,1,238.5072,227.561,10
both,2,251.13060000000002,239.472,10
both,3,235.5623,231.377,10
both,4,256.8614,238.339,10
both,5,240.5314,239.656,10
both,6,256.2563,239.1,10
both,7,241.8526,224.053,10
both,8,235.5623,231.377,10
both,9,240.84720000000002,229.686,10
heuristic,0,223.8517,223.893,10
heuristic,1,223.8517,223.893,10
heuristic,2,256.37919999999997,235.676,10
heuristic,3,241.8526,224.053,10
heuristic,4,223.8517,223.893,10
heuristic,5,235.2424,229.631,10
heuristic,6,238.5072,227.561,10
heuristic,7,235.2424,229.631,10
heuristic,8,235.2424,229.631,10
heuristic,9,245.9877,234.275,10
init,0,265.9376,244.86,10
init,1,246.99919999999997,239.198,10
init,2,243.8487,237.496,10
init,3,250.3466,244.011,10
init,4,238.5072,227.561,10
init,5,265.60679999999996,237.279,10
init,6,239.11039999999997,231.076,10
init,7,256.0581,238.338,10
init,8,249.9867,240.346,10
init,9,265.533,244.86,10
mutation,0,241.48850000000002,233.371,10
mutation,1,239.70839999999998,230.928,10
mutation,2,241.8526,224.053,10
mutation,3,241.8526,224.053,10
mutation,4,223.8517,223.893,10
mutation,5,240.84720000000002,229.686,10
mutation,6,242.75590000000003,229.978,10
mutation,7,253.9994,241.902,10
mutation,8,260.8877,238.67,10
mutation,9,238.5072,227.561,10
no_closure,0,304.6916,,10
none,0,241.48850000000002,233.371,10
none,1,246.99919999999997,239.198,10
none,2,260.1907,235.623,10
none,3,271.5906,243.491,10
none,4,245.9877,234.275,10
none,5,241.48850000000002,233.371,10
none,6,249.39119999999997,236.189,10
none,7,267.6612,243.118,10
none,8,239.11039999999997,231.076,10
none,9,239.70839999999998,230.928,10
sa,0,242.75590000000003,229.978,10
sa,1,242.75590000000003,229.978,10
sa,2,223.8517,223.893,10
sa,3,223.8517,223.893,10
sa,4,223.8517,223.893,10
sa,5,251.08409999999998,231.718,10
sa,6,223.8517,223.893,10
sa,7,223.8517,223.893,10
sa,8,241.8526,224.053,10
sa,9,223.8517,223.893,10
surrogate_repaired,0,223.8517,223.893,10
surrogate_repaired,1,241.8526,224.053,10
surrogate_repaired,2,223.8517,223.893,10
surrogate_repaired,3,235.2424,229.631,10
surrogate_repaired,4,223.8517,223.893,10
surrogate_repaired,5,238.5072,227.561,10
surrogate_repaired,6,241.8526,224.053,10
surrogate_repaired,7,235.2424,229.631,10
surrogate_repaired,8,241.8526,224.053,10
surrogate_repaired,9,223.8517,223.893,10
surrogate_submitted,0,264.1489,242.925,10
surrogate_submitted,1,252.02429999999998,252.03,10
surrogate_submitted,2,239.5674,239.403,10
surrogate_submitted,3,224.7011,237.221,10
surrogate_submitted,4,239.5674,239.403,10
surrogate_submitted,5,239.5674,239.403,10
surrogate_submitted,6,252.4194,242.958,10
surrogate_submitted,7,239.5674,239.403,10
surrogate_submitted,8,246.26260000000002,236.759,10
surrogate_submitted,9,239.5674,239.403,10
