instance,arm,run_seed,sol_id,att_default,sumo_seed,att
A_k4_3od_x1.0,both,0,S000,248.008,101,247.551
A_k4_3od_x1.0,both,0,S000,248.008,102,276.796
A_k4_3od_x1.0,both,0,S000,248.008,103,270.877
A_k4_3od_x1.0,both,0,S000,248.008,104,277.731
A_k4_3od_x1.0,both,0,S000,248.008,105,274.231
A_k4_3od_x1.0,both,0,S000,248.008,106,279.388
A_k4_3od_x1.0,both,0,S000,248.008,107,254.277
A_k4_3od_x1.0,both,0,S000,248.008,108,271.536
A_k4_3od_x1.0,both,0,S000,248.008,109,270.261
A_k4_3od_x1.0,both,0,S000,248.008,110,268.377
A_k4_3od_x1.0,both,1,S001,227.561,101,239.019
A_k4_3od_x1.0,both,1,S001,227.561,102,244.671
A_k4_3od_x1.0,both,1,S001,227.561,103,227.353
A_k4_3od_x1.0,both,1,S001,227.561,104,240.268
A_k4_3od_x1.0,both,1,S001,227.561,105,238.505
A_k4_3od_x1.0,both,1,S001,227.561,106,230.235
A_k4_3od_x1.0,both,1,S001,227.561,107,233.917
A_k4_3od_x1.0,both,1,S001,227.561,108,248.09
A_k4_3od_x1.0,both,1,S001,227.561,109,257.471
A_k4_3od_x1.0,both,1,S001,227.561,110,225.543
A_k4_3od_x1.0,both,2,S002,239.472,101,263.019
A_k4_3od_x1.0,both,2,S002,239.472,102,246.067
A_k4_3od_x1.0,both,2,S002,239.472,103,248.463
A_k4_3od_x1.0,both,2,S002,239.472,104,254.621
A_k4_3od_x1.0,both,2,S002,239.472,105,256.626
A_k4_3od_x1.0,both,2,S002,239.472,106,253.292
A_k4_3od_x1.0,both,2,S002,239.472,107,254.742
A_k4_3od_x1.0,both,2,S002,239.472,108,247.185
A_k4_3od_x1.0,both,2,S002,239.472,109,253.669
A_k4_3od_x1.0,both,2,S002,239.472,110,233.622
A_k4_3od_x1.0,both,3,S003,231.377,101,223.859
A_k4_3od_x1.0,both,3,S003,231.377,102,250.816
A_k4_3od_x1.0,both,3,S003,231.377,103,242.187
A_k4_3od_x1.0,both,3,S003,231.377,104,232.998
A_k4_3od_x1.0,both,3,S003,231.377,105,243.129
A_k4_3od_x1.0,both,3,S003,231.377,106,227.923
A_k4_3od_x1.0,both,3,S003,231.377,107,226.918
A_k4_3od_x1.0,both,3,S003,231.377,108,240.648
A_k4_3od_x1.0,both,3,S003,231.377,109,240.536
A_k4_3od_x1.0,both,3,S003,231.377,110,226.609
A_k4_3od_x1.0,both,4,S004,238.339,101,248.793
A_k4_3od_x1.0,both,4,S004,238.339,102,257.907
A_k4_3od_x1.0,both,4,S004,238.339,103,251.165
A_k4_3od_x1.0,both,4,S004,238.339,104,265.683
A_k4_3od_x1.0,both,4,S004,238.339,105,257.835
A_k4_3od_x1.0,both,4,S004,238.339,106,253.078
A_k4_3od_x1.0,both,4,S004,238.339,107,258.129
A_k4_3od_x1.0,both,4,S004,238.339,108,248.265
A_k4_3od_x1.0,both,4,S004,238.339,109,246.212
A_k4_3od_x1.0,both,4,S004,238.339,110,281.547
A_k4_3od_x1.0,both,5,S005,239.656,101,235.152
A_k4_3od_x1.0,both,5,S005,239.656,102,247.161
A_k4_3od_x1.0,both,5,S005,239.656,103,229.799
A_k4_3od_x1.0,both,5,S005,239.656,104,242.547
A_k4_3od_x1.0,both,5,S005,239.656,105,253.254
A_k4_3od_x1.0,both,5,S005,239.656,106,250.456
A_k4_3od_x1.0,both,5,S005,239.656,107,238.347
A_k4_3od_x1.0,both,5,S005,239.656,108,227.688
A_k4_3od_x1.0,both,5,S005,239.656,109,236.386
A_k4_3od_x1.0,both,5,S005,239.656,110,244.524
A_k4_3od_x1.0,both,6,S006,239.1,101,264.592
A_k4_3od_x1.0,both,6,S006,239.1,102,257.493
A_k4_3od_x1.0,both,6,S006,239.1,103,252.402
A_k4_3od_x1.0,both,6,S006,239.1,104,255.255
A_k4_3od_x1.0,both,6,S006,239.1,105,248.142
A_k4_3od_x1.0,both,6,S006,239.1,106,254.909
A_k4_3od_x1.0,both,6,S006,239.1,107,250.008
A_k4_3od_x1.0,both,6,S006,239.1,108,261.804
A_k4_3od_x1.0,both,6,S006,239.1,109,255.604
A_k4_3od_x1.0,both,6,S006,239.1,110,262.354
A_k4_3od_x1.0,both,7,S007,224.053,101,233.982
A_k4_3od_x1.0,both,7,S007,224.053,102,234.187
A_k4_3od_x1.0,both,7,S007,224.053,103,245.792
A_k4_3od_x1.0,both,7,S007,224.053,104,242.711
A_k4_3od_x1.0,both,7,S007,224.053,105,247.93
A_k4_3od_x1.0,both,7,S007,224.053,106,246.694
A_k4_3od_x1.0,both,7,S007,224.053,107,240.614
A_k4_3od_x1.0,both,7,S007,224.053,108,248.221
A_k4_3od_x1.0,both,7,S007,224.053,109,247.034
A_k4_3od_x1.0,both,7,S007,224.053,110,231.361
A_k4_3od_x1.0,both,8,S003,231.377,101,223.859
A_k4_3od_x1.0,both,8,S003,231.377,102,250.816
A_k4_3od_x1.0,both,8,S003,231.377,103,242.187
A_k4_3od_x1.0,both,8,S003,231.377,104,232.998
A_k4_3od_x1.0,both,8,S003,231.377,105,243.129
A_k4_3od_x1.0,both,8,S003,231.377,106,227.923
A_k4_3od_x1.0,both,8,S003,231.377,107,226.918
A_k4_3od_x1.0,both,8,S003,231.377,108,240.648
A_k4_3od_x1.0,both,8,S003,231.377,109,240.536
A_k4_3od_x1.0,both,8,S003,231.377,110,226.609
A_k4_3od_x1.0,both,9,S008,229.686,101,225.118
A_k4_3od_x1.0,both,9,S008,229.686,102,243.118
A_k4_3od_x1.0,both,9,S008,229.686,103,232.973
A_k4_3od_x1.0,both,9,S008,229.686,104,244.588
A_k4_3od_x1.0,both,9,S008,229.686,105,249.113
A_k4_3od_x1.0,both,9,S008,229.686,106,237.565
A_k4_3od_x1.0,both,9,S008,229.686,107,238.763
A_k4_3od_x1.0,both,9,S008,229.686,108,241.923
A_k4_3od_x1.0,both,9,S008,229.686,109,244.613
A_k4_3od_x1.0,both,9,S008,229.686,110,250.698
A_k4_3od_x1.0,init,0,S009,244.86,101,264.2
A_k4_3od_x1.0,init,0,S009,244.86,102,269.215
A_k4_3od_x1.0,init,0,S009,244.86,103,273.943
A_k4_3od_x1.0,init,0,S009,244.86,104,261.653
A_k4_3od_x1.0,init,0,S009,244.86,105,278.84
A_k4_3od_x1.0,init,0,S009,244.86,106,275.036
A_k4_3od_x1.0,init,0,S009,244.86,107,260.423
A_k4_3od_x1.0,init,0,S009,244.86,108,261.894
A_k4_3od_x1.0,init,0,S009,244.86,109,258.817
A_k4_3od_x1.0,init,0,S009,244.86,110,255.355
A_k4_3od_x1.0,init,1,S010,239.198,101,237.575
A_k4_3od_x1.0,init,1,S010,239.198,102,259.46
A_k4_3od_x1.0,init,1,S010,239.198,103,247.47
A_k4_3od_x1.0,init,1,S010,239.198,104,238.379
A_k4_3od_x1.0,init,1,S010,239.198,105,246.945
A_k4_3od_x1.0,init,1,S010,239.198,106,252.535
A_k4_3od_x1.0,init,1,S010,239.198,107,247.67
A_k4_3od_x1.0,init,1,S010,239.198,108,244.344
A_k4_3od_x1.0,init,1,S010,239.198,109,242.055
A_k4_3od_x1.0,init,1,S010,239.198,110,253.559
A_k4_3od_x1.0,init,2,S011,237.496,101,259.485
A_k4_3od_x1.0,init,2,S011,237.496,102,230.492
A_k4_3od_x1.0,init,2,S011,237.496,103,248.054
A_k4_3od_x1.0,init,2,S011,237.496,104,245.452
A_k4_3od_x1.0,init,2,S011,237.496,105,249.549
A_k4_3od_x1.0,init,2,S011,237.496,106,236.816
A_k4_3od_x1.0,init,2,S011,237.496,107,239.87
A_k4_3od_x1.0,init,2,S011,237.496,108,251.282
A_k4_3od_x1.0,init,2,S011,237.496,109,239.272
A_k4_3od_x1.0,init,2,S011,237.496,110,238.215
A_k4_3od_x1.0,init,3,S012,244.011,101,250.575
A_k4_3od_x1.0,init,3,S012,244.011,102,243.001
A_k4_3od_x1.0,init,3,S012,244.011,103,254.754
A_k4_3od_x1.0,init,3,S012,244.011,104,263.205
A_k4_3od_x1.0,init,3,S012,244.011,105,253.268
A_k4_3od_x1.0,init,3,S012,244.011,106,247.509
A_k4_3od_x1.0,init,3,S012,244.011,107,245.193
A_k4_3od_x1.0,init,3,S012,244.011,108,259.299
A_k4_3od_x1.0,init,3,S012,244.011,109,245.015
A_k4_3od_x1.0,init,3,S012,244.011,110,241.647
A_k4_3od_x1.0,init,4,S001,227.561,101,239.019
A_k4_3od_x1.0,init,4,S001,227.561,102,244.671
A_k4_3od_x1.0,init,4,S001,227.561,103,227.353
A_k4_3od_x1.0,init,4,S001,227.561,104,240.268
A_k4_3od_x1.0,init,4,S001,227.561,105,238.505
A_k4_3od_x1.0,init,4,S001,227.561,106,230.235
A_k4_3od_x1.0,init,4,S001,227.561,107,233.917
A_k4_3od_x1.0,init,4,S001,227.561,108,248.09
A_k4_3od_x1.0,init,4,S001,227.561,109,257.471
A_k4_3od_x1.0,init,4,S001,227.561,110,225.543
A_k4_3od_x1.0,init,5,S013,237.279,101,272.098
A_k4_3od_x1.0,init,5,S013,237.279,102,262.72
A_k4_3od_x1.0,init,5,S013,237.279,103,273.366
A_k4_3od_x1.0,init,5,S013,237.279,104,255.577
A_k4_3od_x1.0,init,5,S013,237.279,105,272.681
A_k4_3od_x1.0,init,5,S013,237.279,106,267.03
A_k4_3od_x1.0,init,5,S013,237.279,107,255.552
