arm,run_seed,att_multi,att_default,n
both,0,511.45334999999994,471.5665,10
both,1,502.10415,471.1915,10
both,2,487.8402,461.859,10
both,3,493.58590000000004,470.233,10
both,4,496.32965,470.7345,10
both,5,520.6173,478.274,10
both,6,491.8973,471.143,10
both,7,506.6277,485.0875,10
both,8,501.56589999999994,476.677,10
both,9,502.29395000000005,473.0795,10
heuristic,0,517.1051,479.655,10
heuristic,1,520.478,488.4535,10
heuristic,2,524.8466000000001,487.4305,10
heuristic,3,518.1632999999999,490.9035,10
heuristic,4,507.7081,479.655,10
heuristic,5,518.1457,482.4865,10
heuristic,6,529.6585,478.313,10
heuristic,7,514.27865,487.9965,10
heuristic,8,520.8716000000001,482.783,10
heuristic,9,518.0533499999999,485.5385,10
init,0,512.8354,475.2,10
init,1,510.2586,479.4145,10
init,2,516.4879,462.6865,10
init,3,501.20820000000003,480.004,10
init,4,505.8746,486.493,10
init,5,495.02815,470.0475,10
init,6,505.16925000000003,475.361,10
init,7,511.26239999999996,477.4215,10
init,8,513.30385,474.797,10
init,9,522.2828999999999,481.447,10
mutation,0,508.45025000000004,470.0685,10
mutation,1,500.19845000000004,480.5015,10
mutation,2,506.2209,473.8005,10
mutation,3,513.668,478.6265,10
mutation,4,505.94849999999997,470.5195,10
mutation,5,494.5022,476.1895,10
mutation,6,501.48675000000003,468.967,10
mutation,7,495.9298,480.3775,10
mutation,8,500.39439999999996,479.5045,10
mutation,9,499.38829999999996,476.935,10
no_closure,0,522.8489999999999,,10
none,0,510.75290000000007,479.6265,10
none,1,531.8068000000001,485.762,10
none,2,498.48885,473.191,10
none,3,517.00625,486.0495,10
none,4,516.72405,478.671,10
none,5,512.4019999999999,479.993,10
none,6,512.6216000000001,477.06,10
none,7,512.7309,478.887,10
none,8,505.19865,484.849,10
none,9,510.06675000000007,483.569,10
sa,0,506.2326,472.803,10
sa,1,495.61904999999996,464.76,10
sa,2,522.5944,473.359,10
sa,3,504.87585,479.8495,10
sa,4,524.4682,490.292,10
sa,5,516.72205,482.3115,10
sa,6,499.99354999999997,478.1415,10
sa,7,519.22315,487.2085,10
sa,8,525.21325,479.7095,10
sa,9,503.70545000000004,479.1745,10
surrogate_repaired,0,494.62015,476.1895,10
surrogate_repaired,1,492.34184999999997,482.4245,10
surrogate_repaired,2,498.70925,481.6885,10
surrogate_repaired,3,504.49750000000006,487.196,10
surrogate_repaired,4,495.08680000000004,475.91,10
surrogate_repaired,5,502.29955,470.8845,10
surrogate_repaired,6,493.93145000000004,464.226,10
surrogate_repaired,7,491.99269999999996,478.819,10
surrogate_repaired,8,490.84685,481.9285,10
surrogate_repaired,9,504.91175000000004,479.802,10
surrogate_submitted,0,510.8402,506.0535,10
surrogate_submitted,1,530.6472,504.229,10
surrogate_submitted,2,506.1764,490.6745,10
surrogate_submitted,3,513.69595,512.2135,10
surrogate_submitted,4,522.5255500000001,497.2735,10
surrogate_submitted,5,522.437,503.5805,10
surrogate_submitted,6,522.2869,509.072,10
surrogate_submitted,7,514.7288000000001,500.2425,10
surrogate_submitted,8,507.72889999999995,493.384,10
surrogate_submitted,9,535.0883,506.1525,10
