instance,arm,run_seed,sol_id,att_default,sumo_seed,att
B_k9_3od_x1.0,both,0,S000,471.5665,101,490.855
B_k9_3od_x1.0,both,0,S000,471.5665,102,506.2945
B_k9_3od_x1.0,both,0,S000,471.5665,103,515.4895
B_k9_3od_x1.0,both,0,S000,471.5665,104,510.4915
B_k9_3od_x1.0,both,0,S000,471.5665,105,513.5195
B_k9_3od_x1.0,both,0,S000,471.5665,106,485.7595
B_k9_3od_x1.0,both,0,S000,471.5665,107,500.761
B_k9_3od_x1.0,both,0,S000,471.5665,108,513.4615
B_k9_3od_x1.0,both,0,S000,471.5665,109,539.573
B_k9_3od_x1.0,both,0,S000,471.5665,110,538.3285
B_k9_3od_x1.0,both,1,S001,471.1915,101,514.925
B_k9_3od_x1.0,both,1,S001,471.1915,102,494.96
B_k9_3od_x1.0,both,1,S001,471.1915,103,475.3395
B_k9_3od_x1.0,both,1,S001,471.1915,104,515.7205
B_k9_3od_x1.0,both,1,S001,471.1915,105,504.4295
B_k9_3od_x1.0,both,1,S001,471.1915,106,497.5435
B_k9_3od_x1.0,both,1,S001,471.1915,107,511.1375
B_k9_3od_x1.0,both,1,S001,471.1915,108,513.372
B_k9_3od_x1.0,both,1,S001,471.1915,109,500.2795
B_k9_3od_x1.0,both,1,S001,471.1915,110,493.3345
B_k9_3od_x1.0,both,2,S002,461.859,101,502.8635
B_k9_3od_x1.0,both,2,S002,461.859,102,466.79
B_k9_3od_x1.0,both,2,S002,461.859,103,484.9705
B_k9_3od_x1.0,both,2,S002,461.859,104,470.531
B_k9_3od_x1.0,both,2,S002,461.859,105,486.1895
B_k9_3od_x1.0,both,2,S002,461.859,106,501.283
B_k9_3od_x1.0,both,2,S002,461.859,107,504.6585
B_k9_3od_x1.0,both,2,S002,461.859,108,516.9645
B_k9_3od_x1.0,both,2,S002,461.859,109,471.3625
B_k9_3od_x1.0,both,2,S002,461.859,110,472.789
B_k9_3od_x1.0,both,3,S003,470.233,101,505.2465
B_k9_3od_x1.0,both,3,S003,470.233,102,495.7305
B_k9_3od_x1.0,both,3,S003,470.233,103,501.839
B_k9_3od_x1.0,both,3,S003,470.233,104,467.1565
B_k9_3od_x1.0,both,3,S003,470.233,105,501.3685
B_k9_3od_x1.0,both,3,S003,470.233,106,501.914
B_k9_3od_x1.0,both,3,S003,470.233,107,499.716
B_k9_3od_x1.0,both,3,S003,470.233,108,495.8285
B_k9_3od_x1.0,both,3,S003,470.233,109,482.878
B_k9_3od_x1.0,both,3,S003,470.233,110,484.1815
B_k9_3od_x1.0,both,4,S004,470.7345,101,497.395
B_k9_3od_x1.0,both,4,S004,470.7345,102,505.248
B_k9_3od_x1.0,both,4,S004,470.7345,103,485.2975
B_k9_3od_x1.0,both,4,S004,470.7345,104,489.6925
B_k9_3od_x1.0,both,4,S004,470.7345,105,489.108
B_k9_3od_x1.0,both,4,S004,470.7345,106,486.037
B_k9_3od_x1.0,both,4,S004,470.7345,107,529.184
B_k9_3od_x1.0,both,4,S004,470.7345,108,487.199
B_k9_3od_x1.0,both,4,S004,470.7345,109,490.7695
B_k9_3od_x1.0,both,4,S004,470.7345,110,503.366
B_k9_3od_x1.0,both,5,S005,478.274,101,528.047
B_k9_3od_x1.0,both,5,S005,478.274,102,522.4525
B_k9_3od_x1.0,both,5,S005,478.274,103,523.904
B_k9_3od_x1.0,both,5,S005,478.274,104,537.479
B_k9_3od_x1.0,both,5,S005,478.274,105,506.239
B_k9_3od_x1.0,both,5,S005,478.274,106,514.389
