arm,run_seed,att_multi,att_default,n
both,0,355.07986666666665,373.832,10
both,1,355.07986666666665,373.832,10
both,2,378.38366666666667,366.2073333333333,10
both,3,341.03906666666666,338.6173333333333,10
both,4,329.02066666666667,324.6326666666667,10
both,5,361.1722,362.95866666666666,10
both,6,355.07986666666665,373.832,10
both,7,355.07986666666665,373.832,10
both,8,368.88606666666664,359.05733333333336,10
both,9,378.38366666666667,366.2073333333333,10
heuristic,0,376.62160000000006,357.825333,10
heuristic,1,361.3355333333333,355.43,10
heuristic,2,370.44753333333335,356.536667,10
heuristic,3,371.70366666666666,354.137333,10
heuristic,4,383.18673333333334,357.474667,10
heuristic,5,376.3517333333333,356.898667,10
heuristic,6,367.2310666666666,348.275333,10
heuristic,7,357.9202,352.995333,10
heuristic,8,358.79380000000003,357.502,10
heuristic,9,366.0792,358.099333,10
init,0,361.17193333333336,362.95866666666666,10
init,1,364.90160000000003,354.518,10
init,2,355.07986666666665,373.832,10
init,3,355.07986666666665,373.832,10
init,4,367.63353333333333,368.0386666666666,10
init,5,343.02779999999996,339.0613333333333,10
init,6,329.02066666666667,324.6326666666667,10
init,7,345.7060666666667,342.53333333333336,10
init,8,355.39953333333335,382.194,10
init,9,345.7060666666667,342.53333333333336,10
mutation,0,445.05486666666667,374.48,10
mutation,1,445.05486666666667,374.48,10
mutation,2,385.6362,372.484,10
mutation,3,356.6638,361.248,10
mutation,4,355.07986666666665,373.832,10
mutation,5,355.07986666666665,373.832,10
mutation,6,355.07986666666665,373.832,10
mutation,7,449.5811333333333,380.0353333333333,10
mutation,8,355.07986666666665,373.832,10
mutation,9,368.88606666666664,359.05733333333336,10
no_closure,0,606.9055333333333,,10
none,0,353.99446666666665,373.832,10
none,1,341.03906666666666,338.6173333333333,10
none,2,355.07986666666665,373.832,10
none,3,449.5811333333333,380.0353333333333,10
none,4,364.625,363.39,10
none,5,355.07986666666665,373.832,10
none,6,376.3517333333333,356.89866666666666,10
none,7,349.6723333333333,347.8346666666667,8
none,8,361.1722,362.95866666666666,10
none,9,367.9772,364.726,10
sa,0,531.4096666666667,491.244,10
sa,1,433.0894666666667,400.082667,10
sa,2,449.5811333333333,380.035333,10
sa,3,340.5081333333334,338.067333,10
sa,4,450.6191333333333,411.337333,10
sa,5,374.348,372.522667,10
sa,6,602.8456,536.726667,10
sa,7,615.3252,613.496667,10
sa,8,638.9423333333333,586.503333,10
sa,9,416.03180000000003,370.126667,10
surrogate_submitted,0,611.5140666666666,605.251333,10
surrogate_submitted,1,607.1923333333333,626.228667,10
surrogate_submitted,2,621.9287333333334,643.504,10
surrogate_submitted,3,607.1923333333333,626.228667,10
surrogate_submitted,4,529.1349333333334,531.929333,10
surrogate_submitted,5,611.5140666666666,605.251333,10
surrogate_submitted,6,623.145,607.762,10
surrogate_submitted,7,368.9674,359.099333,10
surrogate_submitted,8,624.1332,636.414,10
surrogate_submitted,9,640.7396666666666,604.136667,10
