instance,arm,run_seed,sol_id,att_default,sumo_seed,att
J_k9_6od_x1.0,both,0,S000,373.832,101,346.114
J_k9_6od_x1.0,both,0,S000,373.832,102,352.9193333333333
J_k9_6od_x1.0,both,0,S000,373.832,103,342.314
J_k9_6od_x1.0,both,0,S000,373.832,104,349.428
J_k9_6od_x1.0,both,0,S000,373.832,105,366.3786666666667
J_k9_6od_x1.0,both,0,S000,373.832,106,351.08866666666665
J_k9_6od_x1.0,both,0,S000,373.832,107,352.1673333333333
J_k9_6od_x1.0,both,0,S000,373.832,108,346.8793333333333
J_k9_6od_x1.0,both,0,S000,373.832,109,349.35133333333334
J_k9_6od_x1.0,both,0,S000,373.832,110,394.158
J_k9_6od_x1.0,both,1,S001,373.832,101,346.114
J_k9_6od_x1.0,both,1,S001,373.832,102,352.9193333333333
J_k9_6od_x1.0,both,1,S001,373.832,103,342.314
J_k9_6od_x1.0,both,1,S001,373.832,104,349.428
J_k9_6od_x1.0,both,1,S001,373.832,105,366.3786666666667
J_k9_6od_x1.0,both,1,S001,373.832,106,351.08866666666665
J_k9_6od_x1.0,both,1,S001,373.832,107,352.1673333333333
J_k9_6od_x1.0,both,1,S001,373.832,108,346.8793333333333
J_k9_6od_x1.0,both,1,S001,373.832,109,349.35133333333334
J_k9_6od_x1.0,both,1,S001,373.832,110,394.158
J_k9_6od_x1.0,both,2,S002,366.2073333333333,101,379.8446666666667
J_k9_6od_x1.0,both,2,S002,366.2073333333333,102,379.71066666666667
J_k9_6od_x1.0,both,2,S002,366.2073333333333,103,367.6886666666667
J_k9_6od_x1.0,both,2,S002,366.2073333333333,104,381.2866666666667
J_k9_6od_x1.0,both,2,S002,366.2073333333333,105,392.00333333333333
J_k9_6od_x1.0,both,2,S002,366.2073333333333,106,378.80733333333336
J_k9_6od_x1.0,both,2,S002,366.2073333333333,107,391.25
J_k9_6od_x1.0,both,2,S002,366.2073333333333,108,365.8086666666667
J_k9_6od_x1.0,both,2,S002,366.2073333333333,109,375.93
J_k9_6od_x1.0,both,2,S002,366.2073333333333,110,371.50666666666666
J_k9_6od_x1.0,both,3,S003,338.6173333333333,101,337.26666666666665
J_k9_6od_x1.0,both,3,S003,338.6173333333333,102,341.6766666666667
J_k9_6od_x1.0,both,3,S003,338.6173333333333,103,338.718
J_k9_6od_x1.0,both,3,S003,338.6173333333333,104,345.9513333333333
J_k9_6od_x1.0,both,3,S003,338.6173333333333,105,338.504
J_k9_6od_x1.0,both,3,S003,338.6173333333333,106,341.04066666666665
J_k9_6od_x1.0,both,3,S003,338.6173333333333,107,344.2393333333333
J_k9_6od_x1.0,both,3,S003,338.6173333333333,108,342.99133333333333
J_k9_6od_x1.0,both,3,S003,338.6173333333333,109,340.66
J_k9_6od_x1.0,both,3,S003,338.6173333333333,110,339.3426666666667
J_k9_6od_x1.0,both,4,S004,324.6326666666667,101,326.9633333333333
J_k9_6od_x1.0,both,4,S004,324.6326666666667,102,332.766
J_k9_6od_x1.0,both,4,S004,324.6326666666667,103,330.9393333333333
