instance_id,sol_id,sumo_seed,att
A_k4_3od_x1.0,S000,202,221.098
A_k4_3od_x1.0,S000,204,229.109
A_k4_3od_x1.0,S000,201,213.267
A_k4_3od_x1.0,S000,203,235.792
A_k4_3od_x1.0,S000,205,235.35
A_k4_3od_x1.0,S001,203,255.835
A_k4_3od_x1.0,S001,201,265.499
A_k4_3od_x1.0,S001,202,272.172
A_k4_3od_x1.0,S002,202,228.66
A_k4_3od_x1.0,S002,201,232.232
A_k4_3od_x1.0,S001,205,267.369
A_k4_3od_x1.0,S002,203,247.158
A_k4_3od_x1.0,S002,204,231.113
A_k4_3od_x1.0,S002,205,231.291
A_k4_3od_x1.0,S001,204,252.177
A_k4_3od_x1.0,S003,201,236.305
A_k4_3od_x1.0,S003,204,241.52
A_k4_3od_x1.0,S003,203,243.815
A_k4_3od_x1.0,S003,205,240.271
A_k4_3od_x1.0,S004,201,224.89
A_k4_3od_x1.0,S003,202,239.005
A_k4_3od_x1.0,S004,202,232.999
A_k4_3od_x1.0,S004,203,239.61
A_k4_3od_x1.0,S004,204,241.817
A_k4_3od_x1.0,S004,205,232.262
A_k4_3od_x1.0,S005,202,234.956
A_k4_3od_x1.0,S005,201,249.872
A_k4_3od_x1.0,S005,204,249.856
A_k4_3od_x1.0,S005,205,231.254
A_k4_3od_x1.0,S005,203,240.172
A_k4_3od_x1.0,S006,201,245.03
A_k4_3od_x1.0,S006,202,232.875
A_k4_3od_x1.0,S006,203,231.425
A_k4_3od_x1.0,S006,204,233.616
A_k4_3od_x1.0,S007,202,247.319
A_k4_3od_x1.0,S006,205,248.788
A_k4_3od_x1.0,S007,205,246.333
A_k4_3od_x1.0,S007,203,262.568
A_k4_3od_x1.0,S007,201,241.845
A_k4_3od_x1.0,S007,204,262.242
A_k4_3od_x1.0,S008,201,232.232
A_k4_3od_x1.0,S008,202,228.66
A_k4_3od_x1.0,S008,204,231.113
A_k4_3od_x1.0,S008,203,247.158
A_k4_3od_x1.0,S008,205,231.291
A_k4_3od_x1.0,S009,201,263.03
A_k4_3od_x1.0,S009,202,255.413
A_k4_3od_x1.0,S009,203,250.647
A_k4_3od_x1.0,S009,205,262.753
A_k4_3od_x1.0,S010,201,255.26
A_k4_3od_x1.0,S009,204,273.769
A_k4_3od_x1.0,S010,202,253.115
A_k4_3od_x1.0,S010,203,247.755
A_k4_3od_x1.0,S010,204,243.281
A_k4_3od_x1.0,S010,205,260.46
A_k4_3od_x1.0,S011,201,223.147
A_k4_3od_x1.0,S011,202,254.959
A_k4_3od_x1.0,S011,204,234.967
A_k4_3od_x1.0,S011,205,231.459
A_k4_3od_x1.0,S011,203,266.661
A_k4_3od_x1.0,S012,201,242.0
A_k4_3od_x1.0,S012,202,225.634
A_k4_3od_x1.0,S012,204,236.772
A_k4_3od_x1.0,S012,203,228.115
A_k4_3od_x1.0,S012,205,221.827
A_k4_3od_x1.0,S013,202,248.391
A_k4_3od_x1.0,S013,201,248.777
A_k4_3od_x1.0,S013,203,239.056
A_k4_3od_x1.0,S013,205,247.924
A_k4_3od_x1.0,S013,204,256.912
A_k4_3od_x1.0,S014,201,224.89
A_k4_3od_x1.0,S014,202,242.688
A_k4_3od_x1.0,S014,203,244.789
A_k4_3od_x1.0,S014,204,235.921
A_k4_3od_x1.0,S014,205,232.95
A_k4_3od_x1.0,S015,201,294.035
A_k4_3od_x1.0,S015,203,279.877
A_k4_3od_x1.0,S015,204,289.493
A_k4_3od_x1.0,S015,205,302.419
A_k4_3od_x1.0,S015,202,314.763
B_k9_3od_x1.0,S000,203,514.7235
B_k9_3od_x1.0,S000,201,526.489
B_k9_3od_x1.0,S001,203,503.8205
B_k9_3od_x1.0,S000,204,521.2185
B_k9_3od_x1.0,S001,201,500.1315
B_k9_3od_x1.0,S001,202,529.197
B_k9_3od_x1.0,S000,205,518.298
B_k9_3od_x1.0,S000,202,588.523
B_k9_3od_x1.0,S001,204,514.2755
B_k9_3od_x1.0,S001,205,501.387
B_k9_3od_x1.0,S002,203,505.5165
B_k9_3od_x1.0,S002,201,543.9755
B_k9_3od_x1.0,S002,205,515.0595
B_k9_3od_x1.0,S002,202,552.242
B_k9_3od_x1.0,S002,204,518.7295
B_k9_3od_x1.0,S003,201,534.5565
B_k9_3od_x1.0,S003,203,513.7715
B_k9_3od_x1.0,S003,202,549.5975
B_k9_3od_x1.0,S003,204,512.571
B_k9_3od_x1.0,S003,205,523.4365
B_k9_3od_x1.0,S004,203,516.903
B_k9_3od_x1.0,S004,201,526.489
B_k9_3od_x1.0,S004,202,529.3585
B_k9_3od_x1.0,S004,204,521.3565
B_k9_3od_x1.0,S004,205,516.7225
B_k9_3od_x1.0,S005,203,502.518
B_k9_3od_x1.0,S005,201,526.9695
B_k9_3od_x1.0,S005,202,535.578
B_k9_3od_x1.0,S005,204,518.46
B_k9_3od_x1.0,S005,205,515.841
B_k9_3od_x1.0,S006,201,504.8415
B_k9_3od_x1.0,S006,202,569.9865
B_k9_3od_x1.0,S006,203,501.6515
B_k9_3od_x1.0,S006,204,493.254
B_k9_3od_x1.0,S006,205,508.3975
B_k9_3od_x1.0,S007,202,519.717
B_k9_3od_x1.0,S007,203,508.9585
