instance_id,arm,seed,sol_id,att_default,k,source,closed
A_k4_3od_x1.0,heuristic,0,S000,223.893,4,heuristic_seed0,E1 E21 E27 E42
A_k4_3od_x1.0,heuristic,1,S000,223.893,4,heuristic_seed1,E1 E21 E27 E42
A_k4_3od_x1.0,heuristic,2,S001,235.676,4,heuristic_seed2,E12 E16 E21 E42
A_k4_3od_x1.0,heuristic,3,S002,224.053,4,heuristic_seed3,E19 E21 E27 E42
A_k4_3od_x1.0,heuristic,4,S000,223.893,4,heuristic_seed4,E1 E21 E27 E42
A_k4_3od_x1.0,heuristic,5,S003,229.631,4,heuristic_seed5,E16 E21 E27 E42
A_k4_3od_x1.0,heuristic,6,S004,227.561,4,heuristic_seed6,E21 E27 E42 E8
A_k4_3od_x1.0,heuristic,7,S003,229.631,4,heuristic_seed7,E16 E21 E27 E42
A_k4_3od_x1.0,heuristic,8,S003,229.631,4,heuristic_seed8,E16 E21 E27 E42
A_k4_3od_x1.0,heuristic,9,S005,234.275,4,heuristic_seed9,E21 E27 E32 E42
A_k4_3od_x1.0,sa,0,S006,229.978,4,sa_seed0,E23 E27 E42 E6
A_k4_3od_x1.0,sa,1,S006,229.978,4,sa_seed1,E23 E27 E42 E6
A_k4_3od_x1.0,sa,2,S000,223.893,4,sa_seed2,E1 E21 E27 E42
A_k4_3od_x1.0,sa,3,S000,223.893,4,sa_seed3,E1 E21 E27 E42
A_k4_3od_x1.0,sa,4,S000,223.893,4,sa_seed4,E1 E21 E27 E42
A_k4_3od_x1.0,sa,5,S007,231.718,4,sa_seed5,E20 E21 E30 E42
A_k4_3od_x1.0,sa,6,S000,223.893,4,sa_seed6,E1 E21 E27 E42
A_k4_3od_x1.0,sa,7,S000,223.893,4,sa_seed7,E1 E21 E27 E42
A_k4_3od_x1.0,sa,8,S008,224.053,4,sa_seed8,E18 E21 E27 E42
A_k4_3od_x1.0,sa,9,S000,223.893,4,sa_seed9,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,0,S009,242.925,4,surrogate_seed0,E12 E21 E42 E5
A_k4_3od_x1.0,surrogate_submitted,1,S010,252.03,4,surrogate_seed1,E12 E16 E21 E27
A_k4_3od_x1.0,surrogate_submitted,2,S011,239.403,4,surrogate_seed2,E12 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,3,S012,237.221,4,surrogate_seed3,E20 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,4,S011,239.403,4,surrogate_seed4,E12 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,5,S011,239.403,4,surrogate_seed5,E12 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,6,S013,242.958,4,surrogate_seed6,E12 E20 E21 E42
A_k4_3od_x1.0,surrogate_submitted,7,S011,239.403,4,surrogate_seed7,E12 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,8,S014,236.759,3,surrogate_seed8,E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,9,S011,239.403,4,surrogate_seed9,E12 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,0,S000,223.893,4,arm_A_sum_run/s0_r08,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,1,S008,224.053,4,arm_A_sum_run/s1_r07,E18 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,2,S000,223.893,4,arm_A_sum_run/s2_r07,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,3,S003,229.631,4,arm_A_sum_run/s3_r00,E16 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,4,S000,223.893,4,arm_A_sum_run/s4_r08,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,5,S004,227.561,4,arm_A_sum_run/s5_r08,E21 E27 E42 E8
A_k4_3od_x1.0,surrogate_repaired,6,S008,224.053,4,arm_A_sum_run/s6_r06,E18 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,7,S003,229.631,4,arm_A_sum_run/s7_r00,E16 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,8,S002,224.053,4,arm_A_sum_run/s8_r08,E19 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,9,S000,223.893,4,arm_A_sum_run/s9_r07,E1 E21 E27 E42
A_k4_3od_x1.0,no_closure,0,S015,,0,empty set,
B_k9_3od_x1.0,heuristic,0,S000,479.655,9,heuristic_seed0,-E17 -E45 -E46 -E6 -E7 E17 E40 E45 E7
B_k9_3od_x1.0,heuristic,1,S001,488.4535,5,heuristic_seed1,-E26 -E27 E45 E7 E9
B_k9_3od_x1.0,heuristic,2,S002,487.4305,9,heuristic_seed2,-E26 -E35 -E6 E17 E26 E46 E47 E64 E7
B_k9_3od_x1.0,heuristic,3,S003,490.9035,3,heuristic_seed3,E34 E52 E6
B_k9_3od_x1.0,heuristic,4,S004,479.655,9,heuristic_seed4,-E17 -E45 -E6 -E7 E17 E40 E45 E47 E7
B_k9_3od_x1.0,heuristic,5,S005,482.4865,9,heuristic_seed5,-E17 -E20 -E26 -E40 -E6 -E7 E14 E21 E7
B_k9_3od_x1.0,heuristic,6,S006,478.313,9,heuristic_seed6,-E16 -E26 -E46 E110 E40 E45 E46 E57 E6
B_k9_3od_x1.0,heuristic,7,S007,487.9965,9,heuristic_seed7,-E12 -E16 -E26 -E38 -E6 E16 E22 E57 E7
B_k9_3od_x1.0,heuristic,8,S008,482.783,9,heuristic_seed8,-E12 -E20 -E51 -E6 -E63 E14 E16 E64 E7
B_k9_3od_x1.0,heuristic,9,S009,485.5385,9,heuristic_seed9,-E16 E14 E39 E40 E45 E57 E62 E63 E7
B_k9_3od_x1.0,sa,0,S010,472.803,9,sa_seed0,-E11 E13 E16 E17 E30 E40 E50 E56 E6
B_k9_3od_x1.0,sa,1,S011,464.76,8,sa_seed1,-E14 -E16 -E63 E25 E40 E47 E7 E9
B_k9_3od_x1.0,sa,2,S012,473.359,8,sa_seed2,-E17 -E39 -E40 -E44 E16 E21 E30 E46
B_k9_3od_x1.0,sa,3,S013,479.8495,4,sa_seed3,-E11 -E40 E110 E7
B_k9_3od_x1.0,sa,4,S014,490.292,3,sa_seed4,-E13 -E31 E13
B_k9_3od_x1.0,sa,5,S015,482.3115,8,sa_seed5,-E11 -E17 -E46 -E7 E11 E28 E57 E62
B_k9_3od_x1.0,sa,6,S016,478.1415,6,sa_seed6,-E11 -E31 -E46 E33 E40 E9
B_k9_3od_x1.0,sa,7,S017,487.2085,8,sa_seed7,-E16 -E17 -E51 -E52 E11 E26 E29 E9
B_k9_3od_x1.0,sa,8,S018,479.7095,8,sa_seed8,-E15 -E22 -E28 E33 E46 E47 E63 E7
B_k9_3od_x1.0,sa,9,S019,479.1745,7,sa_seed9,-E31 -E43 -E52 E40 E49 E56 E9
