instance_id,sol_id,sumo_seed,att
A_k4_3od_x1.0,S_E1-E21-E27-E42,201,213.267
A_k4_3od_x1.0,S_E1-E21-E27-E42,202,221.098
A_k4_3od_x1.0,S_E1-E21-E27-E42,203,235.792
A_k4_3od_x1.0,S_E1-E21-E27-E42,204,229.109
A_k4_3od_x1.0,S_E1-E21-E27-E42,205,235.35
A_k4_3od_x1.0,S_E16-E21-E27-E42,201,236.305
A_k4_3od_x1.0,S_E16-E21-E27-E42,202,239.005
A_k4_3od_x1.0,S_E16-E21-E27-E42,203,243.815
A_k4_3od_x1.0,S_E16-E21-E27-E42,204,241.52
A_k4_3od_x1.0,S_E16-E21-E27-E42,205,240.271
A_k4_3od_x1.0,S_E16-E27-E42-E6,201,245.766
A_k4_3od_x1.0,S_E16-E27-E42-E6,202,239.08
A_k4_3od_x1.0,S_E16-E27-E42-E6,203,263.412
A_k4_3od_x1.0,S_E16-E27-E42-E6,204,259.706
A_k4_3od_x1.0,S_E1-E16-E27-E42,201,235.683
A_k4_3od_x1.0,S_E16-E27-E42-E6,205,264.268
A_k4_3od_x1.0,S_E1-E16-E27-E42,202,251.998
A_k4_3od_x1.0,S_E1-E16-E27-E42,203,262.045
A_k4_3od_x1.0,S_E1-E16-E27-E42,204,242.44
A_k4_3od_x1.0,S_E1-E16-E27-E42,205,244.82
A_k4_3od_x1.0,S_E14-E21-E27-E42,201,234.58
A_k4_3od_x1.0,S_E14-E21-E27-E42,202,243.485
A_k4_3od_x1.0,S_E14-E21-E27-E42,203,235.61
A_k4_3od_x1.0,S_E14-E21-E27-E42,204,236.598
A_k4_3od_x1.0,S_E14-E21-E27-E42,205,245.265
A_k4_3od_x1.0,S_E16-E20-E21-E42,201,266.406
A_k4_3od_x1.0,S_E16-E20-E21-E42,202,241.886
A_k4_3od_x1.0,S_E16-E20-E21-E42,204,245.482
A_k4_3od_x1.0,S_E16-E20-E21-E42,203,248.329
A_k4_3od_x1.0,S_E16-E20-E21-E42,205,235.719
A_k4_3od_x1.0,S_E1-E14-E21-E42,202,236.688
A_k4_3od_x1.0,S_E1-E14-E21-E42,201,253.712
A_k4_3od_x1.0,S_E1-E14-E21-E42,203,237.419
A_k4_3od_x1.0,S_E1-E14-E21-E42,204,251.781
A_k4_3od_x1.0,S_E14-E15-E21-E42,202,255.501
A_k4_3od_x1.0,S_E1-E14-E21-E42,205,252.296
A_k4_3od_x1.0,S_E14-E15-E21-E42,201,261.0
A_k4_3od_x1.0,S_E14-E15-E21-E42,203,245.51
A_k4_3od_x1.0,S_E14-E15-E21-E42,204,259.224
A_k4_3od_x1.0,S_E14-E15-E21-E42,205,238.582
A_k4_3od_x1.0,S_E23-E27-E42-E6,201,245.03
A_k4_3od_x1.0,S_E23-E27-E42-E6,203,231.425
A_k4_3od_x1.0,S_E23-E27-E42-E6,202,232.875
A_k4_3od_x1.0,S_E23-E27-E42-E6,204,233.616
A_k4_3od_x1.0,S_E23-E27-E42-E6,205,248.788
A_k4_3od_x1.0,S_E20-E21-E30-E42,201,241.845
A_k4_3od_x1.0,S_E20-E21-E30-E42,202,247.319
A_k4_3od_x1.0,S_E20-E21-E30-E42,203,262.568
A_k4_3od_x1.0,S_E21-E27-E33-E42,201,229.247
A_k4_3od_x1.0,S_E20-E21-E30-E42,204,262.242
A_k4_3od_x1.0,S_E21-E27-E33-E42,202,237.199
A_k4_3od_x1.0,S_E21-E27-E33-E42,204,230.854
A_k4_3od_x1.0,S_E20-E21-E30-E42,205,246.333
A_k4_3od_x1.0,S_E21-E27-E33-E42,203,232.202
A_k4_3od_x1.0,S_E21-E27-E33-E42,205,238.01
A_k4_3od_x1.0,S_E11-E21-E27-E42,201,241.792
A_k4_3od_x1.0,S_E11-E21-E27-E42,202,224.738
A_k4_3od_x1.0,S_E11-E21-E27-E42,203,238.255
A_k4_3od_x1.0,S_E11-E21-E27-E42,205,234.084
A_k4_3od_x1.0,S_E11-E21-E27-E42,204,243.019
A_k4_3od_x1.0,S_empty,203,279.877
A_k4_3od_x1.0,S_empty,204,289.493
A_k4_3od_x1.0,S_empty,202,314.763
A_k4_3od_x1.0,S_empty,201,294.035
A_k4_3od_x1.0,S_empty,205,302.419
