instance_id,arm,seed,sol_id,att_default,k,source,closed
A_k4_3od_x1.0,heuristic,0,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/heuristic_seed0,E1 E21 E27 E42
A_k4_3od_x1.0,heuristic,1,S_E16-E21-E27-E42,229.631,4,runs_reviewer_A38/heuristic_seed1,E16 E21 E27 E42
A_k4_3od_x1.0,heuristic,2,S_E16-E27-E42-E6,230.533,4,runs_reviewer_A38/heuristic_seed2,E16 E27 E42 E6
A_k4_3od_x1.0,heuristic,3,S_E1-E16-E27-E42,230.708,4,runs_reviewer_A38/heuristic_seed3,E1 E16 E27 E42
A_k4_3od_x1.0,heuristic,4,S_E14-E21-E27-E42,237.938,4,runs_reviewer_A38/heuristic_seed4,E14 E21 E27 E42
A_k4_3od_x1.0,heuristic,5,S_E16-E20-E21-E42,233.371,4,runs_reviewer_A38/heuristic_seed5,E16 E20 E21 E42
A_k4_3od_x1.0,heuristic,6,S_E1-E14-E21-E42,239.472,4,runs_reviewer_A38/heuristic_seed6,E1 E14 E21 E42
A_k4_3od_x1.0,heuristic,7,S_E16-E20-E21-E42,233.371,4,runs_reviewer_A38/heuristic_seed7,E16 E20 E21 E42
A_k4_3od_x1.0,heuristic,8,S_E14-E15-E21-E42,242.44,4,runs_reviewer_A38/heuristic_seed8,E14 E15 E21 E42
A_k4_3od_x1.0,heuristic,9,S_E16-E21-E27-E42,229.631,4,runs_reviewer_A38/heuristic_seed9,E16 E21 E27 E42
A_k4_3od_x1.0,sa,0,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/sa_seed0,E1 E21 E27 E42
A_k4_3od_x1.0,sa,1,S_E23-E27-E42-E6,229.978,4,runs_reviewer_A38/sa_seed1,E23 E27 E42 E6
A_k4_3od_x1.0,sa,2,S_E20-E21-E30-E42,231.718,4,runs_reviewer_A38/sa_seed2,E20 E21 E30 E42
A_k4_3od_x1.0,sa,3,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/sa_seed3,E1 E21 E27 E42
A_k4_3od_x1.0,sa,4,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/sa_seed4,E1 E21 E27 E42
A_k4_3od_x1.0,sa,5,S_E16-E21-E27-E42,229.631,4,runs_reviewer_A38/sa_seed5,E16 E21 E27 E42
A_k4_3od_x1.0,sa,6,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/sa_seed6,E1 E21 E27 E42
A_k4_3od_x1.0,sa,7,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/sa_seed7,E1 E21 E27 E42
A_k4_3od_x1.0,sa,8,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/sa_seed8,E1 E21 E27 E42
A_k4_3od_x1.0,sa,9,S_E23-E27-E42-E6,229.978,4,runs_reviewer_A38/sa_seed9,E23 E27 E42 E6
A_k4_3od_x1.0,surrogate_submitted,0,S_E16-E21-E27-E42,229.631,4,runs_reviewer_A38/surrogate_seed0,E16 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,1,S_E16-E21-E27-E42,229.631,4,runs_reviewer_A38/surrogate_seed1,E16 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,2,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/surrogate_seed2,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,3,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/surrogate_seed3,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,4,S_E21-E27-E33-E42,231.377,4,runs_reviewer_A38/surrogate_seed4,E21 E27 E33 E42
A_k4_3od_x1.0,surrogate_submitted,5,S_E16-E21-E27-E42,229.631,4,runs_reviewer_A38/surrogate_seed5,E16 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,6,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/surrogate_seed6,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,7,S_E1-E21-E27-E42,223.893,4,runs_reviewer_A38/surrogate_seed7,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,8,S_E16-E21-E27-E42,229.631,4,runs_reviewer_A38/surrogate_seed8,E16 E21 E27 E42
A_k4_3od_x1.0,surrogate_submitted,9,S_E21-E27-E33-E42,231.377,4,runs_reviewer_A38/surrogate_seed9,E21 E27 E33 E42
A_k4_3od_x1.0,surrogate_repaired,0,S_E1-E21-E27-E42,223.893,4,arm_A_sum_run38/s0_r06,E1 E21 E27 E42
A_k4_3od_x1.0,surrogate_repaired,1,S_E11-E21-E27-E42,230.928,4,arm_A_sum_run38/s1_r06,E11 E21 E27 E42
