gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,0,228.43,,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i000,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i000\tripinfo.xml
1,1,0,228.43,,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i001,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i001\tripinfo.xml
1,2,0,228.43,,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i002,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i002\tripinfo.xml
1,3,2,218.76,E1;E27,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i003,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i003\tripinfo.xml
1,4,1,228.43,E31,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i004,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i004\tripinfo.xml
1,5,2,255.52,E26;E27,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i005,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i005\tripinfo.xml
1,6,2,232.405,E19;E22,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i006,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i006\tripinfo.xml
1,7,4,233.7675,E20;E21;E31;E34,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i007,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i007\tripinfo.xml
1,8,1,228.43,E15,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i008,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i008\tripinfo.xml
1,9,4,242.1275,E17;E3;E4;E42,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i009,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i009\tripinfo.xml
1,10,0,228.43,,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i010,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i010\tripinfo.xml
1,11,4,226.09125,E11;E13;E3;E42,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i011,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i011\tripinfo.xml
1,12,1,255.52,E26,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i012,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i012\tripinfo.xml
1,13,3,237.00125,E13;E15;E33,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i013,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i013\tripinfo.xml
1,14,3,242.34875,E14;E19;E20,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i014,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i014\tripinfo.xml
1,15,4,232.6475,E19;E23;E27;E35,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i015,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i015\tripinfo.xml
1,16,2,279.2775,E29;E3,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i016,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i016\tripinfo.xml
1,17,4,234.01625,E16;E24;E32;E41,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i017,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i017\tripinfo.xml
1,18,3,239.145,E3;E37;E7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i018,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i018\tripinfo.xml
1,19,4,238.30125,E23;E26;E32;E45,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i019,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i019\tripinfo.xml
1,20,2,234.64125,E27;E4,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i020,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i020\tripinfo.xml
1,21,0,228.43,,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i021,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i021\tripinfo.xml
1,22,0,228.43,,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i022,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i022\tripinfo.xml
1,23,2,244.47875,E30;E7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i023,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g001_i023\tripinfo.xml
2,0,2,218.76,E1;E27,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i000,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i000\tripinfo.xml
2,1,4,228.375,E3;E34;E41;E42,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i001,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i001\tripinfo.xml
2,2,4,237.05125,E23;E31;E37;E45,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i002,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i002\tripinfo.xml
2,3,4,256.69625,E13;E16;E36;E7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i003,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i003\tripinfo.xml
2,4,4,232.48125,E10;E4;E42;E7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i004,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i004\tripinfo.xml
2,5,4,244.45375,E10;E26;E31;E33,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i005,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i005\tripinfo.xml
2,6,4,265.45125,E23;E30;E34;E6,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i006,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i006\tripinfo.xml
2,7,4,205.3425,E13;E27;E38;E42,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i007,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i007\tripinfo.xml
2,8,4,238.76,E11;E13;E37;E38,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i008,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i008\tripinfo.xml
2,9,4,238.61,E19;E32;E39;E42,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i009,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i009\tripinfo.xml
2,10,4,236.21375,E25;E31;E33;E36,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i010,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i010\tripinfo.xml
2,11,4,267.92875,E15;E16;E22;E25,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i011,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i011\tripinfo.xml
2,12,4,238.62875,E1;E31;E32;E7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i012,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i012\tripinfo.xml
2,13,4,225.3975,E15;E17;E39;E42,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i013,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i013\tripinfo.xml
2,14,4,223.44,E21;E25;E31;E33,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i014,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\both_seed2\g002_i014\tripinfo.xml
