gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,1,240.95,E6,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i000,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i000\tripinfo.xml
1,1,1,237.72,E11,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i001,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i001\tripinfo.xml
1,2,1,239.0875,E7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i002,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i002\tripinfo.xml
1,3,4,223.49875,E13;E21;E3;E38,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i003,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i003\tripinfo.xml
1,4,1,242.34875,E14,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i004,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i004\tripinfo.xml
1,5,4,255.07875,E10;E24;E25;E41,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i005,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i005\tripinfo.xml
1,6,3,227.81875,E10;E23;E7,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i006,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i006\tripinfo.xml
1,7,1,240.28875,E34,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i007,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i007\tripinfo.xml
1,8,1,255.34,E25,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i008,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i008\tripinfo.xml
1,9,2,240.68875,E15;E45,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i009,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i009\tripinfo.xml
1,10,1,225.49625,E23,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i010,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i010\tripinfo.xml
1,11,3,241.5075,E1;E15;E45,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i011,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i011\tripinfo.xml
1,12,2,251.84875,E13;E15,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i012,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i012\tripinfo.xml
1,13,2,251.2525,E15;E30,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i013,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i013\tripinfo.xml
1,14,1,230.8925,E3,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i014,D:\PSPS\runs_A_k4_3od_x0.8_pm01k0\none_seed0\g001_i014\tripinfo.xml
