mode,seed,gen,indiv,run_dir,Arrivals,TTT,ATT,TimeLossSum,WaitingTimeSum,RouteLengthSum,MeanSpeed,Teleports,k_closed,closed_edges,Reason,WallTimeSec,Step,MinExpectedEnd,VaporizedCnt,Demand,Score,is_valid
both,0,1,1,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i001,1000,314801.0,314.801,245003.4400000002,198438.0,942845.9800000003,2.9950539547206025,,3,"E26,E31,E35",OK,,,,,,,True
both,0,1,0,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i000,1000,315812.0,315.812,245691.15999999965,199170.0,947458.799999999,3.0000721948500977,,3,"E31,E33,E37",OK,,,,,,,True
both,0,1,3,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i003,1000,271796.0,271.796,202625.12000000032,161856.0,935776.8199999968,3.4429381595019675,,2,"E27,E45",OK,,,,,,,True
both,0,1,2,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i002,1000,315812.0,315.812,245691.15999999965,199170.0,947458.799999999,3.0000721948500977,,0,,OK,,,,,,,True
both,0,1,4,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i004,1000,310176.0,310.176,239677.08999999997,195125.0,952817.719999996,3.0718615237800346,,4,"E25,E30,E4,E7",OK,,,,,,,True
both,0,1,5,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i005,1000,330523.0,330.523,259568.07999999938,209897.0,958362.5499999984,2.8995336179327866,,3,"E11,E32,E6",OK,,,,,,,True
both,0,1,6,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i006,1000,281862.0,281.862,211492.32999999973,170324.0,951056.0899999964,3.37419052586016,,3,"E1,E13,E42",OK,,,,,,,True
both,0,1,7,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i007,1000,311508.0,311.508,240992.96999999988,195729.0,952016.6300000014,3.0561546733952305,,2,"E4,E43",OK,,,,,,,True
both,0,1,9,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i009,1000,304136.0,304.136,233699.04999999984,190102.0,951208.6200000005,3.1275765447036865,,2,"E14,E4",OK,,,,,,,True
both,0,1,8,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i008,1000,275342.0,275.342,206311.00000000006,165800.0,934529.1199999958,3.394066724291956,,3,"E27,E41,E8",OK,,,,,,,True
both,0,1,10,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i010,1000,305601.0,305.601,234646.1700000002,186988.0,957315.6600000007,3.1325671709189455,,4,"E15,E30,E35,E6",OK,,,,,,,True
both,0,1,11,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i011,1000,309908.0,309.908,240321.00000000012,195892.0,941220.2400000001,3.037095654194148,,1,E26,OK,,,,,,,True
both,0,1,12,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i012,1000,272823.0,272.823,203863.97999999992,162917.0,932723.0599999982,3.4187845599527833,,4,"E20,E27,E32,E4",OK,,,,,,,True
both,0,1,13,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i013,1000,313484.0,313.484,243254.17,197919.0,949194.93,3.0278895573617794,,1,E1,OK,,,,,,,True
both,0,1,14,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i014,1000,322700.0,322.7,251543.24999999985,202879.0,959512.6299999984,2.973388999070339,,2,"E33,E34",OK,,,,,,,True
both,0,1,15,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i015,1000,295318.0,295.318,225577.57999999975,181139.0,942394.4300000009,3.1911174733676946,,1,E33,OK,,,,,,,True
both,0,1,16,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i016,1000,315812.0,315.812,245691.15999999965,199170.0,947458.799999999,3.0000721948500977,,0,,OK,,,,,,,True
both,0,1,17,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i017,1000,290169.0,290.169,220306.3899999998,175837.0,944163.4299999963,3.253839762345379,,4,"E24,E27,E36,E6",OK,,,,,,,True
both,0,1,18,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i018,1000,315886.0,315.886,245794.04000000027,200617.0,947742.3399999992,3.0002669950551755,,2,"E11,E37",OK,,,,,,,True
both,0,1,20,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i020,1000,287475.0,287.475,217732.55000000022,175695.0,942522.2099999975,3.278623219410375,,4,"E24,E27,E32,E8",OK,,,,,,,True
both,0,1,19,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i019,1000,292791.0,292.791,221507.1400000003,178293.0,962892.4599999995,3.2886682309223967,,4,"E14,E17,E23,E36",OK,,,,,,,True
both,0,1,21,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i021,1000,311897.0,311.897,241824.23999999993,196699.0,946783.8599999971,3.0355657797285547,,1,E13,OK,,,,,,,True
both,0,1,22,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i022,1000,295440.0,295.44,225028.39999999973,182442.0,951804.1099999982,3.2216494381261787,,2,"E16,E17",OK,,,,,,,True
both,0,1,23,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g001_i023,1000,315812.0,315.812,245691.15999999965,199170.0,947458.799999999,3.0000721948500977,,0,,OK,,,,,,,True
