mode,seed,gen,indiv,run_dir,Arrivals,TTT,ATT,TimeLossSum,WaitingTimeSum,RouteLengthSum,MeanSpeed,Teleports,k_closed,closed_edges,Reason,WallTimeSec,Step,MinExpectedEnd,VaporizedCnt,Demand,Score,is_valid
both,0,7,19,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed0\g007_i019,1000,236189.0,236.189,165091.9600000001,129653.0,961694.2399999993,4.07171477079796,,4,"E16,E17,E21,E27",OK,,,,,,,True
both,1,9,13,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed1\g009_i013,1000,238848.0,238.848,169154.65999999986,132564.0,942418.7599999942,3.9456841170953667,,4,"E1,E27,E42,E6",OK,,,,,,,True
both,2,6,23,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed2\g006_i023,1000,237496.0,237.496,166833.16000000027,131257.0,955454.3900000011,4.023033608987103,,4,"E16,E20,E21,E27",OK,,,,,,,True
both,3,4,9,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed3\g004_i009,1000,236189.0,236.189,165091.9600000001,129653.0,961694.2399999993,4.07171477079796,,4,"E16,E17,E21,E27",OK,,,,,,,True
both,4,14,1,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed4\g014_i001,1000,224053.0,224.053,153911.58000000007,120562.0,949068.6499999953,4.235911369184948,,4,"E19,E21,E27,E42",OK,,,,,,,True
both,5,6,22,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed5\g006_i022,1000,229631.0,229.631,158207.37000000005,123539.0,964717.6899999985,4.201164868854809,,4,"E16,E21,E27,E42",OK,,,,,,,True
both,6,5,1,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed6\g005_i001,1000,247213.0,247.213,176882.80999999985,140382.0,950629.0399999972,3.845384506478208,,4,"E21,E27,E30,E42",OK,,,,,,,True
both,7,9,1,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed7\g009_i001,1000,224053.0,224.053,153911.58000000007,120562.0,949068.6499999953,4.235911369184948,,4,"E19,E21,E27,E42",OK,,,,,,,True
both,8,12,13,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed8\g012_i013,1000,234812.0,234.812,164261.38999999993,128546.0,954113.6899999953,4.063308902441082,,4,"E21,E27,E3,E42",OK,,,,,,,True
both,9,13,13,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\both_seed9\g013_i013,1000,245017.0,245.017,174767.6199999999,136207.0,948479.7599999962,3.87107735381625,,4,"E1,E10,E27,E8",OK,,,,,,,True
