gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,1,315.812,E31,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i000,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i000\tripinfo.xml
1,1,4,288.89,E21;E30;E37;E45,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i001,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i001\tripinfo.xml
1,2,4,276.604,E10;E14;E17;E5,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i002,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i002\tripinfo.xml
1,3,1,280.385,E27,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i003,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i003\tripinfo.xml
1,4,2,296.064,E10;E27,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i004,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i004\tripinfo.xml
1,5,4,273.271,E21;E33;E35;E36,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i005,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i005\tripinfo.xml
1,6,3,304.295,E1;E20;E31,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i006,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i006\tripinfo.xml
1,7,4,281.335,E21;E26;E27;E36,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i007,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i007\tripinfo.xml
1,8,0,315.812,,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i008,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i008\tripinfo.xml
1,9,4,272.452,E15;E21;E31;E4,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i009,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i009\tripinfo.xml
1,10,0,315.812,,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i010,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i010\tripinfo.xml
1,11,3,297.282,E19;E25;E6,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i011,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i011\tripinfo.xml
1,12,2,311.937,E36;E8,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i012,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i012\tripinfo.xml
1,13,4,286.452,E13;E24;E42;E5,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i013,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i013\tripinfo.xml
1,14,1,307.786,E35,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i014,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i014\tripinfo.xml
1,15,1,315.812,E31,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i015,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i015\tripinfo.xml
1,16,3,314.032,E19;E24;E26,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i016,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i016\tripinfo.xml
1,17,4,298.486,E21;E27;E29;E45,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i017,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i017\tripinfo.xml
1,18,4,264.694,E16;E21;E27;E32,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i018,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i018\tripinfo.xml
1,19,3,294.332,E13;E17;E30,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i019,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i019\tripinfo.xml
1,20,3,317.417,E24;E3;E37,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i020,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i020\tripinfo.xml
1,21,1,315.812,E39,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i021,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i021\tripinfo.xml
1,22,1,315.812,E36,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i022,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i022\tripinfo.xml
1,23,1,315.812,E36,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i023,D:\PSPS\runs_A_k4_3od_x1.0_pm01k0\init_seed3\g001_i023\tripinfo.xml
