gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,3,1000000000000.0,-311298665;4970256#6;782710712,runs_J_k16_plain\both_seed6\g001_i000,runs_J_k16_plain\both_seed6\g001_i000\tripinfo.xml
1,1,10,1000000000000.0,-120682114#1;-311298665;-535519490#1;111677668#4;111677669#2;120682114#3;24337240#1;25970859#1;26216781#3;4970256#6,runs_J_k16_plain\both_seed6\g001_i001,runs_J_k16_plain\both_seed6\g001_i001\tripinfo.xml
1,2,9,1000000000000.0,-311298665;-5197062#4;-535519490#1;111677669#5;4935286#2;4935286#3;4970256#5;876057378#2;880140407,runs_J_k16_plain\both_seed6\g001_i002,runs_J_k16_plain\both_seed6\g001_i002\tripinfo.xml
1,3,2,644.456,24337240#2;311298662#1,runs_J_k16_plain\both_seed6\g001_i003,runs_J_k16_plain\both_seed6\g001_i003\tripinfo.xml
1,4,1,373.832,4935286#2,runs_J_k16_plain\both_seed6\g001_i004,runs_J_k16_plain\both_seed6\g001_i004\tripinfo.xml
1,5,5,1000000000000.0,-311298665;-5197062#4;4935286#2;4970256#5;835443464,runs_J_k16_plain\both_seed6\g001_i005,runs_J_k16_plain\both_seed6\g001_i005\tripinfo.xml
1,6,16,881.9606666666666,-28298231;-311298665;-498033359#0;-498033359#1;-5197062#3;-535519490#0;-782714971#0;-783907721#0;28468732#1;311298658;4935286#2;782714966#0;782714966#1;783907721#1;876343449#2;880137009#1,runs_J_k16_plain\both_seed6\g001_i006,runs_J_k16_plain\both_seed6\g001_i006\tripinfo.xml
1,7,12,1000000000000.0,-24337240#3;-311298665;-311298682#0;-535519490#0;-783907721#1;311298662#1;311298682#0;37628709#1;4935286#0;4935286#2;4970256#7;783907721#1,runs_J_k16_plain\both_seed6\g001_i007,runs_J_k16_plain\both_seed6\g001_i007\tripinfo.xml
1,8,11,1000000000000.0,-205590836#0;-24337240#6;-311298665;-535519490#0;111677668#0;205590836#2;24337240#3;28468732#1;4935286#2;498033359#3;876057378#2,runs_J_k16_plain\both_seed6\g001_i008,runs_J_k16_plain\both_seed6\g001_i008\tripinfo.xml
1,9,1,644.456,-876343449#0,runs_J_k16_plain\both_seed6\g001_i009,runs_J_k16_plain\both_seed6\g001_i009\tripinfo.xml
1,10,9,1000000000000.0,-120682114#2;-311298665;-498033359#0;-782714971#0;111677671#0;111681903#2;311298665;4970256#8;5197062#4,runs_J_k16_plain\both_seed6\g001_i010,runs_J_k16_plain\both_seed6\g001_i010\tripinfo.xml
1,11,16,1000000000000.0,-111677671#0;-205590836#0;-24337240#0;-25970859#1;-311298665;-876343449#2;111681903#0;111681903#3;111681905#2;120682114#1;24337240#4;26216781#0;311298662#0;4935286#2;4970256#5;835443464,runs_J_k16_plain\both_seed6\g001_i011,runs_J_k16_plain\both_seed6\g001_i011\tripinfo.xml
1,12,7,1000000000000.0,-111677671#0;-120682114#3;-24337240#3;-311298665;-502325084#3;26216781#0;498033359#1,runs_J_k16_plain\both_seed6\g001_i012,runs_J_k16_plain\both_seed6\g001_i012\tripinfo.xml
1,13,14,1000000000000.0,-111677671#0;-28298231;-311298665;-5197062#4;-535519490#1;-835443464;111677669#0;205590836#2;25970859#1;4935286#2;502325084#1;876057378#5;876343449#0;876343449#2,runs_J_k16_plain\both_seed6\g001_i013,runs_J_k16_plain\both_seed6\g001_i013\tripinfo.xml
1,14,4,1000000000000.0,-311298665;-4950193;4935286#2;7924772,runs_J_k16_plain\both_seed6\g001_i014,runs_J_k16_plain\both_seed6\g001_i014\tripinfo.xml
1,15,7,1000000000000.0,-111681903#3;-120682114#3;-311298665;-311298682#0;-535519490#1;782714971#2;876057378#1,runs_J_k16_plain\both_seed6\g001_i015,runs_J_k16_plain\both_seed6\g001_i015\tripinfo.xml
1,16,9,1000000000000.0,-24337240#3;-311298665;111681903#0;24337240#5;25970859#1;28468732#0;5197062#4;62826731;876057378#4,runs_J_k16_plain\both_seed6\g001_i016,runs_J_k16_plain\both_seed6\g001_i016\tripinfo.xml
1,17,3,1000000000000.0,-311298665;782714971#1;782714971#3,runs_J_k16_plain\both_seed6\g001_i017,runs_J_k16_plain\both_seed6\g001_i017\tripinfo.xml
1,18,12,644.456,-111677668#4;-111677671#0;-111681903#1;-311298658;-535519490#1;-782714971#1;28468730#0;311298662#1;37628709#0;4935286#2;4935286#3;783907721#2,runs_J_k16_plain\both_seed6\g001_i018,runs_J_k16_plain\both_seed6\g001_i018\tripinfo.xml
1,19,11,1000000000000.0,-111681903#2;-28468730#0;-311298665;-782714971#3;120682114#1;26216781#3;4935286#2;4970256#6;498033359#2;782714971#2;835445203,runs_J_k16_plain\both_seed6\g001_i019,runs_J_k16_plain\both_seed6\g001_i019\tripinfo.xml
1,20,3,1000000000000.0,-205590836#0;-311298665;4935286#2,runs_J_k16_plain\both_seed6\g001_i020,runs_J_k16_plain\both_seed6\g001_i020\tripinfo.xml
1,21,12,1000000000000.0,-28468730#0;-311298665;-535519490#1;-782714971#0;-782714971#3;28468732#1;4935286#2;4935286#3;4970256#5;498033359#3;782714971#1;782714971#2,runs_J_k16_plain\both_seed6\g001_i021,runs_J_k16_plain\both_seed6\g001_i021\tripinfo.xml
1,22,14,393.93533333333335,-111677668#0;-311298665;-880137009#1;24337240#4;26216781#0;28468732#1;311298665;311298682#0;4935286#2;4970256#8;498033359#2;782714971#2;783907721#1;876057378#5,runs_J_k16_plain\both_seed6\g001_i022,runs_J_k16_plain\both_seed6\g001_i022\tripinfo.xml
1,23,9,1000000000000.0,-120682114#2;-311298665;-535519490#1;-782714971#2;-783907721#2;24337240#7;311298665;4935286#2;4970256#6,runs_J_k16_plain\both_seed6\g001_i023,runs_J_k16_plain\both_seed6\g001_i023\tripinfo.xml
2,0,1,373.832,4935286#2,runs_J_k16_plain\both_seed6\g002_i000,runs_J_k16_plain\both_seed6\g002_i000\tripinfo.xml
2,1,16,597.7333333333333,-111681903#1;-25970859#0;-25970859#1;-311298658;-311298665;-311298682#0;-535519490#1;-783907721#0;111677669#4;120682114#3;24337240#2;28468732#0;4935286#2;783907721#1;876343449#2;880137009#1,runs_J_k16_plain\both_seed6\g002_i001,runs_J_k16_plain\both_seed6\g002_i001\tripinfo.xml
2,2,8,1000000000000.0,-111681903#1;-111681903#2;-120682114#2;-311298665;-876343449#2;4935286#3;4970256#5;880137009#0,runs_J_k16_plain\both_seed6\g002_i002,runs_J_k16_plain\both_seed6\g002_i002\tripinfo.xml
2,3,16,1000000000000.0,-111677668#0;-311298662#1;-502325084#3;-535519490#0;-535519490#1;111681903#1;24337240#0;24337240#4;37628709#0;4935286#3;4970256#8;502325084#0;502325084#3;876343449#1;880137009#1;880137010,runs_J_k16_plain\both_seed6\g002_i003,runs_J_k16_plain\both_seed6\g002_i003\tripinfo.xml
