gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,8,1000000000000.0,-120682114#1;-311298665;111677668#0;111677669#3;111681903#0;4935286#2;782710712;782714966#0,runs_J_k16_plain\init_seed3\g001_i000,runs_J_k16_plain\init_seed3\g001_i000\tripinfo.xml
1,1,5,1000000000000.0,-120682114#1;-311298665;-782714971#1;28468730#0;311298665,runs_J_k16_plain\init_seed3\g001_i001,runs_J_k16_plain\init_seed3\g001_i001\tripinfo.xml
1,2,9,1000000000000.0,-111681903#2;-311298665;-502325084#1;-535519490#1;-74277990;111677668#4;24337240#0;37628709#0;876057378#3,runs_J_k16_plain\init_seed3\g001_i002,runs_J_k16_plain\init_seed3\g001_i002\tripinfo.xml
1,3,16,1000000000000.0,-311298658;-311298665;-311298685;-498033359#2;-535519490#0;-782714971#2;-782714971#4;-783907721#2;111681903#2;28468730#1;311298662#1;37628709#1;502325084#0;5197062#4;782714971#0;876343449#1,runs_J_k16_plain\init_seed3\g001_i003,runs_J_k16_plain\init_seed3\g001_i003\tripinfo.xml
1,4,3,1000000000000.0,-311298665;-5197062#4;-782714971#1,runs_J_k16_plain\init_seed3\g001_i004,runs_J_k16_plain\init_seed3\g001_i004\tripinfo.xml
1,5,1,644.456,111677668#3,runs_J_k16_plain\init_seed3\g001_i005,runs_J_k16_plain\init_seed3\g001_i005\tripinfo.xml
1,6,16,1000000000000.0,-24337240#4;-311298658;-311298665;-311298685;-498033359#1;-535519490#1;-782714966#0;-835443464;120682114#1;311298662#0;311298682#0;311298685;37628709#0;4935286#2;4935286#3;876343449#0,runs_J_k16_plain\init_seed3\g001_i006,runs_J_k16_plain\init_seed3\g001_i006\tripinfo.xml
1,7,9,1000000000000.0,-24337240#6;-25970859#0;-311298662#0;-311298665;-498033359#3;-783907721#1;24337240#1;25970859#1;4935286#2,runs_J_k16_plain\init_seed3\g001_i007,runs_J_k16_plain\init_seed3\g001_i007\tripinfo.xml
1,8,8,1000000000000.0,-311298665;111677669#5;111681903#2;311298665;4935286#2;498033359#2;783907721#1;876057378#1,runs_J_k16_plain\init_seed3\g001_i008,runs_J_k16_plain\init_seed3\g001_i008\tripinfo.xml
1,9,7,432.8793333333333,-4950193;111681903#1;26216781#0;28468732#1;4935286#2;498033359#3;782714971#3,runs_J_k16_plain\init_seed3\g001_i009,runs_J_k16_plain\init_seed3\g001_i009\tripinfo.xml
