gen,idx,k,score,closed_edges,run_dir,tripinfo
1,0,9,749.618,-25970859#1;-4950193;311298685;37628709#1;4970256#6;498033359#0;502325084#3;876057378#0;876057378#4,runs_J_k16_plain\none_seed2\g001_i000,runs_J_k16_plain\none_seed2\g001_i000\tripinfo.xml
1,1,7,661.2246666666666,-120682114#2;-120682114#3;-782714966#0;-782714971#4;111681903#3;747448014;876343449#1,runs_J_k16_plain\none_seed2\g001_i001,runs_J_k16_plain\none_seed2\g001_i001\tripinfo.xml
1,2,5,644.456,-111677668#0;-311298658;-498033359#3;-782714971#3;782714966#1,runs_J_k16_plain\none_seed2\g001_i002,runs_J_k16_plain\none_seed2\g001_i002\tripinfo.xml
1,3,6,624.9926666666667,-498033359#0;-535519490#1;-782714971#4;28468732#0;4935286#0;4970256#5,runs_J_k16_plain\none_seed2\g001_i003,runs_J_k16_plain\none_seed2\g001_i003\tripinfo.xml
1,4,8,499.0006666666667,-24337240#0;-311298658;120682114#1;4935286#0;4935286#3;502325084#3;62826731;783907721#1,runs_J_k16_plain\none_seed2\g001_i004,runs_J_k16_plain\none_seed2\g001_i004\tripinfo.xml
1,5,7,591.7833333333333,-111681903#3;-28468730#0;111681905#2;26216779#1;26216781#0;783907721#1;876057378#1,runs_J_k16_plain\none_seed2\g001_i005,runs_J_k16_plain\none_seed2\g001_i005\tripinfo.xml
1,6,9,589.856,-120682114#1;-24337240#4;-311298685;-74277990;-782714966#0;24337240#4;535519490#0;747448014;880137009#0,runs_J_k16_plain\none_seed2\g001_i006,runs_J_k16_plain\none_seed2\g001_i006\tripinfo.xml
1,7,12,563.0346666666667,-311298662#0;-535519490#1;-835443464;-880137009#1;111681905#1;24337240#4;26216779#1;26216781#0;26216781#2;4935286#0;498033359#0;783907721#1,runs_J_k16_plain\none_seed2\g001_i007,runs_J_k16_plain\none_seed2\g001_i007\tripinfo.xml
1,8,7,581.3653333333333,-24337240#2;-24337240#4;-311298662#0;-782714971#4;-783907721#0;782710712;7924772,runs_J_k16_plain\none_seed2\g001_i008,runs_J_k16_plain\none_seed2\g001_i008\tripinfo.xml
1,9,8,638.9133333333333,-502325084#3;-782714971#4;25970859#0;26216781#3;28468732#0;4935299#1;4970256#5;502325084#0,runs_J_k16_plain\none_seed2\g001_i009,runs_J_k16_plain\none_seed2\g001_i009\tripinfo.xml
