arm,seed,k,insample,heldout_mean,n_penalised,closed
both,0,4,323.839167,333.0825,0,E1 E23 E27 E42
both,1,4,329.31,349.89933333333335,0,E23 E36 E41 E42
both,2,4,323.839167,333.0825,0,E1 E23 E27 E42
both,3,4,323.208333,345.5203333333334,0,E12 E20 E23 E8
both,4,4,332.081667,347.57716666666664,0,E14 E21 E42 E5
both,5,4,328.5175,344.50866666666667,0,E23 E27 E35 E42
both,6,4,330.983333,353.6071666666666,0,E1 E27 E4 E42
both,7,4,319.905,356.8583333333333,0,E23 E4 E42 E6
both,8,4,319.905,356.8583333333333,0,E23 E4 E42 E6
both,9,4,329.7475,347.229,0,E12 E23 E27 E30
both_pre5,0,4,318.0925,350.7498333333333,0,E14 E21 E42 E7
both_pre5,1,4,321.349167,339.498,0,E16 E23 E27 E42
both_pre5,2,4,319.905,356.8583333333333,0,E23 E4 E42 E6
both_pre5,3,4,319.905,356.8583333333333,0,E23 E4 E42 E6
both_pre5,4,4,319.905,356.8583333333333,0,E23 E4 E42 E6
both_pre5,5,4,323.839167,333.0825,0,E1 E23 E27 E42
both_pre5,6,4,323.839167,333.0825,0,E1 E23 E27 E42
both_pre5,7,4,321.915,359.80533333333335,0,E23 E39 E4 E41
both_pre5,8,4,321.349167,339.498,0,E16 E23 E27 E42
both_pre5,9,4,319.905,356.8583333333333,0,E23 E4 E42 E6
init,0,4,331.029167,350.2566666666667,0,E14 E27 E33 E6
init,1,4,320.5525,370.20816666666667,0,E21 E30 E42 E5
init,2,4,332.835,361.3686666666666,0,E16 E17 E41 E42
init,3,4,318.668333,358.8341666666667,0,E12 E23 E33 E41
init,4,4,310.574167,352.9088333333333,0,E16 E20 E27 E42
init,5,4,327.905,347.45983333333334,0,E14 E15 E21 E8
init,6,4,331.23,360.0328333333333,0,E12 E23 E32 E35
init,7,4,331.5375,371.69449999999995,0,E23 E31 E38 E5
init,8,4,332.368333,359.91616666666664,0,E21 E39 E41 E43
init,9,4,329.7475,347.229,0,E12 E23 E27 E30
mutation,0,4,330.47,364.1238333333333,0,E10 E35 E38 E6
mutation,1,4,330.3225,359.80816666666664,0,E14 E20 E23 E27
mutation,2,4,330.844167,355.79083333333335,0,E1 E23 E33 E8
mutation,3,4,318.668333,358.8341666666667,0,E12 E23 E33 E41
mutation,4,4,327.968333,352.70383333333336,0,E16 E21 E32 E42
mutation,5,4,329.796667,354.6245,0,E10 E23 E5 E6
mutation,6,4,328.236667,364.97799999999995,0,E23 E25 E31 E6
mutation,7,4,331.248333,375.5766666666667,0,E15 E23 E30 E5
mutation,8,4,319.905,356.85833333333335,0,E23 E4 E42 E6
mutation,9,4,330.451667,351.28816666666665,0,E12 E16 E23 E31
none,0,4,340.868333,357.0991666666667,0,E1 E15 E16 E23
none,1,4,327.791667,345.07383333333337,0,E14 E30 E42 E6
none,2,4,328.156667,366.07849999999996,0,E23 E30 E4 E6
none,3,4,334.561667,337.0796666666667,0,E16 E21 E42 E5
none,4,4,327.9325,339.8441666666667,0,E14 E23 E27 E42
none,5,4,324.264167,336.1923333333333,0,E20 E23 E27 E42
none,6,4,334.258333,354.80466666666666,0,E1 E16 E21 E3
none,7,4,318.668333,358.8341666666667,0,E12 E23 E33 E41
none,8,4,332.000833,370.10383333333334,0,E10 E11 E19 E23
none,9,4,333.065833,369.18,0,E1 E21 E36 E38
